Var1,Var2
5.97534199999999,2.52403492660851
6.734094,1.89986801616613
6.99595899999999,1.61979715168723
5.58944499999999,2.00280072663567
6.75371,1.42995544310435
6.24513199999999,1.96251505882353
6.738223,1.72091636044216
4.54152299999999,2.76622505639742
5.64467799999999,2.09403421044366
7.147875,1.7411885232482
7.3605,1.58039540515774
6.05718399999999,1.56874411617057
6.16717099999999,1.99494862224554
6.69312099999999,1.75417132386962
6.08475499999999,2.19509355408317
6.196312,2.20492820887728
6.848819,1.45587414079422
7.316516,1.66219493749999
6.20092899999999,2.21093562825036
5.62561499999999,2.75042975156301
6.8007,1.58942215946407
5.98400799999999,2.47278212345679
6.06216199999999,2.07430259367651
6.55518999999999,2.04586827018553
7.11870399999999,1.66860504817861
6.21617299999999,1.93716907077326
6.515653,1.53856426288152
6.829926,1.53297880863591
6.42122399999999,2.27993597116456
6.62079299999999,1.50534552303257
5.869706,1.59918186462106
7.005103,1.34966171359287
6.793158,1.75721427383541
6.34127799999999,2.00354053383212
6.94389599999999,2.13534580597605
6.123517,2.32306976393955
6.46830999999999,1.79379602188585
7.384672,1.57982388073754
7.197144,1.25313496291434
7.18578899999999,1.38497498899227
6.69151799999999,1.86558926462103
6.43566699999999,2.16767757003107
6.79669599999999,1.83823712352479
6.88220899999999,1.4435784015748
5.334659,2.36050314078565
7.676364,1.49698413267171
6.497453,1.54097826967471
5.779715,1.64788666084492
5.36647699999999,2.62702352521009
6.538888,1.76757422690181
5.73101799999999,3.03597101388067
5.49618699999999,3.32996280289093
6.574723,2.04968063374942
7.46811599999999,1.50551655692227
7.32538399999999,1.56296962281102
6.63603899999999,2.00221721614567
6.416294,2.62623963964555
6.44117899999999,1.99772080353634
5.70983399999999,3.06852699993438
6.50445599999999,2.02729055070947
6.954952,1.7285914810867
5.58580299999999,3.27850707345226
6.93649199999999,1.5593052242132
7.05900599999999,1.66914301654292
5.88843999999999,2.36305307606484
6.50835399999999,1.79047858331703
6.917362,1.57438889664167
5.579915,3.29902995111869
6.444399,2.65533870491803
6.96513599999999,1.7541999375
7.41824099999999,1.56757506640957
6.492078,2.1381581999217
6.94169999999999,1.88525941103655
6.893088,1.62648588405986
5.73727,3.09645718918209
6.91871799999999,1.767420549094
6.95100599999999,1.91670335158032
6.589712,2.25628577472347
6.61970799999999,2.11699638935043
6.738445,1.82572961769703
6.24253299999999,2.14392873969915
6.05632,2.09640679601468
6.77127699999999,1.61780038483623
6.63001999999999,1.93419299921691
6.57016399999999,2.04302754488518
6.756435,1.62402957001174
6.23453299999999,2.36847313092491
6.176123,2.72675965808654
7.175392,1.78656735383012
5.403286,2.8182089600733
5.55237199999999,2.33709168934582
6.60063499999999,1.68098993479396
6.202546,2.69350758198174
6.69735499999999,1.93606747733351
5.843333,2.45123808973514
5.85295499999999,2.37000118051014
6.90519599999999,1.89571724200913
5.517498,3.29017153890679
5.881415,2.60093176466728
6.417239,2.23675812154913
