Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
52.00;58.00;70.00;0.01;0.11;-0.96;1.00;5.00;0.22;2.95;0.17;2.93;0.00;-2.50
53.00;61.00;61.00;0.03;0.00;-3.01;1.00;5.00;0.48;2.95;0.34;2.59;0.00;-9.71
54.00;76.00;64.00;0.02;0.18;-0.75;1.00;5.00;0.49;2.20;0.43;2.05;0.00;-15.71
55.00;60.00;63.00;0.00;0.70;-0.15;1.00;5.00;0.23;2.25;0.24;2.10;0.00;-9.35
56.00;60.00;62.00;0.03;0.00;-3.25;1.00;5.00;0.44;2.95;0.25;1.90;0.00;-9.10
57.00;72.00;70.00;0.03;0.01;-2.17;1.00;5.00;0.42;2.45;0.30;2.02;0.00;-9.64
58.00;71.00;65.00;0.00;0.72;-0.14;1.00;5.00;0.35;2.25;0.33;2.07;0.00;-13.97
59.00;60.00;56.00;0.00;0.69;-0.16;1.00;5.00;0.21;2.35;0.16;2.14;0.00;-2.78
60.00;69.00;59.00;0.02;0.11;-0.95;1.00;5.00;0.39;2.05;0.33;1.69;0.00;-6.30
61.00;62.00;63.00;0.02;0.10;-1.00;1.00;5.00;0.33;2.85;0.27;2.63;0.00;-3.86
62.00;64.00;66.00;0.03;0.00;-3.09;1.00;5.00;0.34;2.20;0.25;1.85;0.00;-4.84
63.00;54.00;69.00;0.01;0.09;-1.04;1.00;5.00;0.32;2.80;0.24;2.73;0.00;-9.56
64.00;69.00;76.00;0.00;0.74;-0.13;1.00;5.00;0.36;2.80;0.28;2.36;0.00;-19.98
65.00;75.00;68.00;0.04;0.00;-4.52;1.00;5.00;0.41;2.30;0.25;2.03;0.00;-4.71
66.00;57.00;57.00;0.00;0.69;-0.16;1.00;5.00;0.24;2.10;0.24;2.17;0.00;-6.91
67.00;55.00;65.00;0.00;0.70;-0.15;1.00;5.00;0.16;2.05;0.16;2.00;0.00;-3.02
68.00;57.00;66.00;0.03;0.00;-3.23;1.00;5.00;0.20;2.50;0.10;1.93;0.05;-1.33
69.00;55.00;68.00;0.03;0.00;-3.18;1.00;5.00;0.53;3.00;0.35;2.28;0.00;-11.19
