FileName;Frame;Channel;ChannelColoc;ColocSignalBased;ColocSizeBased;ColocObjectsNumber;MeanIntensity;PearsonCorr;PearsonCorrMasked
1_Composite.tif;0;0;1;0,7886;0,7704;0,7368;0,3313;0,9439;0,9439
1_Composite.tif;0;1;0;0,6968;0,6529;0,6666;0,3772;0,9439;0,9439
2_Composite.tif;0;0;1;0,7644;0,764;0,8461;0,4235;0,9622;0,9622
2_Composite.tif;0;1;0;0,8723;0,8701;0,8666;0,426;0,9622;0,9622
3_Composite.tif;0;0;1;0,7126;0,6742;0,8;0,3459;0,9598;0,9598
3_Composite.tif;0;1;0;0,6583;0,5779;0,4761;0,3168;0,9598;0,9598
4_Composite.tif;0;0;1;0,7549;0,7017;0,8095;0,2955;0,9447;0,9447
4_Composite.tif;0;1;0;0,6377;0,5593;0,5652;0,3576;0,9447;0,9447
5_Composite.tif;0;0;1;0,7475;0,7477;0,7368;0,3636;0,9539;0,9539
5_Composite.tif;0;1;0;0,5525;0,5313;0,44;0,3748;0,9539;0,9539
6_Composite.tif;0;0;1;0,7125;0,7202;0,9333;0,4645;0,9541;0,9541
6_Composite.tif;0;1;0;0,8701;0,9084;0,8888;0,5055;0,9541;0,9541
7_Composite.tif;0;0;1;0,7098;0,6849;0,9375;0,4187;0,9537;0,9537
7_Composite.tif;0;1;0;0,927;0,9167;1;0,474;0,9537;0,9537
8_Composite.tif;0;0;1;0,749;0,737;0,8125;0,3509;0,9645;0,9645
8_Composite.tif;0;1;0;0,8651;0,848;0,8947;0,3742;0,9645;0,9645
9_Composite.tif;0;0;1;0,7432;0,7313;0,9333;0,4073;0,9528;0,9528
9_Composite.tif;0;1;0;0,7135;0,6714;0,619;0,3876;0,9528;0,9528
10_Composite.tif;0;0;1;0,6267;0,6204;0,7142;0,3681;0,9533;0,9533
10_Composite.tif;0;1;0;0,9111;0,8894;0,9411;0,4545;0,9533;0,9533
11_Composite.tif;0;0;1;0,8471;0,6432;0,8461;0,3268;0,9666;0,9666
11_Composite.tif;0;1;0;0,6182;0,5972;0,6923;0,3045;0,9666;0,9666
12_Composite.tif;0;0;1;0,7019;0,6922;0,8;0,3564;0,957;0,957
12_Composite.tif;0;1;0;0,7907;0,7384;0,8125;0,4001;0,957;0,957
13_Composite.tif;0;0;1;0,7672;0,7721;0,8823;0,3996;0,9567;0,9567
13_Composite.tif;0;1;0;0,6468;0,6081;0,6153;0,4057;0,9567;0,9567
14_Composite.tif;0;0;1;0,6408;0,6329;0,8125;0,4107;0,9482;0,9482
14_Composite.tif;0;1;0;0,8987;0,9464;1;0,4934;0,9482;0,9482
15_Composite.tif;0;0;1;0,8227;0,8345;1;0,3422;0,9587;0,9587
15_Composite.tif;0;1;0;0,8954;0,889;1;0,4013;0,9587;0,9587
16_Composite.tif;0;0;1;0,7586;0,7662;1;0,353;0,9566;0,9566
16_Composite.tif;0;1;0;0,859;0,8055;0,9285;0,3974;0,9566;0,9566
17_Composite.tif;0;0;1;0,8725;0,8447;0,923;0,3495;0,9573;0,9573
17_Composite.tif;0;1;0;0,3493;0,4258;0,421;0,3067;0,9573;0,9573
18_Composite.tif;0;0;1;0,8862;0,8867;1;0,3855;0,9552;0,9552
18_Composite.tif;0;1;0;0,5928;0,4982;0,3809;0,3767;0,9552;0,9552
19_Composite.tif;0;0;1;0,7306;0,7021;0,7368;0,3469;0,9406;0,9406
19_Composite.tif;0;1;0;0,6986;0,6457;0,6923;0,3821;0,9406;0,9406
20_Composite.tif;0;0;1;0,7154;0,7088;0,7692;0,3427;0,9679;0,9679
20_Composite.tif;0;1;0;0,8889;0,8223;0,7857;0,4369;0,9679;0,9679
