"x","y","z","intensity"
81.5,127,0,255
88,125,0,227.277777777778
54.6,123,0,239.7
83.8,119,0,228.1
78,118,0,255
67,114,0,232
45.0588235294118,112.411764705882,0,228.294117647059
64.5,108,0,255
49.6666666666667,106.333333333333,0,255
85.625,107.25,0,191.625
44,105.875,0,229.875
77.25,109.6,0,248.3
40.3,101.3,0,181.4
49.3333333333333,97.6666666666667,0,255
86.304347826087,98.4347826086957,0,171.434782608696
73,95,0,248.666666666667
45.2222222222222,94.1111111111111,0,246.888888888889
82.3636363636364,90.9090909090909,0,155.818181818182
73.9285714285714,89.3571428571429,0,250.857142857143
46,86,0,255
51.6666666666667,76.3333333333333,0,246.333333333333
41.3181818181818,79.9545454545455,0,218.25
72.945945945946,77.2972972972973,0,229.567567567568
55.8333333333333,71.8333333333333,0,254.5
62,69.75,0,255
61.5,62.5,0,255
50,64.3513513513514,0,237.378378378378
67.5,56.5,0,255
60.6111111111111,55.7777777777778,0,252.888888888889
77.3877551020408,59.3061224489796,0,238.448979591837
70.5789473684211,51.5263157894737,0,246.526315789474
48.4,51.7333333333333,0,141.733333333333
82.2777777777778,46.3888888888889,0,217.388888888889
57.7714285714286,47.3428571428571,0,222.685714285714
65,41,0,149
44.6923076923077,41.4615384615385,0,160.307692307692
79.125,39.875,0,252.25
50.5384615384615,39.3076923076923,0,241.692307692308
71.6666666666667,40.1904761904762,0,253.619047619048
58.8571428571429,36.7857142857143,0,255
76,34,0,255
46.4615384615385,33.8461538461538,0,217.307692307692
52,29.5,0,255
83.9545454545455,29.2727272727273,0,235.909090909091
78,25.5,0,255
49.0526315789474,22.5263157894737,0,178.157894736842
82,20,0,246.888888888889
57,20.7142857142857,0,255
87,11.8333333333333,0,148.833333333333
77.5,10.5,0,255
58.3181818181818,10.9545454545455,0,248.681818181818
86.5238095238095,5.09523809523809,0,172.619047619048
65.2631578947368,6.84210526315789,0,238.315789473684
73.85,4.65,0,251.55
99.5384615384615,0.769230769230769,0,139.307692307692
