x,y
44.0,124.0
48.0,123.0
28.0,122.0
13.0,120.0
5.5,118.0
54.5,117.0
9.0,117.333333333333
59.0,116.0
61.0,114.0
55.0,109.0
6.0,109.0
23.0,108.0
25.0,107.0
13.0,104.0
2.0,104.0
66.0,102.0
63.0,102.0
68.0,101.5
54.5,95.5
57.0,94.5
51.0,87.0
64.25,80.25
55.0,80.0
62.0,78.0
53.5,78.0
65.3333333333333,77.0
68.0,74.0
66.0,74.0
67.0,72.0
71.0,71.0
69.0,71.0
57.5,69.0
26.0,68.0
57.5,66.0
74.0,65.0
71.5,65.5
76.0,64.0
57.0,64.0
58.0,62.0
59.5,60.0
83.0,53.0
82.0,44.0
82.0,41.0
83.0,37.0
58.0,37.0
52.0,23.0
57.0,20.0
16.0,19.0
14.0,19.0
57.0,18.0
15.0,17.0
13.0,17.0
78.0,16.0
38.0,12.5
31.5,12.5
77.0,11.0
34.0,10.0
76.5,8.0
23.0,8.0
25.0,7.0
75.0,5.5
64.0,5.66666666666667
28.0,4.0
74.0,3.3333333333333304
30.0,2.0
66.0,1.0
