"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"327","22_3_Composite.tif",0,1,0,0.6654,0.673,0.3529,0.1468,0.5607,0.5607
"228","22_4_Composite.tif",0,0,1,0.3588,0.3507,0.2857,0.1161,0.5097,0.5097
"328","22_4_Composite.tif",0,1,0,0.5529,0.5499,0.4545,0.163,0.5097,0.5097
"229","22_5_Composite.tif",0,0,1,0.385,0.3752,0.35,0.1782,0.5329,0.5329
"329","22_5_Composite.tif",0,1,0,0.4131,0.3783,0.2727,0.1308,0.5329,0.5329
"230","22_6_Composite.tif",0,0,1,0.525,0.523,0.2857,0.1178,0.5202,0.5202
"330","22_6_Composite.tif",0,1,0,0.748,0.7409,0.4067,0.153,0.5202,0.5202
"231","22_7_Composite.tif",0,0,1,0.4936,0.4832,0.25,0.1146,0.5563,0.5563
"331","22_7_Composite.tif",0,1,0,0.5484,0.5404,0.3137,0.1132,0.5563,0.5563
"232","22_8_Composite.tif",0,0,1,0.3405,0.3158,0.16,0.1045,0.4754,0.4754
"332","22_8_Composite.tif",0,1,0,0.5066,0.5109,0.4107,0.1429,0.4754,0.4754
"233","22_9_Composite.tif",0,0,1,0.5802,0.566,0.5172,0.203,0.5877,0.5877
"333","22_9_Composite.tif",0,1,0,0.366,0.3594,0.1282,0.0864,0.5877,0.5877
"234","23_10_Composite.tif",0,0,1,0.2969,0.2949,0.3,0.1463,0.4694,0.4694
"334","23_10_Composite.tif",0,1,0,0.4763,0.4824,0.3823,0.179,0.4694,0.4694
"235","23_11_Composite.tif",0,0,1,0.2734,0.2762,0.4,0.1346,0.4099,0.4099
"335","23_11_Composite.tif",0,1,0,0.4327,0.4276,0.5172,0.1544,0.4099,0.4099
"236","23_12_Composite.tif",0,0,1,0.3412,0.3294,0,0.0632,0.5385,0.5385
"336","23_12_Composite.tif",0,1,0,0.562,0.5662,0.2888,0.1297,0.5385,0.5385
"237","23_13_Composite.tif",0,0,1,0.3645,0.3573,0.0666,0.1011,0.5487,0.5487
"337","23_13_Composite.tif",0,1,0,0.5364,0.5153,0.3333,0.1186,0.5487,0.5487
"238","23_14_Composite.tif",0,0,1,0.5198,0.518,0.5,0.1375,0.6205,0.6205
"338","23_14_Composite.tif",0,1,0,0.7887,0.7753,0.6,0.1878,0.6205,0.6205
"239","23_15_Composite.tif",0,0,1,0.226,0.2211,0.0625,0.0678,0.3829,0.3829
"339","23_15_Composite.tif",0,1,0,0.5286,0.4995,0.3437,0.1348,0.3829,0.3829
"240","23_16_Composite.tif",0,0,1,0.4157,0.4062,0.1764,0.0826,0.612,0.612
"340","23_16_Composite.tif",0,1,0,0.6649,0.6588,0.5277,0.1875,0.612,0.612
"241","23_17_Composite.tif",0,0,1,0.2744,0.272,0,0.119,0.4559,0.4559
"341","23_17_Composite.tif",0,1,0,0.5528,0.5527,0.4347,0.1618,0.4559,0.4559
"242","23_18_Composite.tif",0,0,1,0.468,0.4492,0.1428,0.0856,0.5678,0.5678
"342","23_18_Composite.tif",0,1,0,0.5362,0.5363,0.1428,0.0801,0.5678,0.5678
