"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"228","03_8_Composite.tif",0,0,1,0.5998,0.6055,0.6666,0.2311,0.3957,0.3957
"328","03_8_Composite.tif",0,1,0,0.1565,0.1626,0.2272,0.0882,0.3957,0.3957
"229","03_9_Composite.tif",0,0,1,0.7465,0.7516,0.8125,0.2912,0.4434,0.4434
"329","03_9_Composite.tif",0,1,0,0.1228,0.1189,0.0625,0.0324,0.4434,0.4434
"230","28_10_Composite.tif",0,0,1,0.5255,0.5687,0.4347,0.2037,0.3163,0.3163
"330","28_10_Composite.tif",0,1,0,0.1327,0.1422,0,0.0186,0.3163,0.3163
"231","28_1_Composite.tif",0,0,1,0.5163,0.5618,0.5217,0.2184,0.3023,0.3023
"331","28_1_Composite.tif",0,1,0,0.1195,0.1283,0,0.0181,0.3023,0.3023
"232","28_2_Composite.tif",0,0,1,0.3674,0.4324,0.4545,0.115,0.1847,0.1847
"332","28_2_Composite.tif",0,1,0,0.0273,0.0269,0,0.0026,0.1847,0.1847
"233","28_3_Composite.tif",0,0,1,0.7786,0.7857,0.5555,0.2598,0.5133,0.5133
"333","28_3_Composite.tif",0,1,0,0.1954,0.1936,0.0666,0.0315,0.5133,0.5133
"234","28_4_Composite.tif",0,0,1,0.2001,0.2066,0.1666,0.1164,0.2245,0.2245
"334","28_4_Composite.tif",0,1,0,0.0154,0.0177,0,0.026,0.2245,0.2245
"235","28_5_Composite.tif",0,0,1,0.6082,0.6153,0.5142,0.1926,0.2961,0.2961
"335","28_5_Composite.tif",0,1,0,0.1266,0.1258,0,0.0269,0.2961,0.2961
"236","28_6_Composite.tif",0,0,1,0.2179,0.1759,0.2,0.0903,0.1841,0.1841
"336","28_6_Composite.tif",0,1,0,0.0202,0.0163,0,0.0463,0.1841,0.1841
"237","28_7_Composite.tif",0,0,1,0.6372,0.6363,0.6333,0.2248,0.3398,0.3398
"337","28_7_Composite.tif",0,1,0,0.0965,0.0971,0.0588,0.0309,0.3398,0.3398
"238","28_8_Composite.tif",0,0,1,0.2279,0.2347,0.5,0.15,0.1963,0.1963
"338","28_8_Composite.tif",0,1,0,0.022,0.0207,0,0.0144,0.1963,0.1963
"239","28_9_Composite.tif",0,0,1,0.1065,0.1764,0.2222,0.1144,0.1296,0.1296
"339","28_9_Composite.tif",0,1,0,0.0177,0.0213,0,0.019,0.1296,0.1296
"240","29_10_Composite.tif",0,0,1,0.5864,0.625,0.4117,0.1797,0.5442,0.5442
"340","29_10_Composite.tif",0,1,0,0.287,0.2724,0,0.0455,0.5442,0.5442
