"x","y","z","intensity"
63.2941176470588,123.764705882353,0,97.7058823529412
50.1111111111111,123.666666666667,0,61.2222222222222
119.636363636364,119.272727272727,0,68.8181818181818
45.3157894736842,119.052631578947,0,69.9473684210526
116,113,0,86
121.071428571429,111.642857142857,0,83.3571428571429
122.5,105,0,47
31.3333333333333,106.466666666667,0,56.3333333333333
116.25,105,0,60.25
47.3076923076923,101.230769230769,0,56.6923076923077
109.904761904762,97.0952380952381,0,85.1904761904762
98.3333333333333,93.3333333333333,0,35
24.9047619047619,93.8571428571429,0,63.2380952380952
5.2,88.6,0,40.6
16.5,86.5,0,48.75
37.5,86.5,0,90.45
17.6666666666667,82.3333333333333,0,65.6666666666667
91.5,82.7142857142857,0,78.2142857142857
10.75,78.1875,0,53.5
1.2,74.6,0,58.6
75.75,71,0,45.75
61.3333333333333,66.6666666666667,0,35
72,55.5,0,44.5
94,48,0,45
107.589743589744,48.2820512820513,0,143.923076923077
88,46,0,49
36.3333333333333,45.3333333333333,0,38
57,45,0,54.4
65.3846153846154,45.6153846153846,0,120.769230769231
79.9473684210526,44.0526315789474,0,91.6842105263158
27.5,42,0,42.5
15.6363636363636,41.0909090909091,0,78.6363636363636
117.5,37,0,32.5
96.8039215686274,38.4901960784314,0,146.372549019608
59.2941176470588,35.4117647058824,0,86.4705882352941
8.97058823529412,37.8823529411765,0,122.823529411765
2,31,0,69
87.8181818181818,31.9090909090909,0,70
74.5,30,0,57
107,28,0,45
67.6,28.8,0,77.8
55.875,29.125,0,55.375
11.5,28.6666666666667,0,77
72.3333333333333,24.0833333333333,0,83.3333333333333
49.5,22.8,0,67.4
13,22,0,53
59,16,0,86
53,17.2857142857143,0,111
43.75,14.875,0,62.75
29.9444444444444,19.1666666666667,0,127.888888888889
83.5882352941177,13.1176470588235,0,78.5294117647059
54.9090909090909,12.3636363636364,0,105.181818181818
103.823529411765,11.9411764705882,0,72.5294117647059
49.2,5.93333333333333,0,99
83.3571428571429,6.21428571428571,0,85.3571428571429
68.8125,3.3125,0,107.75
60.1666666666667,2.08333333333333,0,83.3333333333333
43,0,0,86
34.5,2.44444444444444,0,74.5
