"","Picture","method","value"
"104","Conf","Coloc.Tesseler.Manders.A",0.27815
"105","Conf","Coloc.Tesseler.Manders.A",0.27815
"106","Conf","Coloc.Tesseler.Manders.A",0.27815
"107","Conf","Coloc.Tesseler.Manders.A",0.27815
"108","Conf","Coloc.Tesseler.Manders.A",0.27815
"109","Conf","Coloc.Tesseler.Manders.A",0.27815
"110","Conf","Coloc.Tesseler.Manders.A",0.27815
"111","STED","Coloc.Tesseler.Manders.A",0.285
"112","STED","Coloc.Tesseler.Manders.A",0.285
"113","STED","Coloc.Tesseler.Manders.A",0.285
"114","STED","Coloc.Tesseler.Manders.A",0.285
"115","STED","Coloc.Tesseler.Manders.A",0.285
"116","STED","Coloc.Tesseler.Manders.A",0.285
"117","STED","Coloc.Tesseler.Manders.A",0.285
"118","STED","Coloc.Tesseler.Manders.A",0.285
"119","STED","Coloc.Tesseler.Manders.A",0.285
"120","STED","Coloc.Tesseler.Manders.A",0.285
"121","Conf","Coloc.Tesseler.Manders.B",0.0460924
"122","Conf","Coloc.Tesseler.Manders.B",0.0460924
"123","Conf","Coloc.Tesseler.Manders.B",0.0460924
"124","Conf","Coloc.Tesseler.Manders.B",0.0460924
"125","Conf","Coloc.Tesseler.Manders.B",0.0460924
"126","Conf","Coloc.Tesseler.Manders.B",0.0460924
"127","Conf","Coloc.Tesseler.Manders.B",0.0460924
"128","Conf","Coloc.Tesseler.Manders.B",0.0460924
"129","Conf","Coloc.Tesseler.Manders.B",0.0460924
"130","Conf","Coloc.Tesseler.Manders.B",0.0460924
"131","STED","Coloc.Tesseler.Manders.B",0.230044
"132","STED","Coloc.Tesseler.Manders.B",0.230044
"133","STED","Coloc.Tesseler.Manders.B",0.230044
"134","STED","Coloc.Tesseler.Manders.B",0.230044
"135","STED","Coloc.Tesseler.Manders.B",0.230044
"136","STED","Coloc.Tesseler.Manders.B",0.230044
"137","STED","Coloc.Tesseler.Manders.B",0.230044
"138","STED","Coloc.Tesseler.Manders.B",0.230044
"139","STED","Coloc.Tesseler.Manders.B",0.230044
"140","STED","Coloc.Tesseler.Manders.B",0.230044
