"","x"
"notchupper22","0.0776964"
"notchupper23","0.314101"
"notchupper24","0.384267"
"notchupper25","0.33921"
"notchupper26","0.234162342555621"
"notchupper27","0.538593773280094"
"notchupper28","0.452695329960071"
"notchupper29","0.236719"
"notchupper30","0.28887"
"notchupper31","0.238884"
"notchupper32","0.335329"
"notchupper33","0.273548183873361"
"notchupper34","0.779299110775821"
"notchupper35","0.760106375282378"
"notchupper36","0.885304"
"notchupper37","0.463428"
"notchupper38","0.93162"
"notchupper39","0.765281"
"notchupper40","0.245045589406733"
"notchupper41","1.02124351383343"
"notchupper42","0.75976130476897"
"notchlower1","0.868722"
"notchlower2","0.468645"
"notchlower3","0.510391"
"notchlower4","0.567087"
"notchlower5","0"
"notchlower6","1"
"notchlower7","1.1476041511466"
"notchlower8","0.692695"
"notchlower9","0.562476"
"notchlower10","0.662222"
"notchlower11","0.544156"
"notchlower12","-0.010598962213349"
"notchlower13","0.873457005059894"
"notchlower14","0.754639733017681"
"notchlower15","0.193358"
"notchlower16","0.112763"
"notchlower17","0.290201"
"notchlower18","0.337602"
"notchlower19","0.0405685692755268"
"notchlower20","0.572452186457493"
"notchlower21","0.506137138551054"
"notchlower22","0.0776964"
"notchlower23","0.314101"
"notchlower24","0.384267"
"notchlower25","0.33921"
"notchlower26","0.145837657444379"
"notchlower27","0.411406226719906"
"notchlower28","0.357304670039929"
"notchlower29","0.236719"
"notchlower30","0.28887"
"notchlower31","0.238884"
"notchlower32","0.335329"
"notchlower33","0.236451816126639"
"notchlower34","0.420700889224179"
"notchlower35","0.549893624717622"
"notchlower36","0.885304"
"notchlower37","0.463428"
"notchlower38","0.93162"
"notchlower39","0.765281"
"notchlower40","0.154954410593267"
"notchlower41","0.888756486166569"
"notchlower42","0.65023869523103"
"x1","0.678571428571429"
"x2","0.785714285714286"
"x3","0.892857142857143"
"x4","1"
"x5","1.10714285714286"
"x6","1.21428571428571"
"x7","1.32142857142857"
"x8","1.67857142857143"
"x9","1.78571428571429"
"x10","1.89285714285714"
"x11","2"
"x12","2.10714285714286"
"x13","2.21428571428571"
"x14","2.32142857142857"
"x15","2.67857142857143"
"x16","2.78571428571429"
"x17","2.89285714285714"
"x18","3"
"x19","3.10714285714286"
"x20","3.21428571428571"
"x21","3.32142857142857"
"x22","3.67857142857143"
"x23","3.78571428571429"
"x24","3.89285714285714"
"x25","4"
"x26","4.10714285714286"
"x27","4.21428571428571"
"x28","4.32142857142857"
"x29","4.67857142857143"
"x30","4.78571428571429"
"x31","4.89285714285714"
"x32","5"
"x33","5.10714285714286"
"x34","5.21428571428571"
"x35","5.32142857142857"
"x36","5.67857142857143"
"x37","5.78571428571429"
"x38","5.89285714285714"
"x39","6"
"x40","6.10714285714286"
"x41","6.21428571428571"
"x42","6.32142857142857"
"flipped_aes1","FALSE"
"flipped_aes2","FALSE"
"flipped_aes3","FALSE"
"flipped_aes4","FALSE"
"flipped_aes5","FALSE"
"flipped_aes6","FALSE"
"flipped_aes7","FALSE"
"flipped_aes8","FALSE"
"flipped_aes9","FALSE"
"flipped_aes10","FALSE"
"flipped_aes11","FALSE"
"flipped_aes12","FALSE"
"flipped_aes13","FALSE"
"flipped_aes14","FALSE"
"flipped_aes15","FALSE"
"flipped_aes16","FALSE"
"flipped_aes17","FALSE"
"flipped_aes18","FALSE"
"flipped_aes19","FALSE"
"flipped_aes20","FALSE"
"flipped_aes21","FALSE"
"flipped_aes22","FALSE"
"flipped_aes23","FALSE"
"flipped_aes24","FALSE"
"flipped_aes25","FALSE"
"flipped_aes26","FALSE"
"flipped_aes27","FALSE"
"flipped_aes28","FALSE"
"flipped_aes29","FALSE"
"flipped_aes30","FALSE"
"flipped_aes31","FALSE"
"flipped_aes32","FALSE"
"flipped_aes33","FALSE"
"flipped_aes34","FALSE"
"flipped_aes35","FALSE"
"flipped_aes36","FALSE"
"flipped_aes37","FALSE"
"flipped_aes38","FALSE"
"flipped_aes39","FALSE"
"flipped_aes40","FALSE"
"flipped_aes41","FALSE"
"flipped_aes42","FALSE"
"y1","0.868722"
"y2","0.468645"
"y3","0.510391"
"y4","0.567087"
"y5",NA
"y6","1"
"y7",NA
"y8","0.692695"
"y9","0.562476"
"y10","0.662222"
"y11","0.544156"
"y12",NA
"y13",NA
"y14",NA
"y15","0.193358"
"y16","0.112763"
"y17","0.290201"
"y18","0.337602"
"y19",NA
"y20",NA
"y21",NA
"y22","0.0776964"
"y23","0.314101"
"y24","0.384267"
"y25","0.33921"
"y26",NA
"y27",NA
"y28",NA
"y29","0.236719"
"y30","0.28887"
"y31","0.238884"
"y32","0.335329"
"y33",NA
"y34",NA
"y35",NA
"y36","0.885304"
"y37","0.463428"
"y38","0.93162"
"y39","0.765281"
"y40",NA
"y41",NA
"y42",NA
"PANEL1","1"
"PANEL2","1"
"PANEL3","1"
"PANEL4","1"
"PANEL5","1"
"PANEL6","1"
"PANEL7","1"
"PANEL8","1"
"PANEL9","1"
"PANEL10","1"
"PANEL11","1"
"PANEL12","1"
"PANEL13","1"
"PANEL14","1"
"PANEL15","1"
"PANEL16","1"
"PANEL17","1"
"PANEL18","1"
"PANEL19","1"
"PANEL20","1"
"PANEL21","1"
"PANEL22","1"
"PANEL23","1"
"PANEL24","1"
"PANEL25","1"
"PANEL26","1"
"PANEL27","1"
"PANEL28","1"
"PANEL29","1"
"PANEL30","1"
"PANEL31","1"
"PANEL32","1"
"PANEL33","1"
"PANEL34","1"
"PANEL35","1"
"PANEL36","1"
"PANEL37","1"
"PANEL38","1"
"PANEL39","1"
"PANEL40","1"
"PANEL41","1"
"PANEL42","1"
"group1","1"
"group2","2"
"group3","3"
"group4","4"
"group5","5"
"group6","6"
"group7","7"
"group8","8"
"group9","9"
"group10","10"
"group11","11"
"group12","12"
"group13","13"
"group14","14"
"group15","15"
"group16","16"
"group17","17"
"group18","18"
"group19","19"
"group20","20"
"group21","21"
"group22","22"
"group23","23"
"group24","24"
"group25","25"
"group26","26"
"group27","27"
"group28","28"
"group29","29"
"group30","30"
"group31","31"
"group32","32"
"group33","33"
"group34","34"
"group35","35"
"group36","36"
"group37","37"
"group38","38"
"group39","39"
"group40","40"
"group41","41"
"group42","42"
"ymin_final1","0.868722"
"ymin_final2","0.468645"
"ymin_final3","0.510391"
"ymin_final4","0.567087"
"ymin_final5","0"
"ymin_final6","1"
"ymin_final7","0.95"
"ymin_final8","0.692695"
"ymin_final9","0.562476"
"ymin_final10","0.662222"
"ymin_final11","0.544156"
"ymin_final12","0"
"ymin_final13","0.73"
"ymin_final14","0.56"
"ymin_final15","0.193358"
"ymin_final16","0.112763"
"ymin_final17","0.290201"
"ymin_final18","0.337602"
"ymin_final19","0"
"ymin_final20","0.25"
"ymin_final21","0.37"
"ymin_final22","0.0776964"
"ymin_final23","0.314101"
"ymin_final24","0.384267"
"ymin_final25","0.33921"
"ymin_final26","0.03"
"ymin_final27","0.28"
"ymin_final28","0.29"
"ymin_final29","0.236719"
"ymin_final30","0.28887"
"ymin_final31","0.238884"
"ymin_final32","0.335329"
"ymin_final33","0.11"
"ymin_final34","0.33"
"ymin_final35","0.39"
"ymin_final36","0.885304"
"ymin_final37","0.463428"
"ymin_final38","0.93162"
"ymin_final39","0.765281"
"ymin_final40","0.06"
"ymin_final41","0.52"
"ymin_final42","0.55"
"ymax_final1","0.868722"
"ymax_final2","0.468645"
"ymax_final3","0.510391"
"ymax_final4","0.567087"
"ymax_final5","0.03"
"ymax_final6","1"
"ymax_final7","1.3"
"ymax_final8","0.692695"
"ymax_final9","0.562476"
"ymax_final10","0.662222"
"ymax_final11","0.544156"
"ymax_final12","0.07"
"ymax_final13","1"
"ymax_final14","0.96"
"ymax_final15","0.193358"
"ymax_final16","0.112763"
"ymax_final17","0.290201"
"ymax_final18","0.337602"
"ymax_final19","0.15"
"ymax_final20","1"
"ymax_final21","0.7"
"ymax_final22","0.0776964"
"ymax_final23","0.314101"
"ymax_final24","0.384267"
"ymax_final25","0.33921"
"ymax_final26","0.35"
"ymax_final27","1"
"ymax_final28","0.69"
"ymax_final29","0.236719"
"ymax_final30","0.28887"
"ymax_final31","0.238884"
"ymax_final32","0.335329"
"ymax_final33","0.45"
"ymax_final34","1"
"ymax_final35","0.96"
"ymax_final36","0.885304"
"ymax_final37","0.463428"
"ymax_final38","0.93162"
"ymax_final39","0.765281"
"ymax_final40","0.47"
"ymax_final41","1"
"ymax_final42","0.96"
"xmin1","0.630357142857143"
"xmin2","0.7375"
"xmin3","0.844642857142857"
