"","Picture","ICCS.M1","ICCS.M2","LI..DeBias.","Mander.s.M1","Mander.s.M2","Pearson.s.Corr","Pearson.s.with.tresh.","Thresholded.Overlap.Coeff.ch1","Thresholded.Overlap.Coeff.ch2"
"1",10,0.110277241474481,0.143622262839474,0.0808387265723507,0.0469416383308447,0.0419281232173417,0.125850176639765,0.0821716620706631,0.0967,0.0434
"2",10,0.189821303600852,0.18497573028247,0.102860621190542,0.820847908852846,0.883520255203279,0.187382854756613,0.14296739052596,0.075,0.1666
"3",10,0.148190917961246,0.144934837740896,0.119948508255566,0.0492518182071502,0.0488387494976532,0.146553835328141,0.0803707366308797,0.1052,0.1034
"4",10,0.161236891828084,0.180004507409453,0.0991155045871537,0.980161704861855,0.980438238159536,0.170362458569209,0.164380093291527,0.1016,0.1363
"5",10,0.12915354320028,0.126606678878716,0.0670539492479874,0.86565979944938,0.868644339633849,0.127873770453546,0.101213006074028,0.0754,0.0784
"6",10,0.209305705277977,0.21070544992568,0.155284645025954,0.865488532143534,0.917527972141463,0.210004411388446,0.178299696043233,0.14,0.1607
"7",10,0.147171728094852,0.161299568912538,0.0414291207403679,0.052889141926414,0.0486917667950793,0.154073801464794,0.127504100785368,0.0909,0.05
"8",10,0.180877145284358,0.20076597099983,0.132770811330446,0.97690506751185,0.958931618622129,0.190562262016096,0.180942009021907,0.186,0.2187
"9",10,0.19749391816129,0.203644039594648,0.0723830628637963,0.0536326901644346,0.0534045907696228,0.200545404559017,0.142930645257483,0.1612,0.08
"10",10,0.238208704660737,0.227394611870088,0.0855101734738648,0.0554057267991043,0.0570078940051498,0.232738857822248,0.17821385219259,0.1896,0.0597
"11",10,0.185633624648104,0.177390474559286,0.10418114065672,0.973171842662762,0.978957764389502,0.181465249484544,0.175711359154479,0.1315,0.1228
"12",10,0.10728558182645,0.125201128565032,0.0564775850598211,0.04748035877408,0.0495862870312046,0.115897695936665,0.089691277827371,0.1063,0.0579
"13",10,0.157417638747484,0.150903035003623,0.0729850242634313,0.0485988913059086,0.0463300317907424,0.15412592075994,0.102405140493226,0.0851,0.02
"14",10,0.111565173926086,0.126426997789252,0.0601838565279795,0.976029636086293,0.961426427751788,0.118763841287283,0.11401382792318,0.035,0.1346
"15",10,0.0990860694268033,0.0957444344431719,0.0421335537225662,0.0470857541477026,0.0422563299888652,0.0974009223696888,0.0591537215747897,0.0862,0.0684
"16",10,0.249670687835452,0.255201580398461,0.108684515234463,0.0586225130453674,0.0598850695644768,0.252420985884253,0.188979375124304,0.1136,0.2
"17",10,0.286068295444216,0.240573827641036,0.12095859577751,0.979962081491742,0.97053688591074,0.262336701210032,0.253118006101142,0.1904,0.132
"18",10,0.263019236676418,0.258820310526359,0.0959435144606289,0.979313317052148,0.970038343175824,0.26091132691203,0.25125317227369,0.1071,0.2222
"19",10,0.259385017299323,0.292934075601859,0.129265955606146,0.961286279880204,0.950661154585209,0.275649615032471,0.2587491722476,0.204,0.1521
"20",10,0.240364965031412,0.221279586209095,0.0889781397028244,0.978834165061356,0.95242188238545,0.230624933607176,0.220497490668481,0.0434,0.0416
"21",20,0.187772166523343,0.184240849761821,0.136630127955296,0.961525129496231,0.976747238529487,0.185998127737563,0.17576741074094,0.0958,0.1791
"22",20,0.160478158428777,0.150857654075093,0.0818253646853941,0.049117400693169,0.0498998554998067,0.155593568346691,0.102123778165609,0.0851,0.14
"23",20,0.161844788881829,0.158024623911983,0.117430502249094,0.959802954257919,0.954375092574959,0.159923300038379,0.150308561247783,0.1886,0.1428
"24",20,0.159331596764526,0.167059154884321,0.0907882945570986,0.0511705004157741,0.049967058497174,0.163149630406726,0.121656020212805,0.06,0.0333
"25",20,0.156366348436886,0.177409277326734,0.0878433058589847,0.966014679627058,0.950793905024581,0.166555819095005,0.156073860257584,0.1111,0.1739
"26",20,0.175635283575958,0.167246204397154,0.109748404403907,0.948405315518788,0.959018732882163,0.171389423641883,0.162324079884587,0.1132,0.132
"27",20,0.255433440530627,0.285363505130883,0.12681796858454,0.973063990850526,0.975467016623486,0.26998404011619,0.258537942841117,0.093,0.2978
"28",20,0.197335738148049,0.204805993563834,0.0977728320348845,0.0578181035404308,0.0529612677132749,0.201036170668523,0.17938578130662,0.1272,0.159
"29",20,0.208734703000449,0.177050256108527,0.133073607885931,0.966532311351923,0.979488569755993,0.19224081935158,0.184939355058831,0.0625,0.1538
"30",20,0.21794590509268,0.226281522790183,0.0518667103260038,0.0599446176427961,0.0582288740400625,0.22207460748644,0.197217445307085,0.1568,0.1333
"31",20,0.170227592603747,0.172733316206008,0.0739231145497499,0.0510148561695685,0.0524789474738399,0.171475877546116,0.124245466324339,0.0704,0.0634
"32",20,0.181185452324001,0.155602983376842,0.0898243797716578,0.945691963529133,0.97382407404516,0.167907703593662,0.159156765267369,0.0972,0.1184
"33",20,0.127677408652612,0.128180142362841,0.0508536398202573,0.0421405079843087,0.0484488774271845,0.12792852855251,0.0670620658021448,0.0967,0.0701
"34",20,0.200533136281884,0.19633155016306,0.117305761227652,0.973196188537748,0.976127022903992,0.198421222416561,0.189142433155756,0.2027,0.1147
"35",20,0.157861853468736,0.166711749913676,0.13778526078235,0.967509983697034,0.970947626578971,0.162226464660947,0.153398080920445,0.0394,0.08
"36",20,0.240278437810336,0.265100473962252,0.11727817872129,0.960991670382361,0.980124043438017,0.252384483965298,0.244025300376314,0.0701,0.102
