"","class","no_pic","t","OTC"
"118","Tom40_Cbp3",2,390,0.975458315
"119","Tom40_Cbp3",2,405,0.976125301
"120","Tom40_Cbp3",2,420,0.97641647
"121","Tom40_Cbp3",2,435,0.978185764
"122","Tom40_Cbp3",2,450,0.979369251
"123","Tom40_Cbp3",2,465,0.979757609
"124","Tom40_Cbp3",2,480,0.980570738
"125","Tom40_Cbp3",2,495,0.982566553
"126","Tom40_Cbp3",2,510,0.985354803
"127","Tom40_Cbp3",2,525,0.988985081
"128","Tom40_Cbp3",2,540,0.9911581
"129","Tom40_Cbp3",2,555,0.99224443
"130","Tom40_Cbp3",2,570,0.992906023
"131","Tom40_Cbp3",2,585,0.993152401
"132","Tom40_Cbp3",2,600,0.993729123
"133","Tom40_Cbp3",2,615,0.993992633
"134","Tom40_Cbp3",2,630,0.994382401
"135","Tom40_Cbp3",2,645,0.994600249
"136","Tom40_Cbp3",2,660,0.994642372
"137","Tom40_Cbp3",2,675,0.99469498
"138","Tom40_Cbp3",2,690,0.99475492
"139","Tom40_Cbp3",2,705,0.994814872
"140","Tom40_Cbp3",2,720,0.994818367
"141","Tom40_Cbp3",2,735,0.994825188
"142","Tom40_Cbp3",2,750,0.99482868
"143","Tom40_Cbp3",2,765,0.994847078
"144","Tom40_Cbp3",2,780,0.994918654
"145","Tom40_Cbp3",2,795,0.995136251
"146","Tom40_Cbp3",2,810,0.995451936
"147","Tom40_Cbp3",2,825,0.995619663
"148","Tom40_Cbp3",2,840,0.995628624
"149","Tom40_Cbp3",2,855,0.995782966
"150","Tom40_Cbp3",2,870,0.995861636
"151","Tom40_Cbp3",2,885,0.996003591
"152","Tom40_Cbp3",2,900,0.996090058
"153","Tom40_Cbp3",2,915,0.996317929
"154","Tom40_Cbp3",2,930,0.997173837
"155","Tom40_Cbp3",2,945,0.99784153
"156","Tom40_Cbp3",2,960,0.998259536
"157","Tom40_Cbp3",2,975,0.998362552
"158","Tom40_Cbp3",2,990,0.998392472
"159","Tom40_Cbp3",2,1005,0.998442313
"160","Tom40_Cbp3",2,1020,0.998976049
"161","Tom40_Cbp3",2,1035,0.999455024
"162","Tom40_Cbp3",2,1050,0.999841194
"163","Tom40_Cbp3",2,1065,1
"164","Tom40_Cbp3",2,1080,1
"165","Tom40_Cbp3",2,1095,1
"166","Tom40_Cbp3",2,1110,1
"167","Tom40_Cbp3",2,1125,1
"168","Tom40_Cbp3",2,1140,1
"169","Tom40_Cbp3",2,1155,1
"170","Tom40_Cbp3",2,1170,1
"171","Tom40_Cbp3",2,1185,1
"172","Tom40_Cbp3",2,1200,1
"173","Tom40_Cbp3",2,1215,1
"174","Tom40_Cbp3",2,1230,1
"175","Tom40_Cbp3",2,1245,1
"176","Tom40_Cbp3",2,1260,1
"177","Tom40_Cbp3",2,1275,1
"178","Tom40_Cbp3",2,1290,1
