"","Picture","method","value"
"88","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.77
"89","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.52
"90","Tom40_Mrpl4","SODA.of.2.coloc..with.1",0.36
"91","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.61
"92","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.28
"93","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.45
"94","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.38
"95","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.44
"96","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.34
"97","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.42
"98","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.42
"99","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.99
"100","Tom40_Cbp3","SODA.of.2.coloc..with.1",0.39
"101","Tom40_Tom20","SODA.of.2.coloc..with.1",0.53
"102","Tom40_Tom20","SODA.of.2.coloc..with.1",0.48
"103","Tom40_Tom20","SODA.of.2.coloc..with.1",0.51
"104","Tom40_Tom20","SODA.of.2.coloc..with.1",0.97
"105","Tom40_Tom20","SODA.of.2.coloc..with.1",0.64
"106","Tom40_Tom20","SODA.of.2.coloc..with.1",0.54
"107","Tom40_Tom20","SODA.of.2.coloc..with.1",0.51
"108","Tom40_Tom20","SODA.of.2.coloc..with.1",0.62
"109","Tom40_Tom20","SODA.of.2.coloc..with.1",0.54
"110","Tom40_Tom20","SODA.of.2.coloc..with.1",0.42
"111","Tom40_Tom40","SODA.of.2.coloc..with.1",0.62
"112","Tom40_Tom40","SODA.of.2.coloc..with.1",0.63
"113","Tom40_Tom40","SODA.of.2.coloc..with.1",0.64
"114","Tom40_Tom40","SODA.of.2.coloc..with.1",0.65
"115","Tom40_Tom40","SODA.of.2.coloc..with.1",0.73
"116","Tom40_Tom40","SODA.of.2.coloc..with.1",0.58
"117","Tom40_Tom40","SODA.of.2.coloc..with.1",0.49
"118","Tom40_Tom40","SODA.of.2.coloc..with.1",0.69
"119","Tom40_Tom40","SODA.of.2.coloc..with.1",0.6
"120","Tom40_Tom40","SODA.of.2.coloc..with.1",0.58
"121","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"122","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"123","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"124","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"125","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"126","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"127","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"128","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"129","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"130","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.A",0.474459
"131","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"132","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"133","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"134","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"135","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"136","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"137","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"138","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"139","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"140","Tom40_Cbp3","Coloc.Tesseler.Spearmans.A",0.107398
"141","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"142","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"143","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"144","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"145","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"146","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"147","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"148","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"149","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"150","Tom40_Tom20","Coloc.Tesseler.Spearmans.A",0.640817
"151","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"152","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"153","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"154","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"155","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"156","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"157","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"158","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"159","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"160","Tom40_Tom40","Coloc.Tesseler.Spearmans.A",-0.16505
"161","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"162","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"163","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"164","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"165","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"166","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"167","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"168","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"169","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"170","Tom40_Mrpl4","Coloc.Tesseler.Spearmans.B",0.558742
"171","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"172","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"173","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
