"","x"
"fill1","#F8766D"
"fill2","#C49A00"
"fill3","#53B400"
"fill4","#00C094"
"fill5","#00B6EB"
"fill6","#A58AFF"
"fill7","#FB61D7"
"fill8","#F8766D"
"fill9","#C49A00"
"fill10","#53B400"
"fill11","#00C094"
"fill12","#00B6EB"
"fill13","#A58AFF"
"fill14","#FB61D7"
"alpha2",NA
"alpha3",NA
"alpha4",NA
"alpha5",NA
"alpha6",NA
"alpha7",NA
"alpha8",NA
"alpha9",NA
"alpha10",NA
"alpha11",NA
"alpha12",NA
"alpha13",NA
"alpha14",NA
"shape1","19"
"shape2","19"
"shape3","19"
"shape4","19"
"shape5","19"
"shape6","19"
"shape7","19"
"shape8","19"
"shape9","19"
"shape10","19"
"shape11","19"
"shape12","19"
"shape13","19"
"shape14","19"
"linetype1","solid"
"linetype2","solid"
"linetype3","solid"
"linetype4","solid"
"linetype5","solid"
"linetype6","solid"
"linetype7","solid"
"linetype8","solid"
"linetype9","solid"
"linetype10","solid"
"linetype11","solid"
"linetype12","solid"
"linetype13","solid"
"linetype14","solid"
