"","x"
"flipped_aes2","FALSE"
"flipped_aes3","FALSE"
"flipped_aes4","FALSE"
"flipped_aes5","FALSE"
"flipped_aes6","FALSE"
"flipped_aes7","FALSE"
"flipped_aes8","FALSE"
"flipped_aes9","FALSE"
"flipped_aes10","FALSE"
"flipped_aes11","FALSE"
"flipped_aes12","FALSE"
"flipped_aes13","FALSE"
"flipped_aes14","FALSE"
"flipped_aes15","FALSE"
"flipped_aes16","FALSE"
"flipped_aes17","FALSE"
"flipped_aes18","FALSE"
"flipped_aes19","FALSE"
"flipped_aes20","FALSE"
"flipped_aes21","FALSE"
"flipped_aes22","FALSE"
"flipped_aes23","FALSE"
"flipped_aes24","FALSE"
"flipped_aes25","FALSE"
"flipped_aes26","FALSE"
"flipped_aes27","FALSE"
"flipped_aes28","FALSE"
"y1","0.448759"
"y2","0.803954"
"y3","0.474459"
"y4","0.558742"
"y5",NA
"y6",NA
"y7",NA
"y8","0.195357"
"y9","0.199279"
"y10","0.107398"
"y11","-0.222146"
"y12",NA
"y13",NA
"y14",NA
"y15","0.59886"
"y16","0.441289"
"y17","0.640817"
"y18","0.505972"
"y19",NA
"y20",NA
"y21",NA
"y22","0.165721"
"y23","0.277688"
"y24","-0.16505"
"y25","-0.0910465"
"y26",NA
"y27",NA
"y28",NA
"PANEL1","1"
"PANEL2","1"
"PANEL3","1"
"PANEL4","1"
"PANEL5","1"
"PANEL6","1"
"PANEL7","1"
"PANEL8","1"
"PANEL9","1"
"PANEL10","1"
"PANEL11","1"
"PANEL12","1"
"PANEL13","1"
"PANEL14","1"
"PANEL15","1"
"PANEL16","1"
"PANEL17","1"
"PANEL18","1"
"PANEL19","1"
"PANEL20","1"
"PANEL21","1"
"PANEL22","1"
"PANEL23","1"
"PANEL24","1"
"PANEL25","1"
"PANEL26","1"
"PANEL27","1"
"PANEL28","1"
"group1","1"
"group2","2"
"group3","3"
"group4","4"
"group5","5"
"group6","6"
"group7","7"
"group8","8"
"group9","9"
"group10","10"
"group11","11"
"group12","12"
"group13","13"
"group14","14"
"group15","15"
"group16","16"
"group17","17"
"group18","18"
"group19","19"
"group20","20"
"group21","21"
"group22","22"
"group23","23"
"group24","24"
"group25","25"
"group26","26"
"group27","27"
"group28","28"
"ymin_final1","0.448759"
"ymin_final2","0.803954"
"ymin_final3","0.474459"
"ymin_final4","0.558742"
"ymin_final5","0.05"
"ymin_final6","0.5"
"ymin_final7","0.36"
"ymin_final8","0.195357"
"ymin_final9","0.199279"
"ymin_final10","0.107398"
"ymin_final11","-0.222146"
"ymin_final12","0.05"
"ymin_final13","0.33"
"ymin_final14","0.28"
"ymin_final15","0.59886"
"ymin_final16","0.441289"
"ymin_final17","0.640817"
"ymin_final18","0.505972"
"ymin_final19","0.04"
"ymin_final20","0.59"
"ymin_final21","0.42"
"ymin_final22","0.165721"
"ymin_final23","0.277688"
"ymin_final24","-0.16505"
"ymin_final25","-0.0910465"
"ymin_final26","0.16"
"ymin_final27","0.55"
"ymin_final28","0.49"
"ymax_final1","0.448759"
"ymax_final2","0.803954"
"ymax_final3","0.474459"
"ymax_final4","0.558742"
"ymax_final5","0.14"
"ymax_final6","1"
"ymax_final7","0.77"
"ymax_final8","0.195357"
"ymax_final9","0.199279"
"ymax_final10","0.107398"
"ymax_final11","-0.222146"
"ymax_final12","0.89"
"ymax_final13","1"
"ymax_final14","0.99"
"ymax_final15","0.59886"
"ymax_final16","0.441289"
"ymax_final17","0.640817"
"ymax_final18","0.505972"
"ymax_final19","0.84"
"ymax_final20","0.98"
"ymax_final21","0.97"
"ymax_final22","0.165721"
"ymax_final23","0.277688"
"ymax_final24","-0.16505"
"ymax_final25","-0.0910465"
"ymax_final26","0.32"
"ymax_final27","1"
"ymax_final28","0.73"
"xmin1","0.630357142857143"
"xmin2","0.7375"
"xmin3","0.844642857142857"
"xmin4","0.951785714285714"
"xmin5","1.05892857142857"
"xmin6","1.16607142857143"
"xmin7","1.27321428571429"
"xmin8","1.63035714285714"
"xmin9","1.7375"
"xmin10","1.84464285714286"
"xmin11","1.95178571428571"
"xmin12","2.05892857142857"
"xmin13","2.16607142857143"
"xmin14","2.27321428571429"
"xmin15","2.63035714285714"
"xmin16","2.7375"
"xmin17","2.84464285714286"
"xmin18","2.95178571428571"
"xmin19","3.05892857142857"
"xmin20","3.16607142857143"
"xmin21","3.27321428571429"
"xmin22","3.63035714285714"
"xmin23","3.7375"
"xmin24","3.84464285714286"
"xmin25","3.95178571428571"
"xmin26","4.05892857142857"
"xmin27","4.16607142857143"
"xmin28","4.27321428571429"
"xmax1","0.726785714285714"
"xmax2","0.833928571428571"
"xmax3","0.941071428571429"
"xmax4","1.04821428571429"
"xmax5","1.15535714285714"
"xmax6","1.2625"
"xmax7","1.36964285714286"
"xmax8","1.72678571428571"
"xmax9","1.83392857142857"
"xmax10","1.94107142857143"
"xmax11","2.04821428571429"
"xmax12","2.15535714285714"
"xmax13","2.2625"
"xmax14","2.36964285714286"
"xmax15","2.72678571428571"
"xmax16","2.83392857142857"
"xmax17","2.94107142857143"
"xmax18","3.04821428571429"
"xmax19","3.15535714285714"
"xmax20","3.2625"
"xmax21","3.36964285714286"
"xmax22","3.72678571428571"
"xmax23","3.83392857142857"
"xmax24","3.94107142857143"
"xmax25","4.04821428571429"
"xmax26","4.15535714285714"
"xmax27","4.2625"
"xmax28","4.36964285714286"
"weight1","1"
"weight2","1"
"weight3","1"
"weight4","1"
"weight5","1"
"weight6","1"
"weight7","1"
"weight8","1"
"weight9","1"
"weight10","1"
"weight11","1"
"weight12","1"
"weight13","1"
"weight14","1"
"weight15","1"
"weight16","1"
"weight17","1"
"weight18","1"
"weight19","1"
"weight20","1"
"weight21","1"
"weight22","1"
"weight23","1"
"weight24","1"
"weight25","1"
"weight26","1"
"weight27","1"
"weight28","1"
"colour1","grey20"
"colour2","grey20"
"colour3","grey20"
"colour4","grey20"
"colour5","grey20"
"colour6","grey20"
"colour7","grey20"
"colour8","grey20"
"colour9","grey20"
"colour10","grey20"
"colour11","grey20"
"colour12","grey20"
"colour13","grey20"
"colour14","grey20"
"colour15","grey20"
"colour16","grey20"
"colour17","grey20"
"colour18","grey20"
"colour19","grey20"
"colour20","grey20"
"colour21","grey20"
"colour22","grey20"
"colour23","grey20"
"colour24","grey20"
"colour25","grey20"
"colour26","grey20"
"colour27","grey20"
"colour28","grey20"
"size1","0.5"
"size2","0.5"
"size3","0.5"
"size4","0.5"
"size5","0.5"
"size6","0.5"
"size7","0.5"
"size8","0.5"
"size9","0.5"
"size10","0.5"
"size11","0.5"
"size12","0.5"
"size13","0.5"
"size14","0.5"
"size15","0.5"
"size16","0.5"
"size17","0.5"
"size18","0.5"
"size19","0.5"
"size20","0.5"
"size21","0.5"
"size22","0.5"
"size23","0.5"
"size24","0.5"
"size25","0.5"
"size26","0.5"
"size27","0.5"
"size28","0.5"
"alpha1",NA
"alpha2",NA
"alpha3",NA
"alpha4",NA
"alpha5",NA
"alpha6",NA
"alpha7",NA
"alpha8",NA
"alpha9",NA
"alpha10",NA
"alpha11",NA
"alpha12",NA
"alpha13",NA
"alpha14",NA
"alpha15",NA
"alpha16",NA
"alpha17",NA
"alpha18",NA
"alpha19",NA
"alpha20",NA
"alpha21",NA
"alpha22",NA
"alpha23",NA
"alpha24",NA
"alpha25",NA
"alpha26",NA
"alpha27",NA
"alpha28",NA
"shape1","19"
"shape2","19"
"shape3","19"
"shape4","19"
"shape5","19"
"shape6","19"
"shape7","19"
"shape8","19"
"shape9","19"
"shape10","19"
"shape11","19"
"shape12","19"
"shape13","19"
"shape14","19"
"shape15","19"
"shape16","19"
"shape17","19"
"shape18","19"
"shape19","19"
"shape20","19"
"shape21","19"
"shape22","19"
"shape23","19"
"shape24","19"
"shape25","19"
"shape26","19"
"shape27","19"
"shape28","19"
"linetype1","solid"
"linetype2","solid"
"linetype3","solid"
"linetype4","solid"
"linetype5","solid"
"linetype6","solid"
"linetype7","solid"
"linetype8","solid"
"linetype9","solid"
