"","class","no_pic","t","OTC"
"181","2D",2,1335,1
"182","2D",2,1350,1
"183","2D",3,0,0.018354886
"184","2D",3,15,0.088543762
"185","2D",3,30,0.17637092
"186","2D",3,45,0.279995845
"187","2D",3,60,0.373585987
"188","2D",3,75,0.492281627
"189","2D",3,90,0.569880226
"190","2D",3,105,0.615963922
"191","2D",3,120,0.665387807
"192","2D",3,135,0.756338242
"193","2D",3,150,0.823026892
"194","2D",3,165,0.874044036
"195","2D",3,180,0.907867635
"196","2D",3,195,0.938725271
"197","2D",3,210,0.957109171
"198","2D",3,225,0.96736169
"199","2D",3,240,0.974018213
"200","2D",3,255,0.983876569
"201","2D",3,270,0.989746513
"202","2D",3,285,0.990266235
"203","2D",3,300,0.990380884
"204","2D",3,315,0.990420761
"205","2D",3,330,0.990826327
"206","2D",3,345,0.993138629
"207","2D",3,360,0.994212143
"208","2D",3,375,0.994467319
"209","2D",3,390,0.994477086
"210","2D",3,405,0.994690841
"211","2D",3,420,0.995034986
"212","2D",3,435,0.996032978
"213","2D",3,450,0.997645505
"214","2D",3,465,0.998217505
"215","2D",3,480,0.998217579
"216","2D",3,495,0.998227153
"217","2D",3,510,0.998274806
"218","2D",3,525,0.998373422
"219","2D",3,540,0.999136276
"220","2D",3,555,0.99991921
"221","2D",3,570,1
"222","2D",3,585,1
"223","2D",3,600,1
"224","2D",3,615,1
"225","2D",3,630,1
"226","2D",3,645,1
"227","2D",3,660,1
"228","2D",3,675,1
"229","2D",3,690,1
"230","2D",3,705,1
"231","2D",3,720,1
"232","2D",3,735,1
"233","2D",3,750,1
"234","2D",3,765,1
"235","2D",3,780,1
"236","2D",3,795,1
"237","2D",3,810,1
"238","2D",3,825,1
"239","2D",3,840,1
"240","2D",3,855,1
"241","2D",3,870,1
"242","2D",3,885,1
"243","2D",3,900,1
"244","2D",3,915,1
"245","2D",3,930,1
"246","2D",3,945,1
"247","2D",3,960,1
"248","2D",3,975,1
"249","2D",3,990,1
"250","2D",3,1005,1
"251","2D",3,1020,1
"252","2D",3,1035,1
"253","2D",3,1050,1
