"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"206",30,0,0.08,0.04
"207",30,0.01,0.16,0.18
"208",30,0,0.3,0.27
"209",30,0.01,0.19,0.15
"210",30,0.04,0.24,0.15
"211",30,0,0.18,0.18
"212",30,0,0.25,0.25
"213",30,0.01,0.17,0.15
"214",30,0.03,0.2,0.11
"215",30,0,0.27,0.17
"216",30,0.04,0.27,0.19
"217",30,0,0.2,0.14
"218",30,0,0.13,0.12
"219",30,0.03,0.11,0.07
"220",30,0.05,0.33,0.19
"221",30,0,0.13,0.13
"222",30,0.03,0.21,0.15
"223",30,0,0.13,0.09
"224",30,0.03,0.2,0.08
"225",30,0,0.16,0.22
"226",30,0.02,0.2,0.21
"227",30,0.01,0.26,0.2
"228",30,0,0.15,0.14
"229",30,0,0.1,0.08
"230",30,0.02,0.22,0.16
"231",30,0,0.13,0.12
"232",30,0,0.22,0.22
"233",30,0,0.13,0.13
"234",30,0,0.24,0.24
"235",30,0,0.15,0.22
"236",30,0.02,0.14,0.13
"237",30,0,0.29,0.28
"238",30,0,0.07,0.05
"239",30,0.01,0.14,0.09
"240",30,0,0.18,0.16
"241",30,0.04,0.19,0.11
"242",30,0.01,0.16,0.09
"243",30,0.05,0.28,0.22
"244",30,0,0.18,0.2
"245",30,0.03,0.15,0.11
"246",30,0,0.22,0.22
"247",30,0.02,0.25,0.2
"248",30,0.01,0.21,0.21
"249",30,0.01,0.12,0.1
"250",30,0.01,0.26,0.24
"251",30,0.02,0.22,0.17
"252",30,0,0.12,0.13
"253",30,0.03,0.19,0.11
"254",30,0.01,0.12,0.08
"255",30,0.03,0.24,0.21
"256",30,0,0.22,0.1
"257",30,0,0.08,0.05
"258",30,0.01,0.3,0.19
"259",30,0,0.2,0.17
"260",30,0.02,0.11,0
"261",30,0,0.1,0.1
"262",30,0.01,0.27,0.22
"263",30,0.03,0.12,0.07
"264",30,0,0.2,0.22
"265",30,0.01,0.14,0.13
"266",30,0,0.08,0.06
"267",30,0.01,0.18,0.08
"268",30,0,0.16,0.11
"269",30,0,0.06,0.07
"270",30,0.05,0.22,0.17
"271",30,0,0.12,0.07
"272",30,0.03,0.3,0.11
"273",30,0.03,0.29,0.16
"274",30,0.03,0.24,0.14
"275",30,0,0.19,0.22
"276",30,0.03,0.29,0.21
"277",30,0,0.09,0.06
"278",30,0,0.21,0.2
"279",30,0,0.18,0.17
"280",30,0.03,0.22,0.14
"281",30,0.01,0.07,0.06
"282",30,0,0.41,0.25
"283",30,0.03,0.44,0.23
"284",30,0.04,0.21,0.18
"285",30,0,0.13,0.1
"286",30,0,0.18,0.15
"287",30,0.01,0.11,0.16
"288",30,0,0.03,0.04
"289",30,0,0.17,0.16
"290",30,0,0.16,0.14
"291",30,0.01,0.15,0.12
"292",30,0,0.1,0.07
"293",30,0,0.16,0.21
"294",30,0,0.23,0.16
"295",30,0,0.19,0.16
"296",30,0,0.22,0.22
"297",30,0.01,0.17,0.18
"298",30,0,0.26,0.25
"299",30,0.03,0.14,0.12
"300",30,0.02,0.18,0.16
"301",40,0.02,0.18,0.13
"302",40,0,0.11,0.11
"303",40,0,0.17,0.17
"304",40,0.01,0.41,0.33
"305",40,0,0.21,0.21
"306",40,0,0.26,0.17
"307",40,0.03,0.36,0.3
"308",40,0,0.3,0.29
"309",40,0,0.14,0.08
"310",40,0,0.23,0.15
"311",40,0.02,0.33,0.27
"312",40,0.01,0.37,0.33
"313",40,0.02,0.16,0.15
"314",40,0.01,0.17,0.17
"315",40,0,0.18,0.19
"316",40,0.02,0.18,0.15
"317",40,0.03,0.33,0.12
"318",40,0.01,0.18,0.16
"319",40,0,0.37,0.29
"320",40,0.01,0.15,0.13
"321",40,0.03,0.39,0.12
"322",40,0.03,0.31,0.21
"323",40,0,0.29,0.23
"324",40,0.01,0.44,0.27
"325",40,0,0.33,0.4
"326",40,0.01,0.29,0.21
"327",40,0,0.2,0.21
"328",40,0,0.28,0.24
"329",40,0.01,0.23,0.2
"330",40,0.01,0.39,0.35
"331",40,0,0.11,0.12
"332",40,0.02,0.16,0.12
"333",40,0,0.24,0.22
"334",40,0,0.31,0.28
"335",40,0.02,0.28,0.25
"336",40,0,0.23,0.19
"337",40,0,0.19,0.18
"338",40,0.03,0.29,0.15
"339",40,0,0.29,0.29
"340",40,0.03,0.23,0.1
"341",40,0.01,0.27,0.16
"342",40,0.02,0.2,0.17
"343",40,0.03,0.23,0.07
"344",40,0,0.23,0.27
"345",40,0,0.25,0.19
"346",40,0.03,0.39,0.26
"347",40,0.04,0.33,0.21
"348",40,0.01,0.24,0.13
"349",40,0.03,0.23,0.16
"350",40,0.01,0.23,0.14
"351",40,0,0.12,0.1
"352",40,0.01,0.19,0.19
"353",40,0.03,0.2,0.16
"354",40,0.01,0.16,0.12
"355",40,0.03,0.6,0.19
"356",40,0,0.14,0.14
"357",40,0.02,0.18,0.16
"358",40,0,0.12,0.09
"359",40,0,0.18,0.16
"360",40,0,0.22,0.25
"361",40,0.02,0.22,0.19
"362",40,0,0.26,0.22
"363",40,0.03,0.18,0.13
"364",40,0,0.22,0.22
"365",40,0,0.21,0.28
