"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"851",90,0.03,0.7,0.48
"852",90,0.04,0.54,0.51
"853",90,0.01,0.48,0.39
"854",90,0.03,0.67,0.53
"855",90,0.03,0.48,0.38
"856",90,0,0.51,0.51
"857",90,0.04,0.57,0.46
"858",90,0.02,0.46,0.49
"859",90,0.03,0.65,0.55
"860",90,0.02,0.46,0.4
"861",90,0.02,0.49,0.4
"862",90,0,0.5,0.56
"863",90,0,0.38,0.34
"864",90,0.06,0.67,0.43
"865",90,0.03,0.56,0.43
"866",90,0.01,0.55,0.45
"867",90,0.02,0.6,0.55
"868",90,0.05,0.54,0.49
"869",90,0.02,0.5,0.38
"870",90,0,0.67,0.63
"871",90,0.03,0.57,0.45
"872",90,0.04,0.61,0.45
"873",90,0.02,0.48,0.47
"874",90,0.05,0.65,0.47
"875",90,0,0.41,0.45
"876",90,0.07,0.65,0.56
"877",90,0.05,0.57,0.46
"878",90,0.01,0.48,0.44
"879",90,0.01,0.63,0.5
"880",90,0,0.41,0.35
"881",90,0.03,0.62,0.37
"882",90,0.05,0.71,0.53
"883",90,0.02,0.56,0.49
"884",90,0.01,0.51,0.42
"885",90,0.03,0.5,0.5
"886",90,0.03,0.59,0.45
"887",90,0.02,0.67,0.44
"888",90,0,0.63,0.48
"889",90,0,0.54,0.48
"890",90,0.05,0.68,0.46
"891",90,0.03,0.7,0.51
"892",90,0.02,0.47,0.54
"893",90,0.02,0.48,0.46
"894",90,0.02,0.6,0.39
"895",90,0,0.43,0.46
"896",90,0,0.53,0.46
"897",90,0.01,0.46,0.45
"898",90,0.03,0.51,0.45
"899",90,0.03,0.51,0.41
"900",90,0.02,0.61,0.56
