"","Picture","ICCS.M1","ICCS.M2","LI..DeBias.","Mander.s.M1","Mander.s.M2","Pearson.s.Corr","Pearson.s.with.tresh.","Thresholded.Overlap.Coeff.ch1","Thresholded.Overlap.Coeff.ch2"
"1","Tom40_Mrpl4",0.79669218113887,0.785390040224985,1.35522828323318,0.909254946127509,0.893425628625634,0.791020925255197,0.79092288199128,0.0384,0.4375
"2","Tom40_Mrpl4",0.459035614994563,0.576906952410635,1.22045984055091,0.821636897532869,0.781886165845777,0.514607459812288,0.513045735235493,0.1333,0.375
"3","Tom40_Mrpl4",0.396002294481759,0.641114674807864,0.692087254550253,0.666519300179461,0.622074805307102,0.503867921433624,0.498433297739728,0.0909,0.3636
"4","Tom40_Mrpl4",0.309723507550901,1.20841885290053,1.1923763450343,0.682404997551174,0.559830507303122,0.611780782397573,0.607581222736397,0.074,0.3793
"5","Tom40_Mrpl4",0.560093430588224,0.974126789481181,0.993333436536563,0.930474216584502,0.855989824008694,0.738648776718954,0.738451396894898,0.6666,0.3076
"6","Tom40_Mrpl4",0.546911277649474,0.880098192794213,0.941090374017806,0.838299390191444,0.741943090117399,0.693783559244579,0.696042506582166,0.2857,0.4
"7","Tom40_Mrpl4",0.583790436693665,0.735390343749749,1.04811176509755,0.821032494475582,0.771250759113915,0.655220459019688,0.652357343072875,0.15,0.2631
"8","Tom40_Mrpl4",0.474967547378595,0.626018606576471,1.42032646964856,0.87612761005456,0.852511557124413,0.545287559163962,0.550661683495249,0.4,0.5
"9","Tom40_Mrpl4",0.542652620158571,0.81396337186806,1.32963560555227,0.855474854709436,0.758961880644098,0.664604661778195,0.663788723269167,0,0.75
"10","Tom40_Mrpl4",0.478062810053665,0.562353519103918,0.930806152006829,0.875134949268628,0.805567234576466,0.518498123030727,0.517837621617516,0,0.2727
"11","Tom40_Mrpl4",0.47997685076033,0.710071715477507,0.813296440821098,0.829555407792421,0.794315747303129,0.583796185161293,0.580679259817447,0.1,0.3333
"12","Tom40_Mrpl4",0.373170387576664,0.629496223023438,1.05041228300145,0.725866298636194,0.639775751266592,0.48467447789594,0.483803532724498,0,0.7333
"13","Tom40_Mrpl4",0.478259742217152,0.585856349383913,0.99617775967922,0.791403839724226,0.764138138234805,0.52933118804075,0.529735477965093,0,0.8
"14","Tom40_Mrpl4",0.452276589889704,1.04472565368827,1.15406994986477,0.902962235651444,0.753656191664401,0.687389959208325,0.687189924923616,0.25,0.2941
"15","Tom40_Mrpl4",0.479625399644336,0.986134715440754,1.00109649126522,0.866507916537553,0.72210779170327,0.68773196595507,0.688242679740189,0.4,0.2857
"16","Tom40_Mrpl4",0.3393791857872,0.810523346444391,1.04739428979432,0.785204028135154,0.667572210662984,0.524475693791251,0.526447317564748,0.1111,0.75
"17","Tom40_Mrpl4",0.431501778444574,0.803410928905532,1.2218129056753,0.897416467461392,0.770127791918333,0.588789643798653,0.592523547100791,0.1,0.5714
"18","Tom40_Mrpl4",0.545647149470037,0.670315951528445,1.30947417090404,0.922062473170312,0.847029212734054,0.604777635330368,0.606062666770244,0.0384,0.4375
"19","Tom40_Mrpl4",0.449441984728513,0.857417688672456,0.6631977150307,0.822246381773542,0.742312833995672,0.620773314292974,0.618235570167866,0.1923,0.2777
"20","Tom40_Mrpl4",0.579998266618897,0.75084845590509,0.583728546241072,0.954697564730489,0.859187090028933,0.659917269753131,0.66337037280716,0,0.2222
"21","Tom40_Mrpl4",0.616578738245931,0.648623981190715,0.936773413910544,0.82184044129438,0.814492695649049,0.632398415493448,0.628424167134527,0.75,0.3333
"22","Tom40_Mrpl4",0.497268398166686,0.707407344166084,0.906935614957179,0.799741607537864,0.782130431827985,0.593103125000044,0.586516523117357,0.1111,0.4166
"23","Tom40_Mrpl4",0.399465380575728,0.917660676030697,0.742880011500258,0.853997338827296,0.699436966571449,0.605453277462417,0.612052925113264,0,0.6666
"24","Tom40_Mrpl4",0.589402873519413,0.791676153235335,2.05598962603842,0.869208785716271,0.796675620325783,0.683093111964761,0.684233322831691,0.1481,0.3529
"25","Tom40_Mrpl4",0.514746774026135,0.780869834425173,0.993549764979985,0.883202537836886,0.783945632527471,0.633995448094606,0.635208831451147,0.1111,0.2222
"26","Tom40_Mrpl4",0.656802526170924,0.215576589120272,0.256421661655612,0.555538298465781,0.574157986856278,0.376286125597936,0.346967242718438,0.1,0.4615
"27","Tom40_Mrpl4",0.9731429787533,0.331656232328845,0.40153088853838,0.636490975982418,0.818292393561532,0.568109966336262,0.565839532244604,0,0.6666
"28","Tom40_Mrpl4",0.764468322760464,0.194284961887302,0.487218524934386,0.514769306002156,0.616341583535214,0.385389022873727,0.362639661984924,0,0.7058
"29","Tom40_Mrpl4",0.634874798566323,0.231487402999167,0.486243837750315,0.585950875658794,0.618797249806545,0.383360820050429,0.358072205422052,0,0.6969
"30","Tom40_Mrpl4",0.597468167384863,0.24254301392743,0.521532251400702,0.642945217194571,0.62967192322021,0.380672733516892,0.355586058848306,0,0.4333
"31","Tom40_Mrpl4",0.887242045261911,0.312862148694176,0.45384237080868,0.670341215866992,0.841197921075761,0.526862840493099,0.520265465149631,0.3333,0.7058
