"","Picture","ICCS.M1","ICCS.M2","LI..DeBias.","Mander.s.M1","Mander.s.M2","Pearson.s.Corr","Pearson.s.with.tresh.","Thresholded.Overlap.Coeff.ch1","Thresholded.Overlap.Coeff.ch2"
"1","Conf",0.925376747876132,0.782077225350358,3.00876750125379,0.977323244973543,0.990392063978599,0.850715040059068,0.850940314630545,0.3333,1
"2","Conf",0.757753194203828,0.531629645471548,2.66375978979783,0.88321934787343,0.975890467140508,0.634699977934074,0.635853819816742,1,1
"3","Conf",0.318016648665374,0.189146550170765,0.931709945563569,0.479396899000735,0.527784998143335,0.245258541119211,0.172933286277515,0.3333,1
"4","Conf",0.768429144928179,0.509890147886968,2.18694489446158,0.959929882291434,0.979714455774077,0.625950837005659,0.626393116918262,0.6666,0.8333
"5","Conf",0.880115546638294,0.763251478360829,2.4345997862302,0.921840909223849,0.983194267891335,0.819603252860814,0.820067668761419,0.3333,1
"6","Conf",0.905422700775335,0.67048613543998,2.54565784622498,0.963397962189475,0.986367533040005,0.779149130515131,0.779224934903212,0.4285,0.8333
"7","Conf",0.859364101638746,0.648843313873029,2.38522359741459,0.981087447236323,0.992415621689192,0.746721267629898,0.747083176280767,0.4,0.6666
"8","Conf",0.993661738338318,0.825043964446108,2.01458468902038,0.923064598523197,0.984922666258392,0.905436149000612,0.906431641311387,0.8,1
"9","Conf",0.896439456589415,0.786050534027594,2.85026972333685,0.958869000114012,0.983895617856395,0.83943237582042,0.839530366052214,1,1
"10","Conf",0.858558200259124,0.799089978353348,2.75709398263425,0.947892766752608,0.989192001954218,0.828290561131873,0.830301796554601,0.3333,1
"11","STED",0.409019537542153,0.54607160120783,1.52054255212432,0.862547241321843,0.875259447041115,0.472603378945738,0.472603378945738,0.3783,0.1428
"12","STED",0.443036334528372,0.319600319805415,0.918503479360854,0.605568545675524,0.675483142897447,0.376290518350764,0.364904546451807,0.1176,0.2
"13","STED",0.0782665758357188,0.0554297450963059,0.337507710323058,0.501082399722696,0.529703493435461,0.0658657448764879,0.0638889706263889,0.1052,0.1224
"14","STED",0.35285320403708,0.400277657991106,1.10707427212064,0.792824751316559,0.79962637549263,0.375818113090123,0.375475622049108,0.3846,0.2758
"15","STED",0.332482106986046,0.497105834831282,1.0079936569779,0.695755652518842,0.730009029798334,0.406544948756914,0.400716362102963,0.6,0.125
"16","STED",0.285574596101067,0.461430088184939,0.99920150083416,0.722348674337169,0.743388085582818,0.363005111620062,0.360248646835529,0.4705,0.0833
"17","STED",0.333488510321288,0.447526655877231,1.5627568017586,0.764903388351055,0.816277017367319,0.386322401366482,0.384818177278155,0.4,0.0625
"18","STED",0.401077790131437,0.762088214458102,0.723951209191757,0.844931304521747,0.773062984208737,0.552862240472315,0.55074200074564,0.7647,0
"19","STED",0.405801831765161,0.648164988594098,1.3331845755167,0.836966210875086,0.847989113774515,0.51286113096776,0.511355697797247,0.6086,0
"20","STED",0.281755180648223,0.529704576189204,1.15600322203673,0.856807835563526,0.784534346705975,0.386325003791341,0.384795025334325,0.625,0
