"","class","no_pic","t","OTC"
"182","2D_random",2,1350,1
"183","2D_random",3,0,0.028870476
"184","2D_random",3,15,0.129546235
"185","2D_random",3,30,0.296261792
"186","2D_random",3,45,0.519084727
"187","2D_random",3,60,0.694442618
"188","2D_random",3,75,0.841253226
"189","2D_random",3,90,0.908762756
"190","2D_random",3,105,0.948024594
"191","2D_random",3,120,0.975422412
"192","2D_random",3,135,0.987485089
"193","2D_random",3,150,0.994354975
"194","2D_random",3,165,0.996936004
"195","2D_random",3,180,0.998194464
"196","2D_random",3,195,0.999123684
"197","2D_random",3,210,0.999825655
"198","2D_random",3,225,1
"199","2D_random",3,240,1
"200","2D_random",3,255,1
"201","2D_random",3,270,1
"202","2D_random",3,285,1
"203","2D_random",3,300,1
"204","2D_random",3,315,1
"205","2D_random",3,330,1
"206","2D_random",3,345,1
"207","2D_random",3,360,1
"208","2D_random",3,375,1
"209","2D_random",3,390,1
"210","2D_random",3,405,1
"211","2D_random",3,420,1
"212","2D_random",3,435,1
"213","2D_random",3,450,1
"214","2D_random",3,465,1
"215","2D_random",3,480,1
"216","2D_random",3,495,1
"217","2D_random",3,510,1
"218","2D_random",3,525,1
"219","2D_random",3,540,1
"220","2D_random",3,555,1
"221","2D_random",3,570,1
"222","2D_random",3,585,1
"223","2D_random",3,600,1
"224","2D_random",3,615,1
"225","2D_random",3,630,1
"226","2D_random",3,645,1
"227","2D_random",3,660,1
"228","2D_random",3,675,1
"229","2D_random",3,690,1
"230","2D_random",3,705,1
"231","2D_random",3,720,1
"232","2D_random",3,735,1
"233","2D_random",3,750,1
"234","2D_random",3,765,1
"235","2D_random",3,780,1
"236","2D_random",3,795,1
"237","2D_random",3,810,1
"238","2D_random",3,825,1
"239","2D_random",3,840,1
"240","2D_random",3,855,1
"241","2D_random",3,870,1
"242","2D_random",3,885,1
"243","2D_random",3,900,1
"244","2D_random",3,915,1
"245","2D_random",3,930,1
"246","2D_random",3,945,1
"247","2D_random",3,960,1
"248","2D_random",3,975,1
"249","2D_random",3,990,1
"250","2D_random",3,1005,1
"251","2D_random",3,1020,1
"252","2D_random",3,1035,1
"253","2D_random",3,1050,1
"254","2D_random",3,1065,1
"255","2D_random",3,1080,1
"256","2D_random",3,1095,1
"257","2D_random",3,1110,1
"258","2D_random",3,1125,1
"259","2D_random",3,1140,1
"260","2D_random",3,1155,1
"261","2D_random",3,1170,1
"262","2D_random",3,1185,1
"263","2D_random",3,1200,1
"264","2D_random",3,1215,1
"265","2D_random",3,1230,1
"266","2D_random",3,1245,1
"267","2D_random",3,1260,1
"268","2D_random",3,1275,1
"269","2D_random",3,1290,1
"270","2D_random",3,1305,1
"271","2D_random",3,1320,1
"272","2D_random",3,1335,1
"273","2D_random",3,1350,1
"274","2D_random",4,0,0.006328448
"275","2D_random",4,15,0.031146806
"276","2D_random",4,30,0.084188002
"277","2D_random",4,45,0.18418677
"278","2D_random",4,60,0.278369135
"279","2D_random",4,75,0.362438652
"280","2D_random",4,90,0.414035555
"281","2D_random",4,105,0.463880049
"282","2D_random",4,120,0.520679071
"283","2D_random",4,135,0.580470961
"284","2D_random",4,150,0.64992111
"285","2D_random",4,165,0.693059483
"286","2D_random",4,180,0.748162048
"287","2D_random",4,195,0.786409725
"288","2D_random",4,210,0.808175044
"289","2D_random",4,225,0.824405185
"290","2D_random",4,240,0.837907093
"291","2D_random",4,255,0.868141008
"292","2D_random",4,270,0.917459867
"293","2D_random",4,285,0.942718133
"294","2D_random",4,300,0.955141684
"295","2D_random",4,315,0.961515397
"296","2D_random",4,330,0.965075856
"297","2D_random",4,345,0.967651752
"298","2D_random",4,360,0.968273314
"299","2D_random",4,375,0.968362363
"300","2D_random",4,390,0.968564463
"301","2D_random",4,405,0.969241601
"302","2D_random",4,420,0.970634065
"303","2D_random",4,435,0.973725087
"304","2D_random",4,450,0.979093373
"305","2D_random",4,465,0.984558583
"306","2D_random",4,480,0.985631878
"307","2D_random",4,495,0.987397219
"308","2D_random",4,510,0.989253227
"309","2D_random",4,525,0.993667182
"310","2D_random",4,540,0.995235837
"311","2D_random",4,555,0.995903702
"312","2D_random",4,570,0.995948357
"313","2D_random",4,585,0.99594886
"314","2D_random",4,600,0.996070125
"315","2D_random",4,615,0.996539899
"316","2D_random",4,630,0.997266067
"317","2D_random",4,645,0.998133528
"318","2D_random",4,660,0.998863098
"319","2D_random",4,675,0.999213575
"320","2D_random",4,690,0.999597379
"321","2D_random",4,705,0.999678378
"322","2D_random",4,720,0.999799392
"323","2D_random",4,735,0.999916638
"324","2D_random",4,750,1
"325","2D_random",4,765,1
"326","2D_random",4,780,1
"327","2D_random",4,795,1
"328","2D_random",4,810,1
"329","2D_random",4,825,1
"330","2D_random",4,840,1
"331","2D_random",4,855,1
"332","2D_random",4,870,1
"333","2D_random",4,885,1
"334","2D_random",4,900,1
"335","2D_random",4,915,1
"336","2D_random",4,930,1
"337","2D_random",4,945,1
"338","2D_random",4,960,1
"339","2D_random",4,975,1
"340","2D_random",4,990,1
"341","2D_random",4,1005,1
"342","2D_random",4,1020,1
"343","2D_random",4,1035,1
"344","2D_random",4,1050,1
"345","2D_random",4,1065,1
"346","2D_random",4,1080,1
"347","2D_random",4,1095,1
"348","2D_random",4,1110,1
"349","2D_random",4,1125,1
"350","2D_random",4,1140,1
"351","2D_random",4,1155,1
"352","2D_random",4,1170,1
"353","2D_random",4,1185,1
"354","2D_random",4,1200,1
"355","2D_random",4,1215,1
"356","2D_random",4,1230,1
"357","2D_random",4,1245,1
"358","2D_random",4,1260,1
"359","2D_random",4,1275,1
"360","2D_random",4,1290,1
"361","2D_random",4,1305,1
"362","2D_random",4,1320,1
"363","2D_random",4,1335,1
"364","2D_random",4,1350,1
"365","2D_random",5,0,0.004981507
"366","2D_random",5,15,0.025752288
"367","2D_random",5,30,0.077226426
"368","2D_random",5,45,0.180683137
"369","2D_random",5,60,0.275735644
"370","2D_random",5,75,0.388785651
"371","2D_random",5,90,0.471814496
"372","2D_random",5,105,0.553633954
"373","2D_random",5,120,0.64056248
"374","2D_random",5,135,0.699065506
"375","2D_random",5,150,0.738041221
"376","2D_random",5,165,0.776851151
"377","2D_random",5,180,0.80636958
"378","2D_random",5,195,0.833976577
"379","2D_random",5,210,0.871697559
"380","2D_random",5,225,0.914309819
"381","2D_random",5,240,0.947008004
"382","2D_random",5,255,0.971692713
"383","2D_random",5,270,0.979051154
"384","2D_random",5,285,0.986107759
"385","2D_random",5,300,0.992004248
"386","2D_random",5,315,0.996485227
"387","2D_random",5,330,0.999466071
"388","2D_random",5,345,0.99954631
"389","2D_random",5,360,0.999573415
"390","2D_random",5,375,0.999591595
"391","2D_random",5,390,0.999605284
"392","2D_random",5,405,0.999613175
"393","2D_random",5,420,0.999617813
"394","2D_random",5,435,0.999636042
"395","2D_random",5,450,0.999679989
"396","2D_random",5,465,0.99984888
