"","class","no_pic","t","OTC"
"151","sparse_structure_10",2,885,1
"152","sparse_structure_10",2,900,1
"153","sparse_structure_10",2,915,1
"154","sparse_structure_10",2,930,1
"155","sparse_structure_10",2,945,1
"156","sparse_structure_10",2,960,1
"157","sparse_structure_10",2,975,1
"158","sparse_structure_10",2,990,1
"159","sparse_structure_10",2,1005,1
"160","sparse_structure_10",2,1020,1
"161","sparse_structure_10",2,1035,1
"162","sparse_structure_10",2,1050,1
"163","sparse_structure_10",2,1065,1
"164","sparse_structure_10",2,1080,1
"165","sparse_structure_10",2,1095,1
"166","sparse_structure_10",2,1110,1
"167","sparse_structure_10",2,1125,1
"168","sparse_structure_10",2,1140,1
"169","sparse_structure_10",2,1155,1
"170","sparse_structure_10",2,1170,1
"171","sparse_structure_10",2,1185,1
"172","sparse_structure_10",2,1200,1
"173","sparse_structure_10",2,1215,1
"174","sparse_structure_10",2,1230,1
"175","sparse_structure_10",2,1245,1
"176","sparse_structure_10",2,1260,1
"177","sparse_structure_10",2,1275,1
"178","sparse_structure_10",2,1290,1
"179","sparse_structure_10",2,1305,1
"180","sparse_structure_10",2,1320,1
"181","sparse_structure_10",2,1335,1
"182","sparse_structure_10",2,1350,1
"183","sparse_structure_10",3,0,0.161235294
"184","sparse_structure_10",3,15,0.486428694
"185","sparse_structure_10",3,30,0.784128447
"186","sparse_structure_10",3,45,0.947557377
"187","sparse_structure_10",3,60,0.986561366
"188","sparse_structure_10",3,75,0.997935431
"189","sparse_structure_10",3,90,0.999710784
"190","sparse_structure_10",3,105,1
"191","sparse_structure_10",3,120,1
"192","sparse_structure_10",3,135,1
"193","sparse_structure_10",3,150,1
"194","sparse_structure_10",3,165,1
"195","sparse_structure_10",3,180,1
"196","sparse_structure_10",3,195,1
"197","sparse_structure_10",3,210,1
"198","sparse_structure_10",3,225,1
"199","sparse_structure_10",3,240,1
"200","sparse_structure_10",3,255,1
"201","sparse_structure_10",3,270,1
"202","sparse_structure_10",3,285,1
"203","sparse_structure_10",3,300,1
"204","sparse_structure_10",3,315,1
"205","sparse_structure_10",3,330,1
"206","sparse_structure_10",3,345,1
"207","sparse_structure_10",3,360,1
"208","sparse_structure_10",3,375,1
"209","sparse_structure_10",3,390,1
"210","sparse_structure_10",3,405,1
"211","sparse_structure_10",3,420,1
"212","sparse_structure_10",3,435,1
"213","sparse_structure_10",3,450,1
"214","sparse_structure_10",3,465,1
"215","sparse_structure_10",3,480,1
"216","sparse_structure_10",3,495,1
"217","sparse_structure_10",3,510,1
"218","sparse_structure_10",3,525,1
"219","sparse_structure_10",3,540,1
"220","sparse_structure_10",3,555,1
"221","sparse_structure_10",3,570,1
"222","sparse_structure_10",3,585,1
"223","sparse_structure_10",3,600,1
"224","sparse_structure_10",3,615,1
"225","sparse_structure_10",3,630,1
"226","sparse_structure_10",3,645,1
"227","sparse_structure_10",3,660,1
"228","sparse_structure_10",3,675,1
"229","sparse_structure_10",3,690,1
"230","sparse_structure_10",3,705,1
"231","sparse_structure_10",3,720,1
"232","sparse_structure_10",3,735,1
"233","sparse_structure_10",3,750,1
"234","sparse_structure_10",3,765,1
"235","sparse_structure_10",3,780,1
"236","sparse_structure_10",3,795,1
"237","sparse_structure_10",3,810,1
"238","sparse_structure_10",3,825,1
"239","sparse_structure_10",3,840,1
"240","sparse_structure_10",3,855,1
"241","sparse_structure_10",3,870,1
"242","sparse_structure_10",3,885,1
"243","sparse_structure_10",3,900,1
"244","sparse_structure_10",3,915,1
"245","sparse_structure_10",3,930,1
"246","sparse_structure_10",3,945,1
"247","sparse_structure_10",3,960,1
"248","sparse_structure_10",3,975,1
"249","sparse_structure_10",3,990,1
"250","sparse_structure_10",3,1005,1
"251","sparse_structure_10",3,1020,1
"252","sparse_structure_10",3,1035,1
"253","sparse_structure_10",3,1050,1
"254","sparse_structure_10",3,1065,1
"255","sparse_structure_10",3,1080,1
"256","sparse_structure_10",3,1095,1
"257","sparse_structure_10",3,1110,1
"258","sparse_structure_10",3,1125,1
"259","sparse_structure_10",3,1140,1
"260","sparse_structure_10",3,1155,1
"261","sparse_structure_10",3,1170,1
"262","sparse_structure_10",3,1185,1
"263","sparse_structure_10",3,1200,1
"264","sparse_structure_10",3,1215,1
"265","sparse_structure_10",3,1230,1
"266","sparse_structure_10",3,1245,1
"267","sparse_structure_10",3,1260,1
"268","sparse_structure_10",3,1275,1
"269","sparse_structure_10",3,1290,1
"270","sparse_structure_10",3,1305,1
"271","sparse_structure_10",3,1320,1
"272","sparse_structure_10",3,1335,1
"273","sparse_structure_10",3,1350,1
"274","sparse_structure_10",4,0,0.171132172
"275","sparse_structure_10",4,15,0.523047008
"276","sparse_structure_10",4,30,0.812203589
"277","sparse_structure_10",4,45,0.950380151
"278","sparse_structure_10",4,60,0.98689465
"279","sparse_structure_10",4,75,0.997957898
"280","sparse_structure_10",4,90,0.999992893
"281","sparse_structure_10",4,105,1
"282","sparse_structure_10",4,120,1
"283","sparse_structure_10",4,135,1
"284","sparse_structure_10",4,150,1
"285","sparse_structure_10",4,165,1
"286","sparse_structure_10",4,180,1
"287","sparse_structure_10",4,195,1
"288","sparse_structure_10",4,210,1
"289","sparse_structure_10",4,225,1
"290","sparse_structure_10",4,240,1
"291","sparse_structure_10",4,255,1
"292","sparse_structure_10",4,270,1
"293","sparse_structure_10",4,285,1
"294","sparse_structure_10",4,300,1
"295","sparse_structure_10",4,315,1
"296","sparse_structure_10",4,330,1
"297","sparse_structure_10",4,345,1
"298","sparse_structure_10",4,360,1
"299","sparse_structure_10",4,375,1
"300","sparse_structure_10",4,390,1
"301","sparse_structure_10",4,405,1
"302","sparse_structure_10",4,420,1
"303","sparse_structure_10",4,435,1
"304","sparse_structure_10",4,450,1
"305","sparse_structure_10",4,465,1
"306","sparse_structure_10",4,480,1
"307","sparse_structure_10",4,495,1
"308","sparse_structure_10",4,510,1
"309","sparse_structure_10",4,525,1
"310","sparse_structure_10",4,540,1
"311","sparse_structure_10",4,555,1
"312","sparse_structure_10",4,570,1
"313","sparse_structure_10",4,585,1
"314","sparse_structure_10",4,600,1
"315","sparse_structure_10",4,615,1
"316","sparse_structure_10",4,630,1
"317","sparse_structure_10",4,645,1
"318","sparse_structure_10",4,660,1
"319","sparse_structure_10",4,675,1
"320","sparse_structure_10",4,690,1
"321","sparse_structure_10",4,705,1
"322","sparse_structure_10",4,720,1
"323","sparse_structure_10",4,735,1
"324","sparse_structure_10",4,750,1
"325","sparse_structure_10",4,765,1
"326","sparse_structure_10",4,780,1
"327","sparse_structure_10",4,795,1
"328","sparse_structure_10",4,810,1
"329","sparse_structure_10",4,825,1
"330","sparse_structure_10",4,840,1
"331","sparse_structure_10",4,855,1
"332","sparse_structure_10",4,870,1
"333","sparse_structure_10",4,885,1
"334","sparse_structure_10",4,900,1
"335","sparse_structure_10",4,915,1
"336","sparse_structure_10",4,930,1
"337","sparse_structure_10",4,945,1
"338","sparse_structure_10",4,960,1
"339","sparse_structure_10",4,975,1
"340","sparse_structure_10",4,990,1
"341","sparse_structure_10",4,1005,1
"342","sparse_structure_10",4,1020,1
"343","sparse_structure_10",4,1035,1
