FileName;Frame;Channel;ChannelColoc;ColocSignalBased;ColocSizeBased;ColocObjectsNumber;MeanIntensity;PearsonCorr;PearsonCorrMasked
1_Composite.tif;0;0;1;0,809;0,7995;1;0,4177;0,8898;0,8898
1_Composite.tif;0;1;0;0,217;0,2222;0,0769;0,3196;0,8898;0,8898
2_Composite.tif;0;0;1;0,5505;0,5395;0,4444;0,3651;0,8953;0,8953
2_Composite.tif;0;1;0;0,6494;0,5984;0,52;0,3776;0,8953;0,8953
3_Composite.tif;0;0;1;0,507;0,5002;0,5263;0,3395;0,8821;0,8821
3_Composite.tif;0;1;0;0,7327;0,704;0,6923;0,4241;0,8821;0,8821
4_Composite.tif;0;0;1;0,5079;0,5012;0,55;0,359;0,8834;0,8834
4_Composite.tif;0;1;0;0,7678;0,7206;0,6896;0,3958;0,8834;0,8834
5_Composite.tif;0;0;1;0,5477;0,5387;0,5;0,3639;0,8944;0,8944
5_Composite.tif;0;1;0;0,6269;0,6274;0,56;0,351;0,8944;0,8944
6_Composite.tif;0;0;1;0,4278;0,4224;0,3333;0,3449;0,8753;0,8753
6_Composite.tif;0;1;0;0,981;0,9834;1;0,4534;0,8753;0,8753
7_Composite.tif;0;0;1;0,6551;0,6691;0,7272;0,33;0,892;0,892
7_Composite.tif;0;1;0;0,4279;0,3881;0,3461;0,3112;0,892;0,892
8_Composite.tif;0;0;1;0,6043;0,5671;0,5555;0,3807;0,8862;0,8862
8_Composite.tif;0;1;0;0,4463;0,3172;0,2962;0,3204;0,8862;0,8862
9_Composite.tif;0;0;1;0,5226;0,5107;0,647;0,3488;0,8988;0,8988
9_Composite.tif;0;1;0;0,8536;0,8431;0,88;0,4303;0,8988;0,8988
10_Composite.tif;0;0;1;0,414;0,4115;0,4117;0,3338;0,874;0,874
10_Composite.tif;0;1;0;0,9778;0,9729;1;0,5137;0,874;0,874
11_Composite.tif;0;0;1;0,4356;0,4307;0,6;0,3559;0,8798;0,8798
11_Composite.tif;0;1;0;0,973;0,9618;1;0,4318;0,8798;0,8798
12_Composite.tif;0;0;1;0,4698;0,4699;0,5;0,3117;0,8915;0,8915
12_Composite.tif;0;1;0;0,8345;0,8091;0,7727;0,4281;0,8915;0,8915
13_Composite.tif;0;0;1;0,5083;0,511;0,6666;0,376;0,8764;0,8764
13_Composite.tif;0;1;0;0,9219;0,9072;0,9629;0,4486;0,8764;0,8764
14_Composite.tif;0;0;1;0,5759;0,5732;0,6923;0,3391;0,8813;0,8813
14_Composite.tif;0;1;0;0,7657;0,7347;0,7037;0,389;0,8813;0,8813
15_Composite.tif;0;0;1;0,6501;0,64;0,8;0,3272;0,8909;0,8909
15_Composite.tif;0;1;0;0,5939;0,5744;0,5652;0,2993;0,8909;0,8909
16_Composite.tif;0;0;1;0,4605;0,4573;0,5416;0,3776;0,8632;0,8632
16_Composite.tif;0;1;0;0,9171;0,9036;0,9333;0,4399;0,8632;0,8632
17_Composite.tif;0;0;1;0,4273;0,4372;0,3809;0,3717;0,8872;0,8872
17_Composite.tif;0;1;0;0,8429;0,8457;0,875;0,4628;0,8872;0,8872
18_Composite.tif;0;0;1;0,444;0,4394;0,5;0,3932;0,8767;0,8767
18_Composite.tif;0;1;0;0,9835;0,9802;1;0,4188;0,8767;0,8767
19_Composite.tif;0;0;1;0,5306;0,5069;0,5714;0,3171;0,9001;0,9001
19_Composite.tif;0;1;0;0,8599;0,8118;0,7391;0,3803;0,9001;0,9001
20_Composite.tif;0;0;1;0,5734;0,5685;0,5625;0,3941;0,9075;0,9075
20_Composite.tif;0;1;0;0,4896;0,6041;0,5416;0,3806;0,9075;0,9075
