"x","y","z","intensity"
81.9393939393939,123.590909090909,0,154.121212121212
83.2,116.4,0,128.6
80,113.5,0,119
75,111,0,105.666666666667
78.2682926829268,105.585365853659,0,119.975609756098
69.2735849056604,83.0566037735849,0,175.933962264151
64.0057471264368,66.5287356321839,0,201.614942528736
124.480769230769,50.4807692307692,0,153.538461538462
113,40,0,122
118.142857142857,40.7142857142857,0,140
57.6075268817204,43.1827956989247,0,202.844086021505
124.933333333333,34.1333333333333,0,136.8
111.666666666667,32.8245614035088,0,136.929824561404
110.333333333333,27.3333333333333,0,118
53.6065573770492,20.1967213114754,0,205.081967213115
50,10.5,0,181.833333333333
46.8,3.6,0,151.8
49.32,0.44,0,160.56
