"x","y","z","intensity"
79.5,119,0,102
89.588785046729,116.448598130841,0,184.336448598131
88.6111111111111,101,0,164.722222222222
94.3333333333333,98,0,151
127,88,0,40
97.5,88,0,157.5
92.5555555555556,83.7777777777778,0,148
87.01875,90.60625,0,204.90625
126.625,82,0,64.125
126.6,75.8,0,75.6
85.6666666666667,72,0,104.666666666667
126.75,64.5,0,64.25
127,40,0,25
90.5,39,0,168.5
75.3333333333333,38.3333333333333,0,159
82.2647975077882,50.4423676012461,0,206.417445482866
127,27,0,40.3333333333333
76.6086956521739,25.6521739130435,0,171.115942028986
78,21,0,124
75.8,16,0,133.1
80.3076923076923,12.6153846153846,0,125.692307692308
127,9,0,67
77.2857142857143,6,0,145.857142857143
82.3333333333333,5.44444444444444,0,105.333333333333
72.8666666666667,7.06666666666667,0,116.466666666667
126.75,2.25,0,81.125
75.3333333333333,0.666666666666667,0,143.933333333333
