Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;63.00;72.00;0.03;0.00;-2.54;1.00;5.00;0.31;2.05;0.31;2.27;0.00;-5.83
1.00;76.00;69.00;0.06;0.00;-7.38;1.00;5.00;0.55;2.15;0.44;1.93;0.00;-15.01
2.00;71.00;56.00;0.05;0.00;-6.23;1.00;5.00;0.65;3.10;0.45;2.36;0.00;-9.83
3.00;68.00;67.00;0.01;0.13;-0.89;1.00;5.00;0.41;2.40;0.36;2.41;0.00;-7.82
4.00;73.00;70.00;0.00;0.73;-0.14;1.00;5.00;0.45;2.40;0.46;2.47;0.00;-17.66
5.00;48.00;75.00;0.01;0.08;-1.08;1.00;5.00;0.35;2.15;0.29;1.88;0.00;-9.84
6.00;67.00;72.00;0.03;0.00;-2.39;1.00;5.00;0.49;2.20;0.45;2.36;0.00;-11.58
7.00;69.00;69.00;0.04;0.00;-4.93;1.00;5.00;0.56;2.55;0.47;2.28;0.00;-11.21
8.00;56.00;61.00;0.02;0.08;-1.11;1.00;5.00;0.48;2.50;0.43;2.43;0.00;-15.07
9.00;75.00;66.00;0.00;0.74;-0.13;1.00;5.00;0.54;2.30;0.51;2.39;0.00;-16.92
10.00;66.00;60.00;0.02;0.14;-0.87;1.00;5.00;0.65;2.20;0.52;1.82;0.00;-17.93
11.00;67.00;76.00;0.00;0.73;-0.13;1.00;5.00;0.48;2.25;0.42;2.35;0.00;-11.04
12.00;66.00;60.00;0.02;0.09;-1.05;1.00;5.00;0.32;2.45;0.22;2.38;0.00;-9.03
13.00;71.00;65.00;0.00;0.72;-0.14;1.00;5.00;0.35;2.35;0.25;1.96;0.00;-5.71
14.00;69.00;58.00;0.03;0.00;-3.21;1.00;5.00;0.63;2.25;0.54;1.99;0.00;-28.79
15.00;75.00;59.00;0.03;0.00;-2.54;1.00;5.00;0.65;2.60;0.52;2.37;0.00;-6.70
16.00;55.00;60.00;0.02;0.08;-1.08;1.00;5.00;0.35;2.00;0.31;1.82;0.00;-10.48
17.00;72.00;61.00;0.00;0.73;-0.14;1.00;5.00;0.70;2.85;0.51;2.53;0.00;-20.45
18.00;55.00;62.00;0.03;0.00;-3.54;1.00;5.00;0.57;2.45;0.40;2.04;0.00;-19.57
19.00;61.00;59.00;0.02;0.08;-1.10;1.00;5.00;0.35;2.05;0.33;2.04;0.00;-7.85
20.00;59.00;67.00;0.03;0.00;-2.96;1.00;5.00;0.58;2.25;0.42;1.72;0.00;-12.49
21.00;55.00;60.00;0.02;0.06;-1.21;1.00;5.00;0.48;2.45;0.39;2.10;0.00;-25.24
22.00;63.00;67.00;0.01;0.12;-0.90;1.00;5.00;0.59;2.20;0.57;2.40;0.00;-14.84
23.00;72.00;76.00;0.00;0.75;-0.12;1.00;5.00;0.56;2.30;0.43;2.06;0.00;-20.60
24.00;61.00;74.00;0.01;0.14;-0.86;1.00;5.00;0.50;2.30;0.45;2.31;0.00;-11.53
25.00;72.00;67.00;0.03;0.00;-2.40;1.00;5.00;0.81;3.50;0.42;2.36;0.00;-14.35
26.00;56.00;67.00;0.01;0.08;-1.10;1.00;5.00;0.31;2.30;0.23;2.03;0.00;-5.88
27.00;67.00;69.00;0.04;0.00;-4.87;1.00;5.00;0.44;2.60;0.27;1.95;0.00;-7.57
28.00;65.00;67.00;0.00;0.71;-0.15;1.00;5.00;0.45;2.05;0.39;1.96;0.00;-12.60
29.00;72.00;73.00;0.03;0.01;-1.99;1.00;5.00;0.45;2.20;0.45;2.41;0.00;-12.22
30.00;62.00;72.00;0.04;0.00;-5.63;1.00;5.00;0.51;2.55;0.41;2.37;0.00;-5.45
31.00;62.00;64.00;0.03;0.00;-2.83;1.00;5.00;0.48;2.40;0.34;1.88;0.00;-9.26
32.00;71.00;69.00;0.03;0.01;-2.25;1.00;5.00;0.55;2.75;0.39;2.46;0.00;-10.57
33.00;64.00;63.00;0.02;0.12;-0.91;1.00;5.00;0.49;2.75;0.40;2.69;0.00;-22.52
34.00;54.00;72.00;0.00;0.71;-0.15;1.00;5.00;0.35;2.25;0.30;2.02;0.00;-11.49
35.00;70.00;64.00;0.05;0.00;-5.54;1.00;5.00;0.54;2.55;0.35;1.89;0.00;-10.72
36.00;52.00;54.00;0.00;0.68;-0.17;1.00;5.00;0.40;2.05;0.40;2.40;0.00;-9.95
