"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"328","07_4_Composite.tif",0,1,0,0.8106,0.8092,0.75,0.2546,0.7779,0.7779
"229","07_5_Composite.tif",0,0,1,0.8094,0.8081,0.25,0.1059,0.7483,0.7483
"329","07_5_Composite.tif",0,1,0,0.8569,0.7843,0.3333,0.151,0.7483,0.7483
"230","07_6_Composite.tif",0,0,1,0.4393,0.4221,0.3333,0.2201,0.6615,0.6615
"330","07_6_Composite.tif",0,1,0,0.9914,0.9815,0.875,0.325,0.6615,0.6615
"231","07_7_Composite.tif",0,0,1,0.8426,0.839,0.25,0.0844,0.8976,0.8976
"331","07_7_Composite.tif",0,1,0,0.9414,0.9414,1,0.3097,0.8976,0.8976
"232","07_8_Composite.tif",0,0,1,0.8804,0.8646,0.5,0.2226,0.8298,0.8298
"332","07_8_Composite.tif",0,1,0,0.9255,0.9255,1,0.3165,0.8298,0.8298
"233","07_9_Composite.tif",0,0,1,0.702,0.6376,0.4,0.1698,0.8458,0.8458
"333","07_9_Composite.tif",0,1,0,0.865,0.837,0.4,0.1581,0.8458,0.8458
"234","09_10_Composite.tif",0,0,1,0.8184,0.8,0.75,0.2397,0.8666,0.8666
"334","09_10_Composite.tif",0,1,0,0.8105,0.7943,1,0.3112,0.8666,0.8666
"235","09_11_Composite.tif",0,0,1,0.858,0.8556,0.3333,0.1708,0.8367,0.8367
"335","09_11_Composite.tif",0,1,0,0.7561,0.7561,1,0.2748,0.8367,0.8367
"236","09_12_Composite.tif",0,0,1,0.9641,0.9641,1,0.4533,0.8144,0.8144
"336","09_12_Composite.tif",0,1,0,0.8622,0.8624,1,0.263,0.8144,0.8144
"237","09_13_Composite.tif",0,0,1,0.6033,0.6067,0.08,0.0419,0.6143,0.6143
"337","09_13_Composite.tif",0,1,0,0.8992,0.8903,0.6428,0.1332,0.6143,0.6143
"238","09_14_Composite.tif",0,0,1,0.9139,0.8865,0.3333,0.1823,0.9063,0.9063
"338","09_14_Composite.tif",0,1,0,0.8971,0.8971,1,0.3625,0.9063,0.9063
"239","09_15_Composite.tif",0,0,1,0.9831,0.9831,1,0.4366,0.9406,0.9406
"339","09_15_Composite.tif",0,1,0,0.8784,0.8784,1,0.3631,0.9406,0.9406
"240","09_16_Composite.tif",0,0,1,0.8751,0.8751,1,0.3438,0.7885,0.7885
"340","09_16_Composite.tif",0,1,0,0.8794,0.8794,1,0.3024,0.7885,0.7885
"241","09_17_Composite.tif",0,0,1,0.9013,0.8864,0.6666,0.292,0.812,0.812
"341","09_17_Composite.tif",0,1,0,0.7484,0.7403,0.5,0.3257,0.812,0.812
"242","09_18_Composite.tif",0,0,1,0.5928,0.5216,0.05,0.0236,0.6517,0.6517
"342","09_18_Composite.tif",0,1,0,0.9327,0.9308,0.5,0.2251,0.6517,0.6517
"243","09_19_Composite.tif",0,0,1,0.926,0.9262,1,0.4171,0.7951,0.7951
"343","09_19_Composite.tif",0,1,0,0.8397,0.8397,1,0.2804,0.7951,0.7951
"244","09_1_Composite.tif",0,0,1,0.6222,0.6206,0.75,0.2464,0.6633,0.6633
"344","09_1_Composite.tif",0,1,0,0.8517,0.8903,1,0.2836,0.6633,0.6633
"245","09_20_Composite.tif",0,0,1,0.8115,0.7958,0.75,0.3296,0.8283,0.8283
"345","09_20_Composite.tif",0,1,0,0.7799,0.7804,1,0.2421,0.8283,0.8283
"246","09_21_Composite.tif",0,0,1,0.7613,0.7613,1,0.2926,0.7574,0.7574
"346","09_21_Composite.tif",0,1,0,0.9481,0.9481,1,0.39,0.7574,0.7574
"247","09_22_Composite.tif",0,0,1,0.7701,0.766,0.5,0.1841,0.884,0.884
"347","09_22_Composite.tif",0,1,0,0.9458,0.9311,1,0.4259,0.884,0.884
"248","09_23_Composite.tif",0,0,1,0.9565,0.8779,0.4285,0.2191,0.7865,0.7865
"348","09_23_Composite.tif",0,1,0,0.4145,0.4106,0,0.2492,0.7865,0.7865
"249","09_24_Composite.tif",0,0,1,0.8795,0.8516,0.5,0.3272,0.7945,0.7945
"349","09_24_Composite.tif",0,1,0,0.6583,0.6669,1,0.2448,0.7945,0.7945
"250","09_25_Composite.tif",0,0,1,0.8594,0.8141,0.5,0.2044,0.822,0.822
"350","09_25_Composite.tif",0,1,0,0.738,0.738,1,0.2885,0.822,0.822
"251","09_26_Composite.tif",0,0,1,0.7991,0.7947,0.5,0.2168,0.8811,0.8811
"351","09_26_Composite.tif",0,1,0,0.9321,0.9337,1,0.2806,0.8811,0.8811
"252","09_27_Composite.tif",0,0,1,0.9792,0.9792,1,0.6132,0.8759,0.8759
"352","09_27_Composite.tif",0,1,0,0.8346,0.8346,1,0.3462,0.8759,0.8759
"253","09_28_Composite.tif",0,0,1,0.6333,0.624,0.3333,0.1313,0.8014,0.8014
"353","09_28_Composite.tif",0,1,0,1,1,1,0.3522,0.8014,0.8014
"254","09_29_Composite.tif",0,0,1,0.8875,0.8875,1,0.3388,0.918,0.918
"354","09_29_Composite.tif",0,1,0,0.9165,0.9165,1,0.3436,0.918,0.918
"255","09_2_Composite.tif",0,0,1,0.9422,0.9422,1,0.4655,0.834,0.834
"355","09_2_Composite.tif",0,1,0,0.7872,0.7872,1,0.2806,0.834,0.834
"256","09_30_Composite.tif",0,0,1,0.9679,0.9679,1,0.6322,0.9096,0.9096
"356","09_30_Composite.tif",0,1,0,0.856,0.856,1,0.3656,0.9096,0.9096
"257","09_31_Composite.tif",0,0,1,0.7748,0.776,1,0.3042,0.7594,0.7594
"357","09_31_Composite.tif",0,1,0,0.8197,0.8136,1,0.2724,0.7594,0.7594
"258","09_32_Composite.tif",0,0,1,0.7438,0.7466,1,0.2564,0.7031,0.7031
"358","09_32_Composite.tif",0,1,0,0.9186,0.9198,1,0.2707,0.7031,0.7031
"259","09_33_Composite.tif",0,0,1,0.9621,0.9494,0.5,0.208,0.7917,0.7917
"359","09_33_Composite.tif",0,1,0,0.7937,0.7937,1,0.2891,0.7917,0.7917
"260","09_34_Composite.tif",0,0,1,0.7933,0.7883,0.3333,0.1084,0.7961,0.7961
"360","09_34_Composite.tif",0,1,0,0.9339,0.9353,1,0.4104,0.7961,0.7961
"261","09_3_Composite.tif",0,0,1,0.8931,0.8118,0.3333,0.2509,0.9356,0.9356
"361","09_3_Composite.tif",0,1,0,0.8447,0.8551,1,0.3204,0.9356,0.9356
"262","09_4_Composite.tif",0,0,1,0.7679,0.7505,1,0.3334,0.726,0.726
"362","09_4_Composite.tif",0,1,0,0.8289,0.8348,1,0.3581,0.726,0.726
"263","09_5_Composite.tif",0,0,1,0.9689,0.9689,1,0.4538,0.887,0.887
"363","09_5_Composite.tif",0,1,0,0.8819,0.8819,1,0.3233,0.887,0.887
"264","09_6_Composite.tif",0,0,1,0.9555,0.9555,1,0.4757,0.8275,0.8275
"364","09_6_Composite.tif",0,1,0,0.8779,0.8779,1,0.3215,0.8275,0.8275
"265","09_7_Composite.tif",0,0,1,0.8366,0.7898,0.25,0.1492,0.8242,0.8242
"365","09_7_Composite.tif",0,1,0,0.8382,0.8441,1,0.2678,0.8242,0.8242
"266","09_8_Composite.tif",0,0,1,0.8008,0.7845,0.6666,0.4361,0.8137,0.8137
"366","09_8_Composite.tif",0,1,0,0.7415,0.7769,0.6666,0.3054,0.8137,0.8137
"267","09_9_Composite.tif",0,0,1,0.9987,0.9987,1,0.555,0.8973,0.8973
