"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"327","22_12_Composite.tif",0,1,0,0.8114,0.8278,0.7058,0.2147,0.5434,0.5434
"228","22_13_Composite.tif",0,0,1,0.1548,0.1513,0,0.0347,0.4598,0.4598
"328","22_13_Composite.tif",0,1,0,0.7883,0.7959,0.6969,0.2601,0.4598,0.4598
"229","22_14_Composite.tif",0,0,1,0.1944,0.1849,0,0.0314,0.5067,0.5067
"329","22_14_Composite.tif",0,1,0,0.6641,0.6626,0.4333,0.2066,0.5067,0.5067
"230","22_15_Composite.tif",0,0,1,0.2825,0.283,0.3333,0.1893,0.5459,0.5459
"330","22_15_Composite.tif",0,1,0,0.8053,0.8222,0.7058,0.2339,0.5459,0.5459
"231","22_16_Composite.tif",0,0,1,0.1813,0.1734,0,0.0285,0.4836,0.4836
"331","22_16_Composite.tif",0,1,0,0.6822,0.6785,0.4857,0.2195,0.4836,0.4836
"232","22_17_Composite.tif",0,0,1,0.2825,0.2804,0,0.0602,0.4667,0.4667
"332","22_17_Composite.tif",0,1,0,0.7949,0.838,0.6666,0.2256,0.4667,0.4667
"233","22_18_Composite.tif",0,0,1,0.1886,0.1708,0,0.0312,0.3548,0.3548
"333","22_18_Composite.tif",0,1,0,0.4643,0.5159,0.4571,0.1342,0.3548,0.3548
"234","22_19_Composite.tif",0,0,1,0.1859,0.1431,0.0312,0.0255,0.4855,0.4855
"334","22_19_Composite.tif",0,1,0,0.6789,0.6935,0.48,0.2049,0.4855,0.4855
"235","22_1_Composite.tif",0,0,1,0.2104,0.1918,0,0.0312,0.3718,0.3718
"335","22_1_Composite.tif",0,1,0,0.5065,0.5808,0.5,0.1384,0.3718,0.3718
"236","22_20_Composite.tif",0,0,1,0.2106,0.1788,0,0.0431,0.5262,0.5262
"336","22_20_Composite.tif",0,1,0,0.376,0.4071,0.2916,0.2239,0.5262,0.5262
"237","22_21_Composite.tif",0,0,1,0.2059,0.1877,0,0.0296,0.407,0.407
"337","22_21_Composite.tif",0,1,0,0.555,0.5919,0.423,0.1484,0.407,0.407
"238","22_22_Composite.tif",0,0,1,0.1188,0.113,0,0.0233,0.4136,0.4136
"338","22_22_Composite.tif",0,1,0,0.6679,0.7011,0.75,0.2185,0.4136,0.4136
"239","22_23_Composite.tif",0,0,1,0.2614,0.2607,0,0.0671,0.5244,0.5244
"339","22_23_Composite.tif",0,1,0,0.8206,0.852,0.75,0.2285,0.5244,0.5244
"240","22_24_Composite.tif",0,0,1,0.1559,0.1511,0,0.0328,0.4171,0.4171
"340","22_24_Composite.tif",0,1,0,0.6711,0.671,0.52,0.2166,0.4171,0.4171
"241","22_25_Composite.tif",0,0,1,0.1789,0.1607,0,0.0564,0.3786,0.3786
"341","22_25_Composite.tif",0,1,0,0.358,0.4117,0.4193,0.1424,0.3786,0.3786
"242","22_2_Composite.tif",0,0,1,0.261,0.2596,0,0.0284,0.5649,0.5649
"342","22_2_Composite.tif",0,1,0,0.8621,0.8773,0.6923,0.2448,0.5649,0.5649
"243","22_3_Composite.tif",0,0,1,0.1853,0.1676,0,0.0305,0.3812,0.3812
"343","22_3_Composite.tif",0,1,0,0.5342,0.5683,0.4333,0.1439,0.3812,0.3812
"244","22_4_Composite.tif",0,0,1,0.2164,0.1971,0,0.0256,0.3786,0.3786
"344","22_4_Composite.tif",0,1,0,0.5032,0.5777,0.5,0.1408,0.3786,0.3786
"245","22_5_Composite.tif",0,0,1,0.1722,0.1498,0,0.0526,0.3752,0.3752
"345","22_5_Composite.tif",0,1,0,0.3093,0.3571,0.3437,0.141,0.3752,0.3752
"246","22_6_Composite.tif",0,0,1,0.2571,0.2564,0,0.05,0.5231,0.5231
"346","22_6_Composite.tif",0,1,0,0.8179,0.8517,0.6666,0.2288,0.5231,0.5231
"247","22_7_Composite.tif",0,0,1,0.1934,0.1755,0.0454,0.0318,0.4008,0.4008
"347","22_7_Composite.tif",0,1,0,0.5398,0.5808,0.4444,0.1501,0.4008,0.4008
"248","22_8_Composite.tif",0,0,1,0.1897,0.1718,0,0.0353,0.3745,0.3745
"348","22_8_Composite.tif",0,1,0,0.4907,0.5189,0.4,0.1307,0.3745,0.3745
"249","22_9_Composite.tif",0,0,1,0.2235,0.1987,0,0.0283,0.5189,0.5189
"349","22_9_Composite.tif",0,1,0,0.7129,0.7272,0.5625,0.2359,0.5189,0.5189
"250","28_10_Composite.tif",0,0,1,0.0969,0.0948,0.0232,0.0255,0.3001,0.3001
"350","28_10_Composite.tif",0,1,0,0.5309,0.5748,0.5666,0.2058,0.3001,0.3001
"251","28_11_Composite.tif",0,0,1,0.0806,0.077,0,0.013,0.3889,0.3889
"351","28_11_Composite.tif",0,1,0,0.7199,0.7109,0.606,0.2437,0.3889,0.3889
"252","28_12_Composite.tif",0,0,1,0.0824,0.0787,0,0.0116,0.3717,0.3717
"352","28_12_Composite.tif",0,1,0,0.699,0.6882,0.5833,0.2308,0.3717,0.3717
"253","28_13_Composite.tif",0,0,1,0.0988,0.0957,0,0.0119,0.3692,0.3692
"353","28_13_Composite.tif",0,1,0,0.7729,0.7816,0.7368,0.2592,0.3692,0.3692
"254","28_14_Composite.tif",0,0,1,0.0853,0.0836,0,0.009,0.372,0.372
"354","28_14_Composite.tif",0,1,0,0.7274,0.706,0.675,0.24,0.372,0.372
"255","28_15_Composite.tif",0,0,1,0.0947,0.0931,0,0.0226,0.2908,0.2908
"355","28_15_Composite.tif",0,1,0,0.5674,0.6026,0.6129,0.2049,0.2908,0.2908
"256","28_16_Composite.tif",0,0,1,0.0883,0.088,0,0.0136,0.3149,0.3149
"356","28_16_Composite.tif",0,1,0,0.8247,0.826,0.8571,0.2529,0.3149,0.3149
"257","28_17_Composite.tif",0,0,1,0.0875,0.0847,0,0.0166,0.3795,0.3795
"357","28_17_Composite.tif",0,1,0,0.7268,0.7094,0.625,0.2352,0.3795,0.3795
"258","28_18_Composite.tif",0,0,1,0.0762,0.0728,0,0.0112,0.371,0.371
"358","28_18_Composite.tif",0,1,0,0.6823,0.6544,0.5833,0.2276,0.371,0.371
"259","28_19_Composite.tif",0,0,1,0.0933,0.0917,0,0.0138,0.3733,0.3733
"359","28_19_Composite.tif",0,1,0,0.8309,0.8209,0.8437,0.2862,0.3733,0.3733
"260","28_1_Composite.tif",0,0,1,0.094,0.0916,0.0243,0.0243,0.3554,0.3554
"360","28_1_Composite.tif",0,1,0,0.6051,0.627,0.5263,0.2429,0.3554,0.3554
"261","28_20_Composite.tif",0,0,1,0.0751,0.0708,0,0.0118,0.3744,0.3744
"361","28_20_Composite.tif",0,1,0,0.6632,0.6285,0.5757,0.2387,0.3744,0.3744
