FileName;Frame;Channel;ChannelColoc;ColocSignalBased;ColocSizeBased;ColocObjectsNumber;MeanIntensity;PearsonCorr;PearsonCorrMasked
1_Composite.tif;0;0;1;0,7852;0,7974;0,75;0,4602;0,967;0,967
1_Composite.tif;0;1;0;0,8304;0,8126;0,8666;0,5112;0,967;0,967
2_Composite.tif;0;0;1;0,8862;0,8603;0,8666;0,4734;0,9695;0,9695
2_Composite.tif;0;1;0;0,7258;0,6541;0,7142;0,4467;0,9695;0,9695
3_Composite.tif;0;0;1;0,9576;0,948;1;0,4194;0,9788;0,9788
3_Composite.tif;0;1;0;0,6195;0,5207;0,5714;0,3788;0,9788;0,9788
4_Composite.tif;0;0;1;0,8411;0,8089;0,8333;0,4141;0,9705;0,9705
4_Composite.tif;0;1;0;0,7683;0,5319;0,5833;0,3849;0,9705;0,9705
5_Composite.tif;0;0;1;0,8346;0,8165;0,9166;0,3958;0,9817;0,9817
5_Composite.tif;0;1;0;0,6727;0,4544;0,3076;0,389;0,9817;0,9817
6_Composite.tif;0;0;1;0,8609;0,8644;0,8;0,3794;0,9798;0,9798
6_Composite.tif;0;1;0;0,6417;0,6383;0,6;0,3394;0,9798;0,9798
7_Composite.tif;0;0;1;0,8852;0,8654;1;0,3169;0,9746;0,9746
7_Composite.tif;0;1;0;0,6542;0,5648;0,5294;0,315;0,9746;0,9746
8_Composite.tif;0;0;1;0,8074;0,757;1;0,4364;0,9683;0,9683
8_Composite.tif;0;1;0;0,6747;0,6473;0,6428;0,4558;0,9683;0,9683
9_Composite.tif;0;0;1;0,8643;0,8597;0,9166;0,4519;0,9782;0,9782
9_Composite.tif;0;1;0;0,8364;0,76;0,9166;0,4719;0,9782;0,9782
10_Composite.tif;0;0;1;0,76;0,7617;0,8;0,472;0,9634;0,9634
10_Composite.tif;0;1;0;0,503;0,4587;0,4705;0,4381;0,9634;0,9634
11_Composite.tif;0;0;1;0,9123;0,8899;0,923;0,4913;0,9738;0,9738
11_Composite.tif;0;1;0;0,5462;0,5371;0,3571;0,398;0,9738;0,9738
12_Composite.tif;0;0;1;0,8781;0,8667;1;0,4974;0,9611;0,9611
12_Composite.tif;0;1;0;0,9277;0,9214;1;0,512;0,9611;0,9611
13_Composite.tif;0;0;1;0,9024;0,8688;0,9333;0,459;0,9673;0,9673
13_Composite.tif;0;1;0;0,539;0,4751;0,5;0,4245;0,9673;0,9673
14_Composite.tif;0;0;1;0,7628;0,7401;0,75;0,3997;0,9799;0,9799
14_Composite.tif;0;1;0;0,869;0,8163;0,8571;0,4372;0,9799;0,9799
15_Composite.tif;0;0;1;0,7839;0,7831;1;0,3975;0,9704;0,9704
15_Composite.tif;0;1;0;0,9113;0,9619;1;0,4374;0,9704;0,9704
16_Composite.tif;0;0;1;0,8479;0,8477;1;0,3705;0,9697;0,9697
16_Composite.tif;0;1;0;0,8515;0,8134;0,8666;0,3957;0,9697;0,9697
17_Composite.tif;0;0;1;0,8727;0,8581;0,9473;0,3891;0,9735;0,9735
17_Composite.tif;0;1;0;0,5988;0,509;0,625;0,3613;0,9735;0,9735
18_Composite.tif;0;0;1;0,8397;0,8114;1;0,3752;0,9777;0,9777
18_Composite.tif;0;1;0;0,858;0,8231;0,9285;0,3539;0,9777;0,9777
19_Composite.tif;0;0;1;0,8245;0,7925;1;0,5043;0,9741;0,9741
19_Composite.tif;0;1;0;0,8616;0,8436;0,9411;0,5015;0,9741;0,9741
20_Composite.tif;0;0;1;0,8572;0,831;0,7777;0,3811;0,973;0,973
20_Composite.tif;0;1;0;0,5699;0,5221;0,4375;0,3824;0,973;0,973
