Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;59.00;58.00;0.02;0.09;-1.04;1.00;5.00;0.11;0.40;0.04;0.47;0.01;-1.93
1.00;66.00;65.00;0.00;0.73;-0.14;1.00;5.00;0.11;2.00;0.11;1.91;0.09;-1.06
2.00;60.00;56.00;0.02;0.06;-1.21;1.00;5.00;0.16;2.15;0.14;2.13;0.01;-1.98
3.00;55.00;71.00;0.00;0.71;-0.15;1.00;5.00;0.21;2.95;0.17;2.71;0.03;-1.49
4.00;59.00;78.00;0.01;0.13;-0.90;1.00;5.00;0.22;2.50;0.17;2.04;0.00;-5.15
5.00;64.00;76.00;0.01;0.14;-0.84;1.00;5.00;0.15;1.95;0.12;1.83;0.00;-2.88
6.00;69.00;72.00;0.01;0.18;-0.74;1.00;5.00;0.22;2.10;0.20;2.05;0.00;-3.77
7.00;45.00;64.00;0.02;0.04;-1.37;1.00;5.00;0.03;0.20;0.07;1.71;0.14;-0.84
8.00;62.00;69.00;0.03;0.00;-2.62;1.00;5.00;0.17;2.95;0.10;2.13;0.00;-2.34
9.00;71.00;71.00;0.01;0.18;-0.75;1.00;5.00;0.13;2.05;0.13;2.55;0.08;-1.10
10.00;55.00;60.00;0.05;0.00;-7.11;1.00;5.00;0.07;0.95;0.07;0.97;0.01;-2.03
11.00;73.00;72.00;0.01;0.18;-0.75;1.00;5.00;0.10;2.80;0.10;2.35;0.00;-2.50
12.00;51.00;64.00;0.02;0.07;-1.13;1.00;5.00;0.09;1.85;0.05;1.21;0.07;-1.17
13.00;71.00;68.00;0.00;0.73;-0.13;1.00;5.00;0.04;1.85;0.04;1.23;0.16;-0.81
14.00;81.00;67.00;0.00;0.74;-0.13;1.00;5.00;0.04;2.05;0.05;2.25;0.29;-0.54
15.00;65.00;77.00;0.00;0.73;-0.14;1.00;5.00;0.12;2.10;0.17;3.16;0.07;-1.15
16.00;66.00;60.00;0.00;0.72;-0.14;1.00;5.00;0.16;1.85;0.09;1.62;0.00;-3.17
17.00;61.00;67.00;0.01;0.13;-0.88;1.00;5.00;0.08;2.25;0.05;2.34;0.21;-0.67
18.00;60.00;57.00;0.04;0.00;-3.69;1.00;5.00;0.20;2.30;0.14;1.70;0.07;-1.13
19.00;71.00;69.00;0.00;0.73;-0.14;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.74;-0.13
20.00;71.00;58.00;0.00;0.71;-0.15;1.00;5.00;0.03;1.05;0.05;1.19;0.20;-0.71
21.00;75.00;63.00;0.02;0.12;-0.92;1.00;5.00;0.23;2.95;0.09;2.29;0.02;-1.71
22.00;63.00;56.00;0.00;0.70;-0.16;1.00;5.00;0.07;2.15;0.06;2.34;0.13;-0.88
23.00;65.00;66.00;0.00;0.72;-0.14;1.00;5.00;0.14;2.00;0.14;1.92;0.00;-2.95
