Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;60.00;69.00;0.00;0.71;-0.15;1.00;5.00;0.06;2.05;0.04;2.36;0.30;-0.52
1.00;70.00;61.00;0.00;0.72;-0.14;1.00;5.00;0.05;3.00;0.00;#ZAHL!;0.30;-0.52
2.00;66.00;73.00;0.00;0.73;-0.14;1.00;5.00;0.03;1.95;0.03;1.55;0.42;-0.37
3.00;62.00;52.00;0.04;0.00;-3.68;1.00;5.00;0.05;0.30;0.12;2.57;0.01;-2.14
4.00;75.00;73.00;0.00;0.74;-0.13;1.00;5.00;0.13;4.60;0.00;#ZAHL!;0.67;-0.18
5.00;54.00;59.00;0.00;0.69;-0.16;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.50;-0.31
6.00;71.00;68.00;0.00;0.73;-0.14;1.00;5.00;0.01;4.85;0.00;#ZAHL!;0.26;-0.58
7.00;62.00;76.00;0.00;0.72;-0.14;1.00;5.00;0.06;1.75;0.07;1.37;0.00;-2.51
8.00;60.00;75.00;0.01;0.13;-0.88;1.00;5.00;0.02;2.05;0.00;#ZAHL!;0.37;-0.43
9.00;53.00;66.00;0.02;0.07;-1.16;1.00;5.00;0.02;0.00;0.08;2.01;0.08;-1.08
10.00;79.00;52.00;0.02;0.13;-0.89;1.00;5.00;0.12;2.95;0.07;2.52;0.14;-0.85
11.00;55.00;67.00;0.01;0.08;-1.10;1.00;5.00;0.04;1.55;0.03;1.21;0.41;-0.39
12.00;58.00;65.00;0.02;0.11;-0.96;1.00;5.00;0.01;4.90;0.00;#ZAHL!;0.53;-0.27
13.00;84.00;77.00;0.04;0.00;-3.47;1.00;5.00;0.38;3.45;0.17;1.94;0.00;-4.26
14.00;63.00;58.00;0.03;0.00;-3.06;1.00;5.00;0.05;1.65;0.03;1.18;0.37;-0.43
15.00;74.00;70.00;0.06;0.00;-7.75;1.00;5.00;0.28;2.45;0.23;2.28;0.04;-1.39
16.00;58.00;69.00;0.00;0.70;-0.15;1.00;5.00;0.07;2.05;0.07;2.20;0.05;-1.34
17.00;55.00;61.00;0.00;0.69;-0.16;1.00;5.00;0.14;3.60;0.09;3.49;0.03;-1.54
18.00;58.00;59.00;0.02;0.07;-1.13;1.00;5.00;0.08;4.20;0.00;#ZAHL!;0.63;-0.20
19.00;61.00;57.00;0.00;0.70;-0.15;1.00;5.00;0.03;4.10;0.00;#ZAHL!;0.68;-0.17
20.00;77.00;70.00;0.00;0.75;-0.12;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.84;-0.07
21.00;68.00;69.00;0.00;0.72;-0.14;1.00;5.00;0.03;1.05;0.05;1.48;0.10;-1.00
22.00;70.00;65.00;0.00;0.73;-0.14;1.00;5.00;0.08;2.15;0.09;2.05;0.25;-0.60
23.00;58.00;65.00;0.00;0.70;-0.16;1.00;5.00;0.13;4.10;0.14;3.96;0.12;-0.91
24.00;57.00;73.00;0.01;0.12;-0.92;1.00;5.00;0.08;2.85;0.08;2.42;0.01;-1.96
25.00;66.00;70.00;0.00;0.73;-0.14;1.00;5.00;0.03;1.05;0.05;1.34;0.09;-1.07
26.00;68.00;61.00;0.00;0.71;-0.15;1.00;5.00;0.05;1.85;0.06;1.39;0.05;-1.30
27.00;71.00;73.00;0.01;0.19;-0.72;1.00;5.00;0.04;1.10;0.00;#ZAHL!;0.47;-0.33
28.00;60.00;67.00;0.01;0.13;-0.87;1.00;5.00;0.01;1.50;0.05;2.35;0.20;-0.71
29.00;69.00;67.00;0.03;0.00;-2.57;1.00;5.00;0.20;4.40;0.06;2.48;0.12;-0.93
30.00;62.00;66.00;0.05;0.00;-5.49;1.00;5.00;0.11;0.35;0.09;1.78;0.04;-1.39
31.00;72.00;68.00;0.00;0.73;-0.13;1.00;5.00;0.03;3.95;0.00;#ZAHL!;0.68;-0.17
32.00;56.00;56.00;0.00;0.69;-0.16;1.00;5.00;0.03;2.10;0.00;#ZAHL!;0.50;-0.30
33.00;66.00;57.00;0.00;0.71;-0.15;1.00;5.00;0.10;2.05;0.11;2.15;0.16;-0.80
34.00;74.00;74.00;0.01;0.23;-0.64;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.89;-0.05
35.00;64.00;58.00;0.00;0.72;-0.14;1.00;5.00;0.09;2.05;0.05;1.28;0.14;-0.85
36.00;62.00;64.00;0.02;0.10;-1.00;1.00;5.00;0.17;3.00;0.16;2.86;0.04;-1.45
37.00;68.00;62.00;0.00;0.72;-0.14;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.53;-0.28
38.00;65.00;71.00;0.00;0.73;-0.14;1.00;5.00;0.01;1.95;0.00;#ZAHL!;0.70;-0.15
39.00;71.00;62.00;0.05;0.00;-5.34;1.00;5.00;0.07;1.00;0.08;0.91;0.04;-1.38
40.00;55.00;66.00;0.02;0.09;-1.06;1.00;5.00;0.10;2.45;0.09;2.39;0.00;-2.41
41.00;68.00;73.00;0.00;0.74;-0.13;1.00;5.00;0.03;3.05;0.07;3.43;0.08;-1.07
42.00;64.00;62.00;0.00;0.71;-0.15;1.00;5.00;0.06;1.05;0.07;1.34;0.01;-2.30
43.00;57.00;56.00;0.00;0.68;-0.16;1.00;5.00;0.05;4.05;0.00;#ZAHL!;0.56;-0.25
44.00;78.00;76.00;0.00;0.75;-0.13;1.00;5.00;0.11;2.05;0.10;1.86;0.18;-0.74
45.00;67.00;57.00;0.00;0.70;-0.16;1.00;5.00;0.01;2.05;0.08;2.48;0.06;-1.22
46.00;67.00;61.00;0.02;0.11;-0.95;1.00;5.00;0.11;2.10;0.11;1.86;0.11;-0.96
47.00;78.00;62.00;0.00;0.73;-0.14;1.00;5.00;0.10;3.10;0.00;#ZAHL!;0.40;-0.40
48.00;78.00;63.00;0.02;0.17;-0.77;1.00;5.00;0.11;2.05;0.09;2.41;0.02;-1.82
49.00;68.00;59.00;0.02;0.11;-0.94;1.00;5.00;0.03;1.30;0.00;#ZAHL!;0.51;-0.29
50.00;63.00;75.00;0.01;0.17;-0.77;1.00;5.00;0.26;5.00;0.06;3.47;0.17;-0.76
51.00;72.00;73.00;0.00;0.75;-0.13;1.00;5.00;0.06;3.20;0.00;#ZAHL!;0.34;-0.47
52.00;64.00;83.00;0.02;0.01;-2.03;1.00;5.00;0.12;1.60;0.08;1.42;0.00;-3.67
53.00;67.00;57.00;0.00;0.70;-0.15;1.00;5.00;0.08;1.95;0.06;1.28;0.06;-1.22
54.00;65.00;77.00;0.03;0.01;-2.20;1.00;5.00;0.02;0.85;0.00;#ZAHL!;0.52;-0.28
55.00;66.00;55.00;0.00;0.71;-0.15;1.00;5.00;0.03;2.05;0.07;2.42;0.13;-0.87
56.00;61.00;71.00;0.00;0.70;-0.16;1.00;5.00;0.01;1.75;0.00;#ZAHL!;0.60;-0.22
57.00;55.00;54.00;0.02;0.06;-1.20;1.00;5.00;0.27;4.35;0.09;2.21;0.02;-1.77
58.00;68.00;70.00;0.01;0.14;-0.87;1.00;5.00;0.12;2.95;0.10;2.44;0.00;-2.48
59.00;61.00;66.00;0.00;0.72;-0.14;1.00;5.00;0.04;4.85;0.00;#ZAHL!;0.41;-0.39
60.00;69.00;65.00;0.03;0.00;-2.63;1.00;5.00;0.02;0.10;0.00;#ZAHL!;0.46;-0.34
61.00;43.00;78.00;0.00;0.69;-0.16;1.00;5.00;0.04;3.05;0.05;2.44;0.12;-0.93
62.00;66.00;69.00;0.01;0.14;-0.87;1.00;5.00;0.16;3.80;0.00;#ZAHL!;0.53;-0.27
63.00;77.00;59.00;0.00;0.74;-0.13;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.62;-0.21
64.00;74.00;77.00;0.00;0.75;-0.13;1.00;5.00;0.08;2.05;0.04;1.35;0.19;-0.71
65.00;74.00;63.00;0.02;0.14;-0.86;1.00;5.00;0.04;1.95;0.00;#ZAHL!;0.70;-0.16
66.00;50.00;59.00;0.00;0.68;-0.17;1.00;5.00;0.14;1.95;0.12;1.52;0.00;-7.38
67.00;63.00;55.00;0.00;0.69;-0.16;1.00;5.00;0.02;2.05;0.00;#ZAHL!;0.73;-0.14
68.00;59.00;67.00;0.00;0.70;-0.15;1.00;5.00;0.01;2.05;0.00;#ZAHL!;0.62;-0.21
69.00;66.00;60.00;0.00;0.72;-0.15;1.00;5.00;0.05;4.80;0.08;4.45;0.15;-0.81
70.00;64.00;71.00;0.00;0.72;-0.15;1.00;5.00;0.04;3.05;0.00;#ZAHL!;0.22;-0.66
71.00;56.00;69.00;0.00;0.71;-0.15;1.00;5.00;0.12;2.05;0.05;1.43;0.07;-1.16
72.00;64.00;48.00;0.00;0.69;-0.16;1.00;5.00;0.08;2.05;0.11;2.59;0.19;-0.71
73.00;62.00;54.00;0.02;0.08;-1.09;1.00;5.00;0.04;2.05;0.05;2.17;0.25;-0.60
74.00;51.00;60.00;0.00;0.68;-0.17;1.00;5.00;0.17;4.00;0.08;4.25;0.14;-0.86
75.00;64.00;79.00;0.00;0.73;-0.14;1.00;5.00;0.01;4.90;0.00;#ZAHL!;0.78;-0.11
76.00;60.00;73.00;0.01;0.16;-0.81;1.00;5.00;0.03;1.05;0.05;1.43;0.09;-1.04
77.00;71.00;60.00;0.00;0.72;-0.14;1.00;5.00;0.11;3.10;0.00;#ZAHL!;0.51;-0.30
78.00;48.00;74.00;0.01;0.07;-1.18;1.00;5.00;0.06;2.80;0.00;#ZAHL!;0.36;-0.44
79.00;76.00;61.00;0.02;0.14;-0.86;1.00;5.00;0.13;2.55;0.07;2.27;0.10;-1.01
80.00;60.00;63.00;0.00;0.70;-0.15;1.00;5.00;0.09;2.05;0.12;2.41;0.00;-3.76
81.00;73.00;61.00;0.00;0.72;-0.14;1.00;5.00;0.05;2.40;0.00;#ZAHL!;0.69;-0.16
82.00;77.00;53.00;0.00;0.72;-0.15;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.71;-0.15
83.00;75.00;70.00;0.00;0.74;-0.13;1.00;5.00;0.12;3.05;0.07;2.58;0.10;-1.02
84.00;84.00;75.00;0.01;0.24;-0.63;1.00;5.00;0.12;1.95;0.08;1.27;0.00;-2.51
85.00;77.00;63.00;0.00;0.73;-0.13;1.00;5.00;0.06;1.30;0.07;1.29;0.05;-1.32
86.00;60.00;59.00;0.00;0.70;-0.16;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.95;-0.02
87.00;74.00;59.00;0.00;0.73;-0.14;1.00;5.00;0.02;1.95;0.00;#ZAHL!;0.60;-0.22
88.00;72.00;54.00;0.00;0.71;-0.15;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.72;-0.14
89.00;74.00;58.00;0.00;0.72;-0.14;1.00;5.00;0.07;2.05;0.00;#ZAHL!;0.36;-0.45
90.00;55.00;62.00;0.00;0.70;-0.16;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.87;-0.06
91.00;65.00;68.00;0.01;0.12;-0.92;1.00;5.00;0.38;5.00;0.09;2.42;0.01;-2.10
92.00;61.00;61.00;0.00;0.71;-0.15;1.00;5.00;0.02;1.85;0.03;1.25;0.45;-0.35
93.00;52.00;73.00;0.00;0.71;-0.15;1.00;5.00;0.00;0.00;0.06;3.26;0.19;-0.71
94.00;72.00;73.00;0.01;0.19;-0.72;1.00;5.00;0.09;2.20;0.08;2.33;0.03;-1.55
95.00;57.00;71.00;0.00;0.71;-0.15;1.00;5.00;0.02;2.05;0.00;#ZAHL!;0.63;-0.20
96.00;57.00;67.00;0.00;0.70;-0.15;1.00;5.00;0.09;1.80;0.05;1.56;0.04;-1.44
97.00;61.00;56.00;0.04;0.00;-3.37;1.00;5.00;0.09;0.35;0.02;0.24;0.24;-0.61
98.00;60.00;56.00;0.00;0.69;-0.16;1.00;5.00;0.05;3.00;0.00;#ZAHL!;0.76;-0.12
99.00;65.00;73.00;0.00;0.73;-0.13;1.00;5.00;0.19;2.45;0.15;2.34;0.00;-5.61
