"x","y","z","intensity"
104.214285714286,123.714285714286,0,117.214285714286
31.4545454545455,123.818181818182,0,132
112.111111111111,119.666666666667,0,112.333333333333
34.5,118,0,101.5
30.5,116.5,0,110
107.714285714286,113,0,92.5714285714286
28.75,113,0,104.5
104,105,0,97.8888888888889
31,104.8,0,105.2
33,99,0,111.222222222222
91,98,0,108.142857142857
101.285714285714,96,0,92.8571428571429
27.875,93.875,0,108.125
93.0714285714286,92.2142857142857,0,154.142857142857
86.6,90.2,0,94
98.2857142857143,89,0,115.428571428571
93.9090909090909,83.3636363636364,0,142.818181818182
80,80,0,106.111111111111
23.28,78.72,0,126.24
89.125,73.875,0,107.25
17.875,71.875,0,113.125
80.0909090909091,71.6363636363636,0,118.545454545455
76.8,66.6,0,107.4
23.875,64.875,0,98.75
83,62.5,0,113
73.3125,59.25,0,117.3125
16,53,0,101.777777777778
12,51.5,0,114
42,49,0,130
86.1666666666667,48.8333333333333,0,95.1666666666667
57,48.5,0,104.5
108,45,0,107.571428571429
95.875,44.875,0,108.75
31.125,45.125,0,104.625
102.5,44,0,107.5
51.6666666666667,43.3333333333333,0,103.333333333333
45.625,45.0625,0,147.625
87.25,42,0,97.25
59.3030303030303,43.1515151515151,0,147.666666666667
39.6666666666667,41.6666666666667,0,111.333333333333
108,38,0,112.8
79.0909090909091,41,0,159.393939393939
68.8461538461538,39,0,119.076923076923
44.8,37.6,0,122.2
112,37,0,109
96,37,0,97.2
21.7,38.35,0,122.05
55.3333333333333,34.1111111111111,0,118.555555555556
94.7142857142857,32,0,111.428571428571
87.8,31.6,0,89
79.5,31.5,0,98.75
61.7272727272727,33.4545454545455,0,110.363636363636
43,31.5,0,87.6666666666667
28,31.75,0,97.25
33,30.2857142857143,0,97.5714285714286
9.57575757575758,31.7575757575758,0,127.30303030303
119.12,31.48,0,120.52
21.125,27.875,0,103.875
16.1666666666667,27.1666666666667,0,108.333333333333
0,23,0,107
123,23,0,99.6666666666667
