"x","y","z","intensity"
50,105,0,95.4444444444444
74,100.285714285714,0,97.8571428571429
98.0416666666667,99.3333333333333,0,135.166666666667
85.4,99.0666666666667,0,111.266666666667
39.4444444444444,97.6111111111111,0,134.555555555556
61.65,98.625,0,143.3
53.6153846153846,96.3846153846154,0,121.769230769231
31.5454545454545,97.2727272727273,0,113.909090909091
79,95,0,99
106,94.6923076923077,0,111.615384615385
96.9090909090909,93.6363636363636,0,131.727272727273
23.2142857142857,95.3214285714286,0,150.285714285714
11,93.2857142857143,0,97.2857142857143
115.72,93.24,0,156.76
19,89.5,0,117
5.66666666666667,89.3333333333333,0,113.133333333333
17,86.2857142857143,0,96.1428571428571
123,85,0,110.428571428571
114.75,83.75,0,106.333333333333
125.2,76,0,121.8
0.333333333333333,67.3333333333333,0,112.333333333333
0.714285714285714,55,0,107
0.875,46.875,0,152
120,46,0,104.777777777778
6.25,46.9166666666667,0,109
127,44,0,124.333333333333
12,43,0,96.3333333333333
116.5,40.5,0,95
123.5,38.7142857142857,0,129.857142857143
99.125,36.125,0,98
19.9090909090909,35.6363636363636,0,98.2727272727273
8,35,0,99.8888888888889
91.5,34,0,98.3333333333333
36,34.2857142857143,0,105.285714285714
114.2,33.3333333333333,0,143
82,32,0,95
50.6,30.2,0,102.2
31.7142857142857,30,0,106.428571428571
106.933333333333,29,0,100.066666666667
39.1818181818182,29.1818181818182,0,155.363636363636
96.1176470588235,29.2352941176471,0,143.470588235294
69,28.2857142857143,0,118.428571428571
61.5555555555556,29.9259259259259,0,125.962962962963
44.4,23.8,0,99
86.6538461538462,24.8461538461538,0,137.153846153846
58.9090909090909,23.3636363636364,0,123
51.3529411764706,23.3529411764706,0,134.294117647059
36.2222222222222,23.8888888888889,0,103
