"x","y","z","intensity"
15.6666666666667,124.666666666667,0,98.6666666666667
23.2222222222222,124,0,117.555555555556
8.125,122.875,0,109.25
8.5,117.5,0,114.75
30.5333333333333,117.733333333333,0,138.133333333333
16.1428571428571,116.238095238095,0,138.52380952381
2.42857142857143,114.285714285714,0,114.285714285714
27.7777777777778,113.777777777778,0,127.333333333333
11.125,107.875,0,100.625
19.2,107,0,106.4
3.2,105.4,0,105.8
34.1111111111111,104.777777777778,0,104.444444444444
12.125,99.875,0,99.75
20.0526315789474,98.2105263157895,0,121.210526315789
34.125,88.125,0,99.125
17,82.2857142857143,0,106.571428571429
8.4,83.0666666666667,0,116.066666666667
25,76.7333333333333,0,134.8
15,76,0,101.4
36.25,74,0,101.25
44,73,0,102.444444444444
51.6666666666667,67.0833333333333,0,136
42,66.5,0,122
26.0909090909091,69.5681818181818,0,154.022727272727
55,63.5,0,114.5
33,63,0,130
41.1111111111111,62.6666666666667,0,121.888888888889
60,56,0,107.666666666667
34.8,57.6666666666667,0,136.533333333333
26,56.5,0,121.214285714286
44.6,53.2,0,106
57.5,52,0,116.333333333333
40,45.5,0,135.083333333333
48.6470588235294,44.6470588235294,0,126.882352941176
34.6,42.2,0,110.2
77,39.8,0,106.5
53.125,35.125,0,110
105,33.5,0,103.375
60.125,32.875,0,112.625
91.8235294117647,32.4117647058824,0,126.823529411765
67.3333333333333,28.3333333333333,0,86.3333333333333
49.1666666666667,27.1666666666667,0,99
126.75,26,0,101.5
78.1333333333333,25.5333333333333,0,132
122,24.2857142857143,0,112
57.875,23.875,0,108.625
113.875,22.875,0,99.75
91.25,25,0,141.85
60.5,20,0,111
121,18,0,102.714285714286
90.5,17.5,0,103.75
65,18.2857142857143,0,115.142857142857
96.1666666666667,15.8333333333333,0,105.333333333333
111,14,0,104.333333333333
76.3684210526316,14.4736842105263,0,141.210526315789
68.6,13.8,0,100.2
101.125,9.875,0,106.75
111.2,6.6,0,93.8
125.333333333333,3.33333333333333,0,117
119.875,4.125,0,113.625
