Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;61.00;72.00;0.01;0.12;-0.91;1.00;5.00;0.38;2.20;0.35;1.94;0.00;-13.53
1.00;68.00;65.00;0.00;0.73;-0.14;1.00;5.00;0.35;2.10;0.36;2.07;0.00;-16.95
2.00;63.00;77.00;0.01;0.14;-0.85;1.00;5.00;0.35;2.25;0.37;2.38;0.00;-6.61
3.00;61.00;68.00;0.03;0.00;-3.13;1.00;5.00;0.47;2.25;0.33;1.95;0.00;-9.81
4.00;68.00;70.00;0.01;0.15;-0.82;1.00;5.00;0.38;2.50;0.32;2.19;0.00;-17.77
5.00;56.00;71.00;0.01;0.12;-0.92;1.00;5.00;0.25;2.15;0.24;2.12;0.00;-11.26
6.00;65.00;64.00;0.02;0.12;-0.92;1.00;5.00;0.49;2.55;0.45;2.47;0.00;-13.05
7.00;58.00;70.00;0.03;0.00;-3.00;1.00;5.00;0.48;2.50;0.39;2.47;0.00;-6.60
8.00;62.00;75.00;0.03;0.00;-2.47;1.00;5.00;0.40;2.60;0.30;2.45;0.00;-6.25
9.00;73.00;66.00;0.06;0.00;-8.00;1.00;5.00;0.47;2.20;0.39;2.20;0.00;-5.75
10.00;58.00;69.00;0.01;0.10;-0.99;1.00;5.00;0.45;2.25;0.37;1.91;0.00;-15.51
11.00;76.00;81.00;0.04;0.00;-3.45;1.00;5.00;0.49;2.10;0.45;2.25;0.00;-12.49
12.00;76.00;69.00;0.00;0.75;-0.13;1.00;5.00;0.31;2.10;0.30;2.01;0.00;-9.04
13.00;50.00;60.00;0.02;0.08;-1.12;1.00;5.00;0.48;2.25;0.40;1.83;0.00;-15.61
14.00;78.00;62.00;0.00;0.73;-0.14;1.00;5.00;0.42;2.05;0.43;2.30;0.00;-10.20
15.00;67.00;71.00;0.01;0.15;-0.82;1.00;5.00;0.51;2.30;0.39;2.07;0.00;-17.05
16.00;74.00;70.00;0.04;0.00;-4.58;1.00;5.00;0.38;2.30;0.29;1.77;0.00;-6.91
17.00;58.00;63.00;0.00;0.70;-0.16;1.00;5.00;0.48;2.20;0.38;2.02;0.00;-13.36
18.00;64.00;73.00;0.01;0.13;-0.90;1.00;5.00;0.63;2.50;0.47;2.07;0.00;-32.30
19.00;65.00;70.00;0.01;0.15;-0.81;1.00;5.00;0.27;2.05;0.24;2.04;0.00;-4.87
20.00;62.00;77.00;0.04;0.00;-5.47;1.00;5.00;0.42;2.40;0.29;1.95;0.00;-7.79
21.00;53.00;58.00;0.00;0.68;-0.17;1.00;5.00;0.29;2.10;0.29;2.09;0.00;-9.04
22.00;80.00;77.00;0.01;0.27;-0.57;1.00;5.00;0.43;2.00;0.44;2.38;0.00;-14.24
23.00;70.00;70.00;0.03;0.01;-2.17;1.00;5.00;0.47;2.70;0.37;2.54;0.00;-9.65
24.00;71.00;69.00;0.01;0.19;-0.72;1.00;5.00;0.43;2.40;0.38;2.36;0.00;-5.42
25.00;55.00;64.00;0.00;0.70;-0.15;1.00;5.00;0.31;2.15;0.26;2.04;0.00;-8.04
26.00;64.00;74.00;0.00;0.72;-0.14;1.00;5.00;0.31;2.30;0.22;2.04;0.00;-4.72
27.00;71.00;64.00;0.03;0.00;-2.83;1.00;5.00;0.56;2.65;0.40;2.25;0.00;-10.26
28.00;72.00;70.00;0.01;0.19;-0.73;1.00;5.00;0.38;2.80;0.22;2.41;0.00;-11.18
29.00;63.00;62.00;0.03;0.00;-2.89;1.00;5.00;0.57;2.30;0.45;1.99;0.00;-21.43
30.00;72.00;54.00;0.06;0.00;-6.26;1.00;5.00;0.59;3.30;0.29;1.91;0.00;-10.53
31.00;70.00;74.00;0.00;0.75;-0.13;1.00;5.00;0.43;2.20;0.37;2.03;0.00;-12.62
32.00;64.00;61.00;0.00;0.71;-0.15;1.00;5.00;0.27;2.10;0.24;2.13;0.00;-4.64
33.00;75.00;53.00;0.02;0.10;-1.02;1.00;5.00;0.34;2.10;0.28;1.88;0.00;-5.11
34.00;64.00;69.00;0.01;0.13;-0.90;1.00;5.00;0.43;2.20;0.38;2.01;0.00;-15.51
35.00;60.00;49.00;0.02;0.05;-1.30;1.00;5.00;0.32;2.20;0.29;1.95;0.00;-5.74
36.00;78.00;59.00;0.00;0.72;-0.14;1.00;5.00;0.54;2.85;0.51;2.62;0.00;-9.66
37.00;60.00;63.00;0.05;0.00;-6.57;1.00;5.00;0.45;2.40;0.33;1.87;0.00;-10.39
38.00;65.00;62.00;0.05;0.00;-5.94;1.00;5.00;0.49;2.70;0.36;1.81;0.00;-15.53
39.00;67.00;79.00;0.03;0.01;-2.28;1.00;5.00;0.46;2.25;0.33;1.99;0.00;-10.28
40.00;76.00;58.00;0.03;0.00;-2.51;1.00;5.00;0.69;3.40;0.29;2.00;0.00;-10.11
41.00;59.00;56.00;0.00;0.70;-0.15;1.00;5.00;0.35;2.30;0.30;2.04;0.00;-10.34
42.00;68.00;63.00;0.02;0.11;-0.96;1.00;5.00;0.49;2.40;0.39;2.04;0.00;-18.83
43.00;55.00;62.00;0.00;0.70;-0.16;1.00;5.00;0.49;2.80;0.37;2.25;0.00;-11.08
44.00;60.00;77.00;0.00;0.72;-0.14;1.00;5.00;0.37;2.35;0.30;2.06;0.00;-13.69
45.00;68.00;61.00;0.03;0.00;-2.51;1.00;5.00;0.38;2.25;0.31;2.00;0.00;-8.54
46.00;68.00;64.00;0.03;0.00;-3.02;1.00;5.00;0.51;2.35;0.34;1.90;0.00;-9.14
47.00;66.00;75.00;0.03;0.01;-2.09;1.00;5.00;0.43;2.00;0.31;1.76;0.00;-16.00
48.00;65.00;74.00;0.01;0.18;-0.75;1.00;5.00;0.33;2.60;0.33;2.44;0.00;-9.86
49.00;64.00;61.00;0.03;0.00;-2.71;1.00;5.00;0.31;1.90;0.23;1.76;0.00;-8.52
50.00;67.00;76.00;0.03;0.01;-2.18;1.00;5.00;0.45;2.00;0.46;2.26;0.00;-19.27
51.00;68.00;66.00;0.06;0.00;-7.83;1.00;5.00;0.51;2.00;0.40;1.80;0.00;-18.37
52.00;66.00;75.00;0.01;0.18;-0.75;1.00;5.00;0.39;2.05;0.38;2.22;0.00;-9.32
53.00;74.00;79.00;0.01;0.21;-0.68;1.00;5.00;0.51;2.10;0.45;2.31;0.00;-13.25
54.00;76.00;69.00;0.01;0.17;-0.76;1.00;5.00;0.49;2.35;0.39;2.00;0.00;-12.26
55.00;56.00;70.00;0.01;0.11;-0.94;1.00;5.00;0.40;2.80;0.28;2.45;0.00;-5.85
56.00;77.00;65.00;0.00;0.73;-0.14;1.00;5.00;0.49;2.15;0.46;2.07;0.00;-19.23
57.00;47.00;70.00;0.03;0.00;-3.55;1.00;5.00;0.42;3.20;0.29;2.51;0.00;-4.99
58.00;75.00;65.00;0.03;0.00;-2.56;1.00;5.00;0.46;2.20;0.39;1.91;0.00;-10.56
59.00;60.00;71.00;0.00;0.71;-0.15;1.00;5.00;0.25;2.40;0.21;2.24;0.00;-11.94
60.00;66.00;62.00;0.02;0.09;-1.04;1.00;5.00;0.41;2.55;0.28;2.00;0.00;-10.03
61.00;61.00;72.00;0.01;0.14;-0.86;1.00;5.00;0.36;3.05;0.18;2.30;0.00;-8.62
62.00;68.00;62.00;0.02;0.13;-0.90;1.00;5.00;0.63;2.45;0.41;1.88;0.00;-13.47
63.00;70.00;69.00;0.01;0.14;-0.84;1.00;5.00;0.40;2.10;0.32;1.87;0.00;-8.31
64.00;78.00;72.00;0.06;0.00;-8.23;1.00;5.00;0.52;2.50;0.33;1.89;0.00;-9.82
65.00;76.00;64.00;0.00;0.73;-0.14;1.00;5.00;0.38;2.10;0.37;2.07;0.00;-14.88
66.00;76.00;72.00;0.01;0.19;-0.72;1.00;5.00;0.51;2.20;0.41;2.08;0.00;-14.13
67.00;78.00;72.00;0.01;0.22;-0.66;1.00;5.00;0.45;2.25;0.34;1.97;0.00;-9.01
68.00;62.00;60.00;0.07;0.00;-10.01;1.00;5.00;0.54;1.95;0.49;2.09;0.00;-15.89
69.00;71.00;70.00;0.03;0.00;-2.35;1.00;5.00;0.40;2.55;0.29;1.84;0.00;-8.55
70.00;70.00;83.00;0.04;0.00;-4.01;1.00;5.00;0.42;2.10;0.33;1.82;0.00;-7.51
71.00;75.00;64.00;0.02;0.15;-0.83;1.00;5.00;0.59;3.10;0.40;2.53;0.00;-17.42
72.00;74.00;53.00;0.00;0.72;-0.14;1.00;5.00;0.46;2.05;0.40;1.90;0.00;-10.50
73.00;61.00;64.00;0.02;0.10;-1.01;1.00;5.00;0.48;2.30;0.47;2.33;0.00;-16.44
74.00;59.00;79.00;0.01;0.12;-0.91;1.00;5.00;0.40;2.35;0.29;1.95;0.00;-9.30
