Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;69.00;57.00;0.02;0.10;-0.98;1.00;5.00;0.18;1.50;0.13;1.21;0.00;-2.91
1.00;54.00;55.00;0.00;0.68;-0.16;1.00;5.00;0.11;2.15;0.11;2.16;0.04;-1.36
2.00;56.00;68.00;0.00;0.70;-0.15;1.00;5.00;0.17;2.15;0.17;1.89;0.00;-4.01
3.00;76.00;67.00;0.01;0.17;-0.77;1.00;5.00;0.41;2.20;0.33;2.01;0.00;-8.95
4.00;66.00;67.00;0.00;0.71;-0.15;1.00;5.00;0.21;2.10;0.21;1.98;0.00;-4.35
5.00;68.00;61.00;0.00;0.71;-0.15;1.00;5.00;0.26;2.70;0.17;2.34;0.00;-6.38
6.00;74.00;63.00;0.03;0.00;-2.48;1.00;5.00;0.36;2.00;0.30;1.93;0.00;-8.02
7.00;69.00;56.00;0.00;0.72;-0.14;1.00;5.00;0.30;2.05;0.29;1.98;0.00;-4.94
8.00;57.00;60.00;0.00;0.69;-0.16;1.00;5.00;0.14;2.00;0.08;1.34;0.00;-2.62
9.00;59.00;62.00;0.00;0.70;-0.15;1.00;5.00;0.23;2.80;0.15;2.28;0.00;-5.47
10.00;75.00;81.00;0.02;0.02;-1.64;1.00;5.00;0.33;2.35;0.27;2.05;0.00;-10.42
11.00;69.00;72.00;0.01;0.18;-0.75;1.00;5.00;0.37;2.60;0.33;2.50;0.00;-7.93
12.00;76.00;62.00;0.02;0.15;-0.83;1.00;5.00;0.16;2.35;0.15;2.26;0.00;-4.19
13.00;63.00;77.00;0.01;0.17;-0.76;1.00;5.00;0.17;2.15;0.17;2.04;0.00;-3.62
14.00;59.00;84.00;0.00;0.73;-0.14;1.00;5.00;0.18;2.20;0.19;2.05;0.00;-7.67
15.00;55.00;81.00;0.02;0.00;-2.82;1.00;5.00;0.18;2.00;0.15;1.93;0.00;-2.77
16.00;66.00;58.00;0.03;0.00;-2.92;1.00;5.00;0.33;5.00;0.12;2.29;0.00;-3.19
17.00;59.00;67.00;0.01;0.08;-1.10;1.00;5.00;0.18;2.00;0.16;1.76;0.00;-3.78
18.00;50.00;54.00;0.00;0.67;-0.17;1.00;5.00;0.37;2.45;0.29;2.16;0.00;-10.36
19.00;58.00;71.00;0.01;0.10;-1.02;1.00;5.00;0.15;2.05;0.13;2.44;0.00;-4.93
20.00;56.00;63.00;0.03;0.00;-3.54;1.00;5.00;0.39;3.70;0.12;2.38;0.00;-4.22
21.00;67.00;70.00;0.03;0.01;-2.24;1.00;5.00;0.31;2.30;0.21;1.97;0.00;-4.34
22.00;70.00;57.00;0.00;0.71;-0.15;1.00;5.00;0.29;2.50;0.23;2.08;0.00;-7.32
23.00;72.00;67.00;0.01;0.13;-0.88;1.00;5.00;0.44;5.00;0.27;2.65;0.00;-3.20
24.00;70.00;62.00;0.00;0.72;-0.14;1.00;5.00;0.33;2.05;0.40;2.48;0.00;-5.24
25.00;62.00;70.00;0.01;0.13;-0.88;1.00;5.00;0.29;2.45;0.21;2.12;0.00;-6.62
26.00;76.00;65.00;0.00;0.73;-0.14;1.00;5.00;0.20;2.10;0.21;2.01;0.00;-5.06
27.00;64.00;70.00;0.00;0.71;-0.15;1.00;5.00;0.28;2.70;0.24;2.54;0.00;-5.80
28.00;69.00;80.00;0.01;0.17;-0.77;1.00;5.00;0.23;2.10;0.20;1.94;0.00;-3.84
29.00;75.00;72.00;0.01;0.16;-0.79;1.00;5.00;0.39;2.65;0.35;2.54;0.00;-10.25
30.00;63.00;78.00;0.00;0.73;-0.14;1.00;5.00;0.11;2.10;0.12;2.30;0.00;-4.21
31.00;58.00;62.00;0.02;0.10;-1.00;1.00;5.00;0.16;2.10;0.12;1.88;0.02;-1.65
32.00;72.00;72.00;0.00;0.74;-0.13;1.00;5.00;0.24;2.25;0.22;2.17;0.00;-5.37
33.00;56.00;72.00;0.00;0.70;-0.15;1.00;5.00;0.31;2.40;0.28;2.02;0.00;-13.72
34.00;82.00;63.00;0.02;0.20;-0.70;1.00;5.00;0.28;2.30;0.25;2.00;0.00;-6.86
35.00;61.00;69.00;0.00;0.72;-0.14;1.00;5.00;0.23;1.80;0.19;1.62;0.00;-5.42
36.00;76.00;68.00;0.00;0.74;-0.13;1.00;5.00;0.19;2.05;0.18;1.93;0.00;-2.45
37.00;71.00;76.00;0.03;0.01;-2.08;1.00;5.00;0.29;2.60;0.15;1.78;0.05;-1.28
38.00;79.00;75.00;0.00;0.76;-0.12;1.00;5.00;0.29;2.05;0.29;2.38;0.00;-5.17
39.00;63.00;63.00;0.03;0.00;-2.85;1.00;5.00;0.23;2.50;0.10;2.06;0.10;-0.98
40.00;66.00;73.00;0.01;0.17;-0.77;1.00;5.00;0.27;2.10;0.16;1.84;0.00;-4.03
41.00;70.00;65.00;0.02;0.15;-0.82;1.00;5.00;0.20;2.10;0.17;1.91;0.01;-2.25
42.00;61.00;68.00;0.03;0.00;-3.04;1.00;5.00;0.23;4.90;0.07;2.27;0.02;-1.63
43.00;72.00;71.00;0.00;0.74;-0.13;1.00;5.00;0.23;2.05;0.27;2.35;0.00;-3.48
44.00;69.00;58.00;0.00;0.72;-0.14;1.00;5.00;0.25;2.40;0.19;2.08;0.00;-3.50
45.00;62.00;71.00;0.03;0.00;-2.52;1.00;5.00;0.39;2.85;0.26;2.49;0.00;-3.96
