Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;59.00;67.00;0.00;0.72;-0.14;1.00;5.00;0.29;2.10;0.25;1.98;0.00;-5.14
1.00;74.00;70.00;0.00;0.74;-0.13;1.00;5.00;0.26;2.15;0.24;1.94;0.00;-6.72
2.00;79.00;51.00;0.00;0.72;-0.14;1.00;5.00;0.27;1.90;0.33;2.35;0.00;-10.88
3.00;52.00;57.00;0.00;0.69;-0.16;1.00;5.00;0.31;2.35;0.24;1.86;0.00;-5.73
4.00;64.00;62.00;0.02;0.10;-1.01;1.00;5.00;0.39;2.20;0.32;1.83;0.00;-5.74
5.00;79.00;63.00;0.03;0.01;-2.28;1.00;5.00;0.52;2.45;0.41;2.50;0.00;-5.37
6.00;72.00;61.00;0.00;0.74;-0.13;1.00;5.00;0.35;1.85;0.37;2.17;0.00;-25.95
7.00;70.00;61.00;0.00;0.72;-0.14;1.00;5.00;0.39;2.20;0.46;2.47;0.00;-10.18
8.00;75.00;64.00;0.06;0.00;-9.24;1.00;5.00;0.40;1.80;0.26;1.51;0.00;-5.64
9.00;71.00;69.00;0.00;0.73;-0.14;1.00;5.00;0.27;2.05;0.24;1.85;0.00;-5.33
10.00;64.00;66.00;0.00;0.71;-0.15;1.00;5.00;0.38;2.50;0.23;1.99;0.00;-5.00
11.00;55.00;65.00;0.02;0.07;-1.18;1.00;5.00;0.28;2.30;0.23;2.50;0.00;-3.46
12.00;53.00;79.00;0.00;0.72;-0.14;1.00;5.00;0.30;1.80;0.26;1.81;0.00;-18.88
13.00;58.00;60.00;0.00;0.70;-0.15;1.00;5.00;0.22;2.10;0.19;1.99;0.00;-3.21
14.00;67.00;72.00;0.00;0.73;-0.14;1.00;5.00;0.38;1.95;0.40;2.32;0.00;-18.65
15.00;54.00;73.00;0.00;0.70;-0.15;1.00;5.00;0.35;2.70;0.31;2.53;0.00;-8.19
16.00;76.00;79.00;0.01;0.23;-0.63;1.00;5.00;0.34;2.50;0.30;2.47;0.00;-7.12
17.00;67.00;62.00;0.00;0.72;-0.14;1.00;5.00;0.42;2.25;0.39;2.05;0.00;-15.51
18.00;66.00;59.00;0.00;0.72;-0.15;1.00;5.00;0.28;1.90;0.32;2.44;0.00;-8.42
19.00;70.00;57.00;0.04;0.00;-3.00;1.00;5.00;0.49;2.90;0.35;2.43;0.00;-5.66
20.00;69.00;74.00;0.00;0.74;-0.13;1.00;5.00;0.20;1.95;0.21;1.86;0.00;-9.41
