Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;60.00;74.00;0.01;0.16;-0.81;1.00;5.00;0.21;2.80;0.13;2.45;0.00;-4.91
1.00;55.00;69.00;0.00;0.70;-0.15;1.00;5.00;0.12;2.30;0.15;2.55;0.11;-0.98
2.00;74.00;65.00;0.02;0.16;-0.80;1.00;5.00;0.17;2.05;0.16;2.54;0.01;-2.09
3.00;63.00;61.00;0.00;0.71;-0.15;1.00;5.00;0.25;3.00;0.21;2.99;0.01;-2.07
4.00;64.00;68.00;0.01;0.14;-0.86;1.00;5.00;0.17;1.65;0.11;1.44;0.00;-4.50
5.00;67.00;72.00;0.00;0.73;-0.14;1.00;5.00;0.08;1.90;0.04;1.29;0.19;-0.73
6.00;67.00;76.00;0.01;0.17;-0.78;1.00;5.00;0.16;2.00;0.18;2.43;0.00;-2.42
7.00;61.00;55.00;0.00;0.69;-0.16;1.00;5.00;0.30;2.25;0.27;1.99;0.00;-6.54
8.00;62.00;72.00;0.01;0.13;-0.89;1.00;5.00;0.19;2.20;0.15;1.96;0.00;-2.43
9.00;66.00;76.00;0.04;0.00;-3.98;1.00;5.00;0.24;2.70;0.15;1.76;0.00;-2.32
10.00;65.00;59.00;0.00;0.72;-0.14;1.00;5.00;0.18;2.05;0.18;1.86;0.00;-2.37
11.00;63.00;43.00;0.00;0.67;-0.17;1.00;5.00;0.25;2.15;0.25;2.02;0.00;-5.46
12.00;70.00;74.00;0.01;0.18;-0.75;1.00;5.00;0.17;1.90;0.15;1.89;0.00;-4.23
13.00;74.00;63.00;0.03;0.00;-2.40;1.00;5.00;0.20;2.75;0.11;2.05;0.05;-1.33
14.00;59.00;54.00;0.00;0.69;-0.16;1.00;5.00;0.27;2.70;0.17;2.15;0.00;-4.18
15.00;67.00;57.00;0.04;0.00;-3.04;1.00;5.00;0.27;2.35;0.19;1.97;0.00;-3.23
16.00;86.00;70.00;0.00;0.75;-0.12;1.00;5.00;0.20;2.55;0.14;2.02;0.01;-2.07
17.00;70.00;71.00;0.00;0.73;-0.13;1.00;5.00;0.13;2.15;0.12;1.88;0.04;-1.40
18.00;64.00;80.00;0.03;0.01;-2.06;1.00;5.00;0.11;1.60;0.07;1.43;0.00;-2.79
19.00;59.00;62.00;0.05;0.00;-6.42;1.00;5.00;0.33;2.45;0.19;1.93;0.00;-4.06
20.00;59.00;54.00;0.00;0.68;-0.16;1.00;5.00;0.13;2.00;0.13;1.81;0.01;-1.95
21.00;65.00;71.00;0.03;0.00;-2.42;1.00;5.00;0.21;2.15;0.15;2.13;0.01;-2.19
22.00;50.00;67.00;0.00;0.69;-0.16;1.00;5.00;0.13;2.60;0.09;2.10;0.03;-1.48
23.00;69.00;71.00;0.03;0.01;-2.03;1.00;5.00;0.20;3.20;0.08;3.39;0.06;-1.24
24.00;65.00;61.00;0.00;0.71;-0.15;1.00;5.00;0.16;2.00;0.22;2.48;0.00;-3.16
25.00;67.00;65.00;0.02;0.14;-0.85;1.00;5.00;0.20;2.00;0.21;2.00;0.00;-4.72
26.00;64.00;67.00;0.01;0.12;-0.91;1.00;5.00;0.26;2.30;0.20;2.17;0.00;-5.23
27.00;68.00;67.00;0.00;0.73;-0.14;1.00;5.00;0.15;2.20;0.14;2.02;0.01;-2.28
28.00;53.00;59.00;0.00;0.69;-0.16;1.00;5.00;0.10;1.85;0.08;1.39;0.00;-3.37
29.00;75.00;62.00;0.02;0.18;-0.73;1.00;5.00;0.22;2.35;0.16;2.22;0.00;-2.57
30.00;71.00;75.00;0.00;0.75;-0.12;1.00;5.00;0.13;2.00;0.12;1.81;0.03;-1.60
31.00;77.00;63.00;0.00;0.75;-0.13;1.00;5.00;0.22;2.05;0.22;2.14;0.00;-6.06
32.00;60.00;59.00;0.00;0.70;-0.16;1.00;5.00;0.13;2.05;0.13;1.98;0.02;-1.76
33.00;71.00;59.00;0.00;0.73;-0.14;1.00;5.00;0.24;2.15;0.24;2.17;0.00;-6.48
34.00;72.00;67.00;0.00;0.74;-0.13;1.00;5.00;0.15;2.10;0.22;2.57;0.02;-1.68
35.00;60.00;65.00;0.02;0.10;-1.01;1.00;5.00;0.14;2.80;0.13;2.39;0.00;-4.04
36.00;69.00;67.00;0.00;0.72;-0.14;1.00;5.00;0.29;2.75;0.28;2.57;0.00;-3.87
37.00;55.00;76.00;0.00;0.71;-0.15;1.00;5.00;0.07;2.45;0.05;2.36;0.17;-0.77
38.00;72.00;68.00;0.01;0.16;-0.79;1.00;5.00;0.14;2.10;0.09;2.00;0.21;-0.68
39.00;69.00;69.00;0.00;0.73;-0.14;1.00;5.00;0.18;2.10;0.16;1.96;0.01;-1.90
40.00;66.00;57.00;0.04;0.00;-2.90;1.00;5.00;0.19;3.55;0.11;2.40;0.00;-2.59
41.00;59.00;67.00;0.01;0.08;-1.10;1.00;5.00;0.16;2.90;0.09;2.53;0.00;-2.51
42.00;67.00;58.00;0.05;0.00;-5.93;1.00;5.00;0.28;2.30;0.22;1.95;0.00;-4.62
43.00;74.00;66.00;0.00;0.73;-0.14;1.00;5.00;0.18;2.25;0.20;2.11;0.00;-4.37
44.00;80.00;66.00;0.03;0.01;-2.21;1.00;5.00;0.15;1.50;0.11;1.19;0.00;-2.34
45.00;66.00;54.00;0.00;0.69;-0.16;1.00;5.00;0.22;2.05;0.22;1.80;0.00;-3.80
46.00;68.00;60.00;0.02;0.11;-0.96;1.00;5.00;0.25;2.35;0.20;2.03;0.00;-4.51
47.00;61.00;74.00;0.01;0.12;-0.91;1.00;5.00;0.21;2.15;0.21;1.99;0.00;-5.15
48.00;65.00;75.00;0.01;0.17;-0.76;1.00;5.00;0.12;1.30;0.10;1.29;0.00;-4.56
49.00;75.00;70.00;0.01;0.22;-0.66;1.00;5.00;0.26;2.15;0.24;2.18;0.00;-7.91
50.00;68.00;55.00;0.02;0.12;-0.94;1.00;5.00;0.22;2.10;0.17;1.83;0.01;-2.12
51.00;77.00;65.00;0.00;0.73;-0.14;1.00;5.00;0.12;2.15;0.13;2.03;0.03;-1.48
52.00;62.00;69.00;0.03;0.00;-2.87;1.00;5.00;0.19;1.75;0.11;1.34;0.00;-5.20
53.00;57.00;69.00;0.01;0.08;-1.09;1.00;5.00;0.12;1.75;0.08;1.36;0.00;-2.98
54.00;71.00;79.00;0.03;0.02;-1.75;1.00;5.00;0.24;1.70;0.21;1.67;0.00;-5.41
55.00;65.00;75.00;0.00;0.73;-0.13;1.00;5.00;0.22;2.85;0.10;2.43;0.00;-2.70
56.00;69.00;66.00;0.00;0.72;-0.14;1.00;5.00;0.08;1.45;0.05;1.42;0.14;-0.86
57.00;69.00;78.00;0.01;0.21;-0.68;1.00;5.00;0.30;3.00;0.19;2.82;0.00;-5.63
58.00;60.00;69.00;0.00;0.72;-0.14;1.00;5.00;0.20;2.95;0.17;2.62;0.05;-1.31
59.00;68.00;66.00;0.02;0.13;-0.89;1.00;5.00;0.11;2.90;0.00;#ZAHL!;0.27;-0.56
60.00;64.00;49.00;0.00;0.69;-0.16;1.00;5.00;0.10;2.05;0.10;1.83;0.26;-0.59
61.00;74.00;69.00;0.01;0.19;-0.71;1.00;5.00;0.27;2.05;0.22;1.94;0.00;-4.67
62.00;68.00;75.00;0.03;0.01;-2.26;1.00;5.00;0.12;2.60;0.07;2.27;0.04;-1.38
63.00;71.00;80.00;0.00;0.76;-0.12;1.00;5.00;0.20;1.95;0.22;1.93;0.00;-7.64
64.00;59.00;79.00;0.01;0.13;-0.89;1.00;5.00;0.14;2.20;0.13;2.13;0.00;-3.73
65.00;61.00;64.00;0.00;0.72;-0.14;1.00;5.00;0.08;1.95;0.06;1.36;0.04;-1.43
66.00;69.00;71.00;0.01;0.16;-0.79;1.00;5.00;0.18;2.60;0.08;2.48;0.04;-1.35
67.00;57.00;58.00;0.00;0.69;-0.16;1.00;5.00;0.16;1.90;0.11;1.42;0.00;-4.65
68.00;69.00;69.00;0.00;0.73;-0.14;1.00;5.00;0.06;2.20;0.07;2.24;0.06;-1.19
69.00;69.00;66.00;0.05;0.00;-5.85;1.00;5.00;0.22;2.45;0.17;1.69;0.00;-2.50
70.00;71.00;65.00;0.00;0.74;-0.13;1.00;5.00;0.12;2.00;0.07;1.55;0.02;-1.77
71.00;72.00;69.00;0.03;0.00;-2.33;1.00;5.00;0.30;3.95;0.11;1.97;0.03;-1.51
72.00;65.00;75.00;0.03;0.01;-2.26;1.00;5.00;0.29;2.65;0.16;1.99;0.00;-3.51
73.00;76.00;73.00;0.03;0.01;-2.01;1.00;5.00;0.24;2.70;0.14;2.15;0.00;-2.65
74.00;63.00;76.00;0.00;0.74;-0.13;1.00;5.00;0.19;2.00;0.22;1.99;0.00;-5.59
75.00;70.00;70.00;0.03;0.00;-2.46;1.00;5.00;0.29;2.95;0.21;2.59;0.03;-1.51
76.00;68.00;78.00;0.00;0.75;-0.12;1.00;5.00;0.09;1.95;0.06;1.51;0.02;-1.67
77.00;64.00;63.00;0.00;0.71;-0.15;1.00;5.00;0.21;2.45;0.20;2.18;0.00;-5.98
78.00;75.00;79.00;0.00;0.74;-0.13;1.00;5.00;0.18;2.10;0.17;2.02;0.00;-3.56
79.00;74.00;76.00;0.03;0.01;-2.08;1.00;5.00;0.22;2.60;0.14;1.89;0.01;-1.93
80.00;63.00;67.00;0.01;0.13;-0.88;1.00;5.00;0.07;2.05;0.06;2.34;0.18;-0.74
81.00;71.00;62.00;0.00;0.72;-0.14;1.00;5.00;0.41;3.05;0.25;2.51;0.00;-2.63
82.00;69.00;65.00;0.03;0.00;-2.51;1.00;5.00;0.44;3.00;0.23;2.04;0.00;-7.98
83.00;69.00;56.00;0.04;0.00;-3.10;1.00;5.00;0.21;2.35;0.18;2.10;0.00;-4.14
84.00;63.00;71.00;0.00;0.72;-0.14;1.00;5.00;0.13;2.05;0.10;1.82;0.03;-1.51
85.00;71.00;61.00;0.00;0.72;-0.15;1.00;5.00;0.18;2.45;0.15;2.07;0.01;-2.19
86.00;51.00;68.00;0.01;0.06;-1.20;1.00;5.00;0.11;1.75;0.16;2.64;0.00;-2.60
87.00;46.00;73.00;0.00;0.70;-0.15;1.00;5.00;0.03;2.20;0.04;2.63;0.26;-0.58
