"x","y","z","intensity"
56,91,0,103.444444444444
54.5,87,0,121
46,87.2,0,89
65.5,84.7,0,107.2
59.75,84.75,0,145.2
50.6666666666667,83.6666666666667,0,88.3333333333333
77.9166666666667,79.9166666666667,0,110.333333333333
78,76,0,127
67.125,76.875,0,99.875
84.75,77.25,0,106.8125
109,72,0,136
103.833333333333,72.9166666666667,0,120.083333333333
89.9285714285714,73.8571428571429,0,136
72,73.5,0,125.166666666667
101.4,68.8,0,112.6
94.1764705882353,69.2352941176471,0,116.470588235294
115.882352941176,65.1176470588235,0,163.411764705882
97.4166666666667,63.75,0,111.75
107.939393939394,64.3636363636364,0,144.333333333333
114,59.5,0,110.5
1,57,0,89.6666666666667
8.44444444444444,56.8888888888889,0,100.555555555556
120.944444444444,56.7777777777778,0,93.7222222222222
3,51.5,0,113.9
12.4166666666667,49.6944444444444,0,127.333333333333
22.2777777777778,44.6111111111111,0,121.055555555556
41.1666666666667,42.8333333333333,0,95.6666666666667
36,43.5,0,117.583333333333
28.5555555555556,41.7777777777778,0,107.888888888889
36.5,35.5,0,82
49,35.5,0,115.8125
61.3125,34.1875,0,101.125
91.0454545454545,22,0,98.4545454545455
74.9344262295082,24.6229508196721,0,126.131147540984
97.8333333333333,15.1666666666667,0,98.6666666666667
111,14,0,90.1111111111111
92.6153846153846,14.3846153846154,0,116.538461538462
103.045454545455,12.1363636363636,0,112.090909090909
121.5,7,0,94.9285714285714
126.111111111111,1.33333333333333,0,134.111111111111
