Var1,Var2
5.61048199999999,2.46552817236508
5.38260899999999,2.63518254361449
5.333334,2.62481562052765
5.427333,2.52347123127083
5.44363999999999,2.56948373810211
6.32555599999999,2.19199795683453
6.25641399999999,2.2420486385413
6.25897199999999,2.19261535872148
6.432585,2.07513321498737
6.265071,2.27100706823848
4.97211299999999,2.83496421253347
4.99695199999999,2.80830582155273
4.98073599999999,2.82382568476281
4.846258,2.92039145792462
4.87221899999999,2.80664068159941
7.016845,1.77680579365079
6.987256,1.75592680190449
7.078432,1.77194383321514
7.023521,1.80939420321124
7.06762099999999,1.7731267686415
