Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;68.00;63.00;0.02;0.12;-0.91;1.00;5.00;0.51;2.25;0.39;1.92;0.00;-12.77
1.00;59.00;62.00;0.06;0.00;-10.80;1.00;5.00;0.50;1.95;0.41;1.70;0.00;-17.19
2.00;82.00;51.00;0.06;0.00;-6.43;1.00;5.00;0.88;2.95;0.58;2.28;0.00;-19.48
3.00;55.00;60.00;0.00;0.70;-0.16;1.00;5.00;0.46;1.95;0.47;1.82;0.00;-31.11
4.00;59.00;70.00;0.00;0.71;-0.15;1.00;5.00;0.44;2.15;0.47;2.43;0.00;-10.45
5.00;64.00;56.00;0.02;0.09;-1.05;1.00;5.00;0.48;2.40;0.43;2.39;0.00;-11.13
6.00;71.00;69.00;0.07;0.00;-12.26;1.00;5.00;0.62;2.40;0.46;1.81;0.00;-16.99
7.00;66.00;68.00;0.00;0.72;-0.14;1.00;5.00;0.49;2.15;0.48;2.35;0.00;-12.22
8.00;59.00;73.00;0.04;0.00;-5.78;1.00;5.00;0.44;2.05;0.35;1.85;0.00;-13.77
9.00;71.00;66.00;0.03;0.00;-2.50;1.00;5.00;0.61;2.20;0.56;2.33;0.00;-15.49
10.00;64.00;72.00;0.03;0.00;-2.48;1.00;5.00;0.51;2.20;0.51;2.39;0.00;-19.69
11.00;61.00;66.00;0.02;0.10;-0.98;1.00;5.00;0.61;2.35;0.46;2.03;0.00;-22.97
12.00;66.00;65.00;0.03;0.00;-2.63;1.00;5.00;0.70;2.50;0.62;2.50;0.00;-16.26
13.00;73.00;62.00;0.02;0.15;-0.82;1.00;5.00;0.51;2.35;0.45;2.44;0.00;-6.79
14.00;55.00;65.00;0.02;0.09;-1.03;1.00;5.00;0.39;2.40;0.33;2.11;0.00;-18.77
15.00;75.00;71.00;0.00;0.74;-0.13;1.00;5.00;0.53;2.25;0.49;2.08;0.00;-31.03
16.00;54.00;69.00;0.03;0.00;-3.43;1.00;5.00;0.46;2.25;0.37;1.91;0.00;-13.95
17.00;72.00;74.00;0.04;0.00;-5.04;1.00;5.00;0.64;2.80;0.44;2.26;0.00;-10.96
18.00;57.00;74.00;0.00;0.72;-0.14;1.00;5.00;0.42;2.05;0.43;2.29;0.00;-13.56
19.00;65.00;70.00;0.01;0.14;-0.84;1.00;5.00;0.52;2.40;0.36;2.01;0.00;-16.53
20.00;74.00;67.00;0.03;0.01;-1.88;1.00;5.00;0.70;2.45;0.54;2.41;0.00;-10.80
21.00;61.00;57.00;0.00;0.70;-0.16;1.00;5.00;0.35;2.05;0.39;2.39;0.00;-8.20
22.00;70.00;55.00;0.09;0.00;-14.25;1.00;5.00;0.66;2.60;0.47;2.31;0.00;-7.04
23.00;81.00;70.00;0.01;0.22;-0.65;1.00;5.00;0.65;2.05;0.61;2.31;0.00;-19.41
24.00;62.00;58.00;0.02;0.09;-1.04;1.00;5.00;0.53;2.20;0.40;2.26;0.00;-9.25
25.00;61.00;78.00;0.01;0.15;-0.82;1.00;5.00;0.42;2.40;0.35;2.12;0.00;-21.60
26.00;63.00;64.00;0.02;0.12;-0.93;1.00;5.00;0.54;2.25;0.56;2.41;0.00;-13.68
27.00;62.00;69.00;0.03;0.00;-2.84;1.00;5.00;0.63;2.35;0.47;2.07;0.00;-26.64
28.00;64.00;66.00;0.02;0.10;-1.01;1.00;5.00;0.41;2.00;0.36;1.92;0.00;-14.82
