x,y
80.0,98.0
80.5,96.0
57.5,94.5
56.0,93.0
65.33333333333333,92.33333333333333
69.0,91.33333333333333
57.0,90.5
55.0,90.0
61.333333333333336,88.66666666666667
126.0,86.0
121.0,86.0
110.5,87.25
106.33333333333333,86.66666666666667
98.5,86.75
91.4,86.8
84.0,86.0
82.0,86.0
80.0,86.0
118.0,85.5
110.0,84.0
105.0,84.0
97.0,84.0
94.5,84.5
55.0,84.0
85.75,83.75
81.5,83.0
62.4,83.8
53.0,84.0
117.5,82.5
74.33333333333333,82.33333333333333
70.8,83.2
61.0,81.0
97.0,80.5
103.33333333333333,79.33333333333333
94.0,79.5
56.666666666666664,79.33333333333333
37.5,79.0
117.0,78.0
80.0,78.0
115.0,77.0
49.2,78.6
34.5,77.5
42.0,76.0
40.0,76.0
119.0,75.0
64.0,75.0
58.0,75.0
50.0,75.0
117.0,74.0
114.33333333333333,74.33333333333333
100.5,74.0
87.5,74.5
34.0,74.5
126.5,73.0
36.0,73.0
106.625,73.25
90.25,72.0
81.0,72.0
76.4,72.0
67.0,71.0
64.66666666666667,72.0
103.0,70.0
84.0,70.5
60.0,70.0
50.75,71.0
43.8,71.0
26.0,70.75
99.75,69.75
47.0,69.0
33.0,69.0
29.0,70.0
58.25,69.5
31.0,67.0
23.5,66.0
25.5,64.5
39.6,64.2
36.5,63.0
22.0,63.5
24.0,62.0
38.5,61.0
16.0,58.0
32.714285714285715,58.0
33.333333333333336,54.333333333333336
31.0,53.0
15.0,53.0
12.5,55.333333333333336
20.5,51.5
30.11111111111111,50.55555555555556
12.5,48.333333333333336
20.333333333333332,47.333333333333336
18.0,47.5
8.5,47.0
5.0,47.0
4.0,45.0
2.0,43.5
3.0,40.0
20.375,40.625
2.0,38.0
4.666666666666667,37.666666666666664
13.75,37.0
11.0,36.0
0.0,34.0
48.5,31.5
9.5,31.0
16.0,31.5
0.6666666666666666,31.0
13.0,27.666666666666668
7.666666666666667,23.333333333333332
4.0,16.5
28.0,13.0
124.5,11.5
121.8,9.2
118.5,2.5
