"x","y","z","intensity"
34.9090909090909,122.363636363636,0,123.545454545455
29.1111111111111,122.333333333333,0,109.444444444444
111.5,121,0,95.75
103.083333333333,119.25,0,128.083333333333
29,117,0,65
105.6875,112.625,0,157.8125
99.5,110,0,96
26.5,109.5,0,99.25
31.2,108.6,0,114
28.1428571428571,102.238095238095,0,127.571428571429
98.125,102.45,0,136.95
94.6666666666667,96.6666666666667,0,116.333333333333
24.4285714285714,96.7142857142857,0,101.142857142857
31,93,0,101
90.1052631578947,90.8421052631579,0,117.210526315789
28.5,88.5,0,123.714285714286
26.6,83.8,0,119.4
91,82.5,0,147.375
21.1428571428571,83,0,142.857142857143
20,77,0,123
87.4285714285714,75.7142857142857,0,123.285714285714
81.4,73.8,0,99.8
18,73.5,0,129.7
89.1666666666667,70.8333333333333,0,104.166666666667
24.5,70.5,0,115.333333333333
75.625,68.75,0,106.125
86.3333333333333,66.6666666666667,0,91
15.6666666666667,66.3333333333333,0,91.3333333333333
83.6666666666667,64.3333333333333,0,115.333333333333
23,63.5,0,102.625
79.5,61.5,0,124.25
80.5,56,0,113.666666666667
17.2222222222222,51.5555555555556,0,106.666666666667
70.7241379310345,54.8620689655172,0,122
52.3636363636364,47.9090909090909,0,122.272727272727
45,48.6923076923077,0,101.692307692308
34.875,47.875,0,101.625
77.6153846153846,47.7692307692308,0,123.846153846154
60.4,48.75,0,117.65
91.9285714285714,47.1428571428571,0,115.571428571429
29.8,45.6,0,132
18.875,45.875,0,135.375
83.5,45.5,0,124.833333333333
71.125,44.875,0,142.125
47,43.5,0,113
25.2666666666667,45.3333333333333,0,165.8
100.176470588235,42.8235294117647,0,139.470588235294
34.875,41.875,0,131.875
121.166666666667,40.8333333333333,0,113
109.2,40.5,0,140.3
53,39,0,128
66.8823529411765,40.4705882352941,0,161.411764705882
13.1818181818182,39.9090909090909,0,127.636363636364
25.5555555555556,38.6666666666667,0,143.333333333333
115.625,37.1875,0,145.3125
87.7142857142857,38.2142857142857,0,135.785714285714
104.5,35.5,0,130.75
57.3809523809524,36.0476190476191,0,148.809523809524
82.7058823529412,33.1764705882353,0,124.117647058824
47.3333333333333,33.4444444444444,0,117.111111111111
7.41666666666667,35.5833333333333,0,136.041666666667
104.5,31,0,113
69.8333333333333,32.1666666666667,0,92.5
63.0833333333333,32.3333333333333,0,124.25
33.3333333333333,32.3333333333333,0,104
96.5,31,0,111.75
15,31,0,128.333333333333
23.3333333333333,30.0952380952381,0,118.571428571429
113.333333333333,27,0,159.266666666667
3.625,25.9166666666667,0,125.916666666667
121.7,23.7,0,133.4
