"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"327","35_17_Composite.tif",0,1,0,0.8063,0.8068,0.5294,0.2026,0.623,0.623
"228","35_18_Composite.tif",0,0,1,0.2532,0.2425,0.1153,0.0661,0.5647,0.5647
"328","35_18_Composite.tif",0,1,0,0.6892,0.7042,0.48,0.1752,0.5647,0.5647
"229","35_19_Composite.tif",0,0,1,0.3095,0.3074,0,0.0577,0.6131,0.6131
"329","35_19_Composite.tif",0,1,0,0.7865,0.7776,0.5555,0.2002,0.6131,0.6131
"230","35_1_Composite.tif",0,0,1,0.3052,0.3007,0.1111,0.0661,0.6178,0.6178
"330","35_1_Composite.tif",0,1,0,0.7924,0.7815,0.5675,0.205,0.6178,0.6178
"231","35_20_Composite.tif",0,0,1,0.3419,0.3409,0.1052,0.0521,0.5779,0.5779
"331","35_20_Composite.tif",0,1,0,0.7447,0.7822,0.4333,0.181,0.5779,0.5779
"232","35_2_Composite.tif",0,0,1,0.3204,0.3179,0,0.065,0.6276,0.6276
"332","35_2_Composite.tif",0,1,0,0.8072,0.8075,0.5294,0.1968,0.6276,0.6276
"233","35_3_Composite.tif",0,0,1,0.3296,0.3267,0,0.0298,0.634,0.634
"333","35_3_Composite.tif",0,1,0,0.8324,0.835,0.5,0.201,0.634,0.634
"234","35_4_Composite.tif",0,0,1,0.3209,0.3184,0,0.0293,0.631,0.631
"334","35_4_Composite.tif",0,1,0,0.8357,0.842,0.5172,0.1998,0.631,0.631
"235","35_5_Composite.tif",0,0,1,0.1531,0.1555,0,0.0678,0.446,0.446
"335","35_5_Composite.tif",0,1,0,0.5249,0.5229,0.4603,0.1764,0.446,0.446
"236","35_6_Composite.tif",0,0,1,0.3133,0.3082,0,0.059,0.624,0.624
"336","35_6_Composite.tif",0,1,0,0.8061,0.8047,0.5294,0.2008,0.624,0.624
"237","35_7_Composite.tif",0,0,1,0.3048,0.3003,0.1428,0.0822,0.6195,0.6195
"337","35_7_Composite.tif",0,1,0,0.7962,0.7914,0.4864,0.1931,0.6195,0.6195
"238","35_8_Composite.tif",0,0,1,0.2432,0.2373,0,0.0469,0.5843,0.5843
"338","35_8_Composite.tif",0,1,0,0.7486,0.7452,0.6,0.2043,0.5843,0.5843
"239","35_9_Composite.tif",0,0,1,0.3493,0.3485,0.0769,0.0617,0.6144,0.6144
"339","35_9_Composite.tif",0,1,0,0.7991,0.8147,0.4642,0.1869,0.6144,0.6144
"240","36_10_Composite.tif",0,0,1,0.1933,0.2004,0.0357,0.0473,0.4379,0.4379
"340","36_10_Composite.tif",0,1,0,0.599,0.5952,0.4634,0.1705,0.4379,0.4379
"241","36_11_Composite.tif",0,0,1,0.1376,0.1363,0.12,0.0513,0.4368,0.4368
"341","36_11_Composite.tif",0,1,0,0.6124,0.579,0.5609,0.2695,0.4368,0.4368
"242","36_12_Composite.tif",0,0,1,0.4447,0.4178,0.1176,0.0313,0.6532,0.6532
"342","36_12_Composite.tif",0,1,0,0.7751,0.7723,0.6363,0.217,0.6532,0.6532
"243","36_13_Composite.tif",0,0,1,0.194,0.1955,0,0.0428,0.4167,0.4167
"343","36_13_Composite.tif",0,1,0,0.5644,0.5685,0.5609,0.1966,0.4167,0.4167
"244","36_14_Composite.tif",0,0,1,0.2189,0.2129,0.0625,0.0667,0.4593,0.4593
"344","36_14_Composite.tif",0,1,0,0.6212,0.6228,0.6111,0.2031,0.4593,0.4593
"245","36_15_Composite.tif",0,0,1,0.1997,0.1964,0.0384,0.0591,0.4084,0.4084
"345","36_15_Composite.tif",0,1,0,0.5097,0.5119,0.4761,0.1897,0.4084,0.4084
"246","36_16_Composite.tif",0,0,1,0.1449,0.145,0.037,0.0403,0.4014,0.4014
"346","36_16_Composite.tif",0,1,0,0.5885,0.5676,0.5714,0.2312,0.4014,0.4014
"247","36_17_Composite.tif",0,0,1,0.1965,0.1902,0.0303,0.0492,0.3776,0.3776
"347","36_17_Composite.tif",0,1,0,0.505,0.5171,0.4594,0.1828,0.3776,0.3776
"248","36_18_Composite.tif",0,0,1,0.2077,0.2061,0,0.064,0.4745,0.4745
"348","36_18_Composite.tif",0,1,0,0.5779,0.5778,0.4545,0.2001,0.4745,0.4745
"249","36_19_Composite.tif",0,0,1,0.2093,0.1991,0.037,0.0602,0.4657,0.4657
"349","36_19_Composite.tif",0,1,0,0.5649,0.5529,0.5272,0.2035,0.4657,0.4657
"250","36_1_Composite.tif",0,0,1,0.4391,0.3947,0.1052,0.0347,0.64,0.64
"350","36_1_Composite.tif",0,1,0,0.7269,0.7237,0.4615,0.1928,0.64,0.64
"251","36_20_Composite.tif",0,0,1,0.1443,0.1306,0.0909,0.0684,0.4387,0.4387
"351","36_20_Composite.tif",0,1,0,0.6027,0.5782,0.6052,0.2769,0.4387,0.4387
"252","36_2_Composite.tif",0,0,1,0.2267,0.2203,0.0476,0.0601,0.4495,0.4495
"352","36_2_Composite.tif",0,1,0,0.5848,0.5865,0.5609,0.2047,0.4495,0.4495
"253","36_3_Composite.tif",0,0,1,0.2081,0.2047,0.0666,0.0509,0.4437,0.4437
"353","36_3_Composite.tif",0,1,0,0.6038,0.6102,0.5,0.205,0.4437,0.4437
"254","36_4_Composite.tif",0,0,1,0.1902,0.1904,0,0.0575,0.4115,0.4115
"354","36_4_Composite.tif",0,1,0,0.5788,0.5816,0.5952,0.2077,0.4115,0.4115
"255","36_5_Composite.tif",0,0,1,0.1337,0.129,0.0714,0.0479,0.405,0.405
"355","36_5_Composite.tif",0,1,0,0.5731,0.5567,0.5526,0.2537,0.405,0.405
"256","36_6_Composite.tif",0,0,1,0.146,0.1329,0.0909,0.0644,0.4403,0.4403
"356","36_6_Composite.tif",0,1,0,0.6072,0.5826,0.5945,0.275,0.4403,0.4403
"257","36_7_Composite.tif",0,0,1,0.1322,0.1317,0.1304,0.052,0.4359,0.4359
"357","36_7_Composite.tif",0,1,0,0.6081,0.5741,0.5641,0.2633,0.4359,0.4359
"258","36_8_Composite.tif",0,0,1,0.1358,0.132,0.0869,0.0438,0.4387,0.4387
"358","36_8_Composite.tif",0,1,0,0.6084,0.5739,0.5609,0.2695,0.4387,0.4387
"259","36_9_Composite.tif",0,0,1,0.1408,0.1273,0.0645,0.0625,0.4353,0.4353
"359","36_9_Composite.tif",0,1,0,0.6017,0.5642,0.5641,0.266,0.4353,0.4353
"260","37_10_Composite.tif",0,0,1,0.2131,0.2083,0,0.0225,0.5251,0.5251
"360","37_10_Composite.tif",0,1,0,0.8149,0.8303,0.75,0.3133,0.5251,0.5251
"261","37_11_Composite.tif",0,0,1,0.1723,0.1689,0,0.0214,0.4732,0.4732
"361","37_11_Composite.tif",0,1,0,0.7716,0.7782,0.7352,0.312,0.4732,0.4732
"262","37_12_Composite.tif",0,0,1,0.2308,0.2301,0.125,0.0749,0.5443,0.5443
"362","37_12_Composite.tif",0,1,0,0.8254,0.8481,0.7608,0.2826,0.5443,0.5443
"263","37_13_Composite.tif",0,0,1,0.2136,0.2097,0,0.0301,0.5116,0.5116
"363","37_13_Composite.tif",0,1,0,0.8076,0.825,0.7234,0.3061,0.5116,0.5116
"264","37_14_Composite.tif",0,0,1,0.1658,0.1593,0,0.0244,0.5274,0.5274
"364","37_14_Composite.tif",0,1,0,0.7947,0.7882,0.6666,0.2587,0.5274,0.5274
"265","37_15_Composite.tif",0,0,1,0.251,0.2499,0.1,0.0519,0.5738,0.5738
"365","37_15_Composite.tif",0,1,0,0.847,0.8568,0.7692,0.2764,0.5738,0.5738
"266","37_16_Composite.tif",0,0,1,0.2017,0.2011,0,0.0337,0.5332,0.5332
"366","37_16_Composite.tif",0,1,0,0.8533,0.8634,0.8095,0.2297,0.5332,0.5332
"267","37_17_Composite.tif",0,0,1,0.1779,0.1708,0,0.0259,0.4739,0.4739
"367","37_17_Composite.tif",0,1,0,0.7806,0.7971,0.7906,0.3168,0.4739,0.4739
"268","37_18_Composite.tif",0,0,1,0.235,0.2339,0.1111,0.04,0.5477,0.5477
"368","37_18_Composite.tif",0,1,0,0.8261,0.8416,0.8,0.3354,0.5477,0.5477
"269","37_19_Composite.tif",0,0,1,0.1932,0.1859,0,0.0281,0.5019,0.5019
"369","37_19_Composite.tif",0,1,0,0.8011,0.8167,0.7857,0.326,0.5019,0.5019
"270","37_1_Composite.tif",0,0,1,0.298,0.2947,0.0909,0.0558,0.5889,0.5889
"370","37_1_Composite.tif",0,1,0,0.8519,0.8729,0.6666,0.2746,0.5889,0.5889
"271","37_20_Composite.tif",0,0,1,0.2065,0.2061,0,0.0341,0.5381,0.5381
"371","37_20_Composite.tif",0,1,0,0.8607,0.8689,0.8695,0.2522,0.5381,0.5381
"272","37_2_Composite.tif",0,0,1,0.1092,0.1044,0,0.0199,0.5044,0.5044
"372","37_2_Composite.tif",0,1,0,0.7265,0.7195,0.6,0.2566,0.5044,0.5044
"273","37_3_Composite.tif",0,0,1,0.2195,0.1922,0,0.0202,0.5422,0.5422
"373","37_3_Composite.tif",0,1,0,0.7388,0.7466,0.5675,0.272,0.5422,0.5422
"274","37_4_Composite.tif",0,0,1,0.2081,0.2076,0.0909,0.0546,0.504,0.504
"374","37_4_Composite.tif",0,1,0,0.8288,0.8404,0.745,0.3008,0.504,0.504
"275","37_5_Composite.tif",0,0,1,0.1813,0.1763,0,0.0213,0.5646,0.5646
"375","37_5_Composite.tif",0,1,0,0.8385,0.8189,0.7142,0.2649,0.5646,0.5646
"276","37_6_Composite.tif",0,0,1,0.2888,0.2866,0.125,0.0742,0.5765,0.5765
"376","37_6_Composite.tif",0,1,0,0.844,0.8613,0.7142,0.3062,0.5765,0.5765
