Var1,Var2
5.251034,0.163438102397285
5.28139499999999,0.160045169431697
5.378753,0.150790322992568
5.17200299999999,0.102686606243348
5.259828,0.120963020465971
5.160389,0.132846753872391
5.50489699999999,0.160006979961038
5.452147,0.110295379973048
5.31295699999999,0.130444033704597
5.347068,0.137806541866365
5.06871499999999,0.176883526703499
5.100139,0.166292095406359
5.055518,0.0996302932288717
5.13565899999999,0.12183065130148
5.277171,0.148685568178663
5.138795,0.126023498259574
5.28208999999999,0.118453094935816
5.29007699999999,0.120412264343544
5.08585499999999,0.138571621640637
5.41904299999999,0.108780298895617
